constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Exhaustive , Random-normalized optimality [%]
Optimizer(): config:  [[0.4, 0.02, 21], [0.1, 0.1, 30]]
Optimizer(): selective:  0.000000  1.000000
Optimizer(): evals/step: 1
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct
MABsolver_config: params: numInputs:  0  0  0  0
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10
BanditTestBatch: numCases: 11
BanditTestBatch: maxim sum reward: 4919.0
BanditTestBatch: random reward: 3305.0

    67.65     0.600000  1.400000
    67.64     0.600000  1.500000
    67.64     0.600000  1.600000
    67.62     0.600000  1.700000
    67.74     0.600000  1.800000
    67.73     0.600000  1.900000
    67.73     0.600000  2.000000
    67.70     0.600000  2.100000
    67.69     0.600000  2.200000
    67.68     0.600000  2.300000
    67.68     0.600000  2.400000
    67.67     0.600000  2.500000
    67.66     0.600000  2.600000
    67.66     0.600000  2.700000
    67.65     0.600000  2.800000
    67.63     0.600000  2.900000
    67.62     0.600000  3.000000
    65.37     0.620000  0.100000
    65.31     0.620000  0.200000
    65.26     0.620000  0.300000
    65.19     0.620000  0.400000
    65.14     0.620000  0.500000
    65.68     0.620000  0.600000
    67.26     0.620000  0.700000
    67.25     0.620000  0.800000
    65.94     0.620000  0.900000
    65.93     0.620000  1.000000
    65.92     0.620000  1.100000
    65.92     0.620000  1.200000
    67.14     0.620000  1.300000
    67.13     0.620000  1.400000
    67.13     0.620000  1.500000
    67.12     0.620000  1.600000
    67.11     0.620000  1.700000
    67.10     0.620000  1.800000
    67.23     0.620000  1.900000
    67.22     0.620000  2.000000
    67.19     0.620000  2.100000
    67.19     0.620000  2.200000
    67.18     0.620000  2.300000
    67.17     0.620000  2.400000
    67.17     0.620000  2.500000
    67.16     0.620000  2.600000
    67.15     0.620000  2.700000
    67.15     0.620000  2.800000
    67.12     0.620000  2.900000
    67.12     0.620000  3.000000
    64.82     0.640000  0.100000
    64.76     0.640000  0.200000
    64.71     0.640000  0.300000
    64.65     0.640000  0.400000
    64.59     0.640000  0.500000
    64.88     0.640000  0.600000
    66.36     0.640000  0.700000
    66.32     0.640000  0.800000
    65.27     0.640000  0.900000
    65.27     0.640000  1.000000
    65.25     0.640000  1.100000
    65.25     0.640000  1.200000
    66.55     0.640000  1.300000
    66.54     0.640000  1.400000
    66.53     0.640000  1.500000
    66.53     0.640000  1.600000
    66.51     0.640000  1.700000
    66.51     0.640000  1.800000
    66.64     0.640000  1.900000
    66.63     0.640000  2.000000
    66.61     0.640000  2.100000
    66.60     0.640000  2.200000
    66.60     0.640000  2.300000
    66.59     0.640000  2.400000
    66.58     0.640000  2.500000
    66.58     0.640000  2.600000
    66.57     0.640000  2.700000
    66.56     0.640000  2.800000
    66.54     0.640000  2.900000
    66.53     0.640000  3.000000
    64.35     0.660000  0.100000
    64.31     0.660000  0.200000
    64.28     0.660000  0.300000
    64.26     0.660000  0.400000
    64.28     0.660000  0.500000
    64.60     0.660000  0.600000
    66.09     0.660000  0.700000
    66.08     0.660000  0.800000
    64.83     0.660000  0.900000
    64.82     0.660000  1.000000
    64.81     0.660000  1.100000
    64.81     0.660000  1.200000
    66.18     0.660000  1.300000
    66.17     0.660000  1.400000
    66.16     0.660000  1.500000
    66.16     0.660000  1.600000
    66.14     0.660000  1.700000
    66.14     0.660000  1.800000
    66.27     0.660000  1.900000
    66.27     0.660000  2.000000
    66.24     0.660000  2.100000
    66.24     0.660000  2.200000
    66.23     0.660000  2.300000
    66.23     0.660000  2.400000
    66.22     0.660000  2.500000
    66.21     0.660000  2.600000
    66.20     0.660000  2.700000
    66.20     0.660000  2.800000
    66.17     0.660000  2.900000
    66.16     0.660000  3.000000
    63.83     0.680000  0.100000
    63.78     0.680000  0.200000
    63.72     0.680000  0.300000
    63.66     0.680000  0.400000
    63.76     0.680000  0.500000
    64.05     0.680000  0.600000
    65.51     0.680000  0.700000
    65.50     0.680000  0.800000
    64.28     0.680000  0.900000
    64.28     0.680000  1.000000
    64.27     0.680000  1.100000
    64.26     0.680000  1.200000
    65.70     0.680000  1.300000
    65.69     0.680000  1.400000
    65.69     0.680000  1.500000
    65.69     0.680000  1.600000
    65.67     0.680000  1.700000
    65.67     0.680000  1.800000
    65.82     0.680000  1.900000
    65.81     0.680000  2.000000
    65.79     0.680000  2.100000
    65.78     0.680000  2.200000
    65.77     0.680000  2.300000
    65.77     0.680000  2.400000
    65.76     0.680000  2.500000
    65.75     0.680000  2.600000
    65.75     0.680000  2.700000
    65.74     0.680000  2.800000
    65.71     0.680000  2.900000
    65.71     0.680000  3.000000
    63.30     0.700000  0.100000
    63.24     0.700000  0.200000
    63.19     0.700000  0.300000
    63.13     0.700000  0.400000
    63.08     0.700000  0.500000
    63.33     0.700000  0.600000
    64.89     0.700000  0.700000
    64.91     0.700000  0.800000
    63.72     0.700000  0.900000
    63.72     0.700000  1.000000
    63.71     0.700000  1.100000
    63.70     0.700000  1.200000
    65.21     0.700000  1.300000
    65.21     0.700000  1.400000
    65.20     0.700000  1.500000
    65.19     0.700000  1.600000
    65.17     0.700000  1.700000
    65.17     0.700000  1.800000
    65.16     0.700000  1.900000
    65.32     0.700000  2.000000
    65.30     0.700000  2.100000
    65.29     0.700000  2.200000
    65.28     0.700000  2.300000
    65.28     0.700000  2.400000
    65.27     0.700000  2.500000
    65.26     0.700000  2.600000
    65.25     0.700000  2.700000
    65.24     0.700000  2.800000
    65.22     0.700000  2.900000
    65.21     0.700000  3.000000
    62.89     0.720000  0.100000
    62.87     0.720000  0.200000
    62.85     0.720000  0.300000
    62.83     0.720000  0.400000
    62.81     0.720000  0.500000
    63.07     0.720000  0.600000
    64.40     0.720000  0.700000
    64.42     0.720000  0.800000
    63.26     0.720000  0.900000
    63.26     0.720000  1.000000
    63.24     0.720000  1.100000
    63.24     0.720000  1.200000
    64.82     0.720000  1.300000
    64.82     0.720000  1.400000
