constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.3, 0.4, 10], [3.0, 9.9, 1.0, 300], [0.01, 0.05, 0.01, 10], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  1  2  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       p01       p02       p03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    56       35.56     0.060000  0.700000  0.830000  50.000000        37.00     71.47     50.60    -16.53     13.89     28.20     21.43     46.40     81.77     21.36 
    57       52.70     0.450000  0.800000  0.570000  50.000000        27.00    101.87     61.20     26.40      2.22     35.30     65.71     69.02     90.66     47.59 
    58       47.98     0.280000  0.700000  0.520000  70.000000        60.00     83.20     60.80     23.20      9.44      0.90     53.89     58.33     84.58     45.49 
    59       40.31     0.280000  1.750000  0.480000  50.000000        -1.00     84.93     28.80     22.40     31.67      5.30     32.22     58.11     85.49     55.19 
    60       52.11     0.440000  0.850000  0.430000  80.000000        49.00     82.80     58.00     25.07      1.11     42.60     41.11     75.24     92.56     53.64 
    61       53.37     0.990000  1.650000  0.550000  50.000000       101.60     60.80     68.40     13.33    -35.00     81.40     56.43     77.35     82.31     27.04 
    62       50.47     0.640000  2.800000  0.520000  90.000000        81.20     69.73     82.20     17.87    -22.22     28.50     55.24     79.64     82.40     30.12 
    63       45.40     0.740000  3.750000  0.450000  130.000000        69.00     67.47     50.20     14.13    -29.44     44.30     46.98     68.47     88.80     34.14 
    64       53.28     1.000000  2.900000  0.520000  130.000000       101.80     59.73     63.40     19.73     -7.78     55.70     57.62     69.71     89.34     23.52 
    65       52.12     1.150000  2.050000  0.560000  160.000000       103.60     55.87     65.40      5.33    -17.22     79.20     48.02     70.15     90.48     20.37 
