constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.3, 0.4, 10], [3.0, 9.9, 1.0, 300], [0.01, 0.05, 0.01, 10], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  1  2  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
    26       53.46     0.520000  2.350000  0.690000  200.000000        99.80     80.27     56.00     24.27     20.00     16.10     47.78     64.18     81.50     44.69 
    27       54.17     0.800000  1.600000  0.580000  200.000000        88.80     65.07     63.60     14.13     10.00     57.10     50.48     71.53     87.85     33.15 
    28       50.75     1.410000  0.650000  0.610000  230.000000        71.40     58.53     56.20      8.00      1.67     73.80     51.27     66.11     90.57     30.00 
    29       52.31     0.760000  2.950000  0.640000  190.000000       103.40     58.40     56.40     16.80      3.89     43.00     48.89     72.76     90.11     29.44 
    30       56.78     0.440000  1.100000  0.720000  180.000000        88.40     89.73     71.20     12.80     -2.22     21.20     62.78     77.93     88.98     57.04 
    31       57.40     0.610000  0.800000  0.630000  170.000000        87.40     76.67     83.80      8.27     -3.33     57.30     64.84     70.87     87.80     40.43 
    32       52.70     0.560000  1.600000  0.630000  200.000000        61.60     78.00     62.00     24.00     -1.67     40.40     47.86     76.33     90.43     48.02 
    33       58.31     0.580000  0.550000  0.660000  240.000000        67.20     92.40     70.60     10.13      5.56     43.20     76.83     73.82     87.44     55.93 
    34       52.57     0.780000  2.200000  0.790000  300.000000       101.80     62.13     74.00     12.00     -5.00     35.00     55.71     73.85     85.03     31.17 
    35       51.44     1.390000  0.350000  0.750000  250.000000        83.20     59.60     42.00      4.80     -3.33     68.70     61.67     59.24     92.06     46.48 
    36       46.44     1.880000  1.050000  0.650000  190.000000        62.80     44.53     41.00     14.93     18.33     68.40     48.49     68.29     87.62     10.00 
    37       42.37     2.090000  2.200000  0.510000  240.000000        78.60     48.00     33.60      8.27    -12.22     69.30     35.71     66.36     79.95     16.11 
    38       51.49     1.790000  0.750000  0.690000  190.000000        82.00     71.73     54.20     -0.53     21.67     57.40     48.41     61.42     88.21     30.37 
    39       49.51     1.400000  3.000000  0.800000  130.000000        78.20     59.87     38.00     -8.80      5.00     80.70     52.78     76.55     93.38     19.44 
    40       61.62     1.580000  0.800000  0.930000  100.000000        91.20     92.13     47.20     22.67      6.67     82.00     53.33     70.80     94.88     55.37 
    41       48.19     1.970000  2.050000  0.860000  120.000000        81.60     55.33     52.80    -10.67      0.00     75.40     49.05     66.25     94.88     17.22 
    42       50.54     1.390000  2.900000  0.910000  140.000000        85.80     52.93     52.20     13.60      0.56     72.30     45.16     75.67     89.98     17.22 
    43       59.45     1.040000  2.150000  0.820000  80.000000        90.60     67.73     53.60     30.93     33.33     82.20     54.05     81.35     81.04     19.69 
    44       54.06     1.670000  2.750000  0.900000  60.000000        92.80     54.67     59.20     10.93     10.56     77.80     48.49     77.60     93.47     15.12 
    45       54.31     1.630000  4.550000  0.920000  110.000000        83.20     53.87     61.40     32.27     -3.33     78.10     49.44     77.16     93.51     17.47 
    46       44.46     2.170000  6.300000  0.920000  130.000000        61.00     45.60     47.20     19.47      1.11     61.70     41.67     74.76     81.86     10.25 
    47       56.27     1.110000  6.300000  0.800000  90.000000        91.40     58.53     68.80     31.20     18.89     58.30     57.22     69.60     87.85     20.86 
    48       46.52     1.570000  7.750000  0.870000  110.000000        81.80     41.87     57.00     -5.33     -7.22     66.80     60.40     61.64     91.47     16.79 
    49       47.61     0.830000  7.850000  0.740000  40.000000        89.80     44.27     65.80     25.33    -10.00     30.70     53.02     57.16     88.07     31.91 
    50       55.34     1.070000  4.900000  0.930000  90.000000        78.20     78.13     56.60     16.53      9.44     70.80     64.92     79.85     83.67     15.25 
    51       54.62     0.990000  4.950000  0.900000  110.000000        91.40     54.80     57.60     23.73     -7.22     70.10     58.25     75.35     94.60     27.59 
    52       53.21     0.750000  4.550000  0.970000  140.000000        90.20     66.00     70.60     26.40    -18.89     47.40     51.90     68.44     86.26     43.83 
    53       48.81     1.260000  6.450000  0.970000  180.000000        70.60     50.80     64.80      0.53     11.67     55.40     50.16     71.53     93.33     19.32 
    54       47.19     1.590000  5.950000  0.990000  200.000000        95.00     56.67     40.80     10.67    -18.89     75.30     37.30     75.31     84.22     15.49 
    55       54.48     1.120000  6.000000  0.970000  250.000000        76.20     73.07     72.40     -7.47     23.33     62.10     59.29     74.73     93.42     17.78 
    56       46.86     1.620000  6.350000  0.850000  190.000000        90.40     39.60     66.80    -13.07    -27.22     72.10     50.71     68.18     97.19     23.95 
    57       53.02     1.520000  4.750000  0.900000  250.000000        96.20     43.73     55.60     32.27     -2.22     71.70     59.05     71.02     86.17     16.67 
    58       56.91     1.180000  5.050000  0.810000  230.000000        95.40     62.67     68.20     28.00      5.00     65.90     53.25     69.53     93.06     28.09 
    59       49.95     0.620000  4.850000  0.810000  240.000000        80.60     79.87     79.80      8.80    -16.67     24.00     41.59     68.73     89.48     43.33 
    60       49.08     1.230000  3.800000  0.730000  220.000000        84.80     54.93     49.40     29.87    -18.89     53.10     44.21     76.11     95.83     21.42 
    61       52.75     1.370000  4.900000  0.710000  270.000000        84.60     57.47     61.60     27.20      3.89     67.70     55.95     69.02     82.99     17.04 
    62       51.81     0.840000  5.650000  0.780000  280.000000        77.20     67.60     64.00     10.40     -3.33     49.30     59.29     67.64     97.28     28.70 
    63       60.89     0.760000  3.700000  0.890000  240.000000        87.80     86.00     92.60     15.20     27.22     45.30     59.84     73.75     87.39     33.77 
    64       51.01     0.800000  2.500000  0.770000  250.000000        87.00     71.73     67.20     16.80      1.67     32.20     54.13     63.64     84.49     31.30 
    65       47.44     1.310000  5.500000  0.910000  260.000000        87.40     59.07     38.80      3.73     -5.56     66.90     48.10     68.44     92.88     14.69 
    66       55.06     1.230000  5.700000  0.880000  200.000000        94.60     52.80     48.20     13.07     24.44     67.00     64.05     72.11     94.88     19.51 
    67       48.76     0.500000  2.000000  0.780000  290.000000        79.20     57.47     69.20      1.33      1.67     20.50     63.57     69.16     80.86     44.63 
    68       50.51     1.310000  2.100000  0.900000  210.000000        88.20     43.73     67.40     -1.87     20.56     63.00     47.78     68.51     86.85     20.93 
    69       54.22     1.040000  2.850000  0.880000  180.000000        92.40     60.53     66.20      2.93      2.22     62.20     63.41     78.18     88.34     25.80 
    70       50.46     1.660000  3.100000  0.800000  160.000000        78.20     43.73     60.20      9.60     23.89     69.10     46.67     69.13     90.34     13.70 
    71       46.51     1.150000  2.000000  0.880000  200.000000        67.40     65.07     56.00      1.33    -32.78     67.50     51.19     73.60     95.69     20.06 
    72       56.67     0.700000  3.900000  0.840000  210.000000        82.40     74.00     79.20     30.67     17.22     42.40     48.10     68.51     86.71     37.53 
    73       62.48     0.610000  2.200000  0.820000  170.000000        82.20     84.67     85.20     40.53     21.11     22.90     72.54     80.07     94.33     41.23 
    74       51.42     0.650000  3.000000  0.750000  230.000000        96.60     73.73     69.60     18.40    -27.22     29.10     55.79     69.35     87.03     41.85 
    75       52.70     1.180000  3.400000  0.880000  130.000000        82.00     66.00     70.60     -0.00      5.56     66.90     50.79     74.36     86.98     23.83 
    76       56.05     0.270000  2.400000  0.910000  210.000000        80.20     79.87     70.60     45.87     -1.11     20.50     56.35     53.09     91.34     63.77 
    77       56.64     0.750000  3.150000  0.940000  150.000000        92.60     72.40     70.40     23.73      2.22     54.90     55.95     82.22     84.85     27.10 
    78       59.57     0.710000  1.250000  0.840000  180.000000        95.00     69.47     83.40     22.93     16.67     55.90     50.32     75.45     83.17     43.40 
    79       46.84     0.370000  0.650000  0.940000  190.000000        34.80     79.33     68.60     30.40     -0.56     15.40     53.17     57.38     70.20     59.69 
    80       56.32     1.170000  3.050000  0.930000  170.000000        96.40     63.87     63.40      9.60     10.56     67.30     58.25     77.96     96.37     19.51 
    81       38.34     0.120000  0.350000  0.760000  240.000000       -27.20     64.40     40.80     34.93      8.33     17.80     47.46     35.42     91.34     70.12 
    82       55.72     0.180000  0.800000  0.790000  140.000000        56.80     80.80     82.80     48.00     39.44     -3.40     63.57     41.82     80.23     67.16 
    83       42.57     0.120000  1.450000  0.880000  130.000000        52.40     86.67     51.40     32.00     -5.56     -0.30      6.27     49.96     91.20     61.67 
    84       55.88     0.350000  1.500000  0.760000  160.000000        59.60     92.40     75.40     38.93     18.89     -0.20     58.89     61.82     94.47     58.64 
    85       38.24     0.050000  0.600000  0.840000  140.000000        43.40     89.33     29.20     10.93     10.56     -9.20     42.86     31.13     93.24     40.99 
    86       59.15     0.580000  1.450000  0.860000  160.000000        85.80     81.87     75.00     29.33     25.56     26.30     66.83     70.44     88.44     41.98 
    87       55.30     1.040000  2.750000  0.850000  190.000000        90.40     56.67     70.60     12.00     10.56     73.40     52.38     74.11     92.34     20.56 
    88       50.13     0.390000  3.200000  0.770000  120.000000        48.00     75.07     71.40      9.33     23.33     23.20     39.13     50.98     95.74     65.12 
    89       54.17     0.780000  4.750000  0.860000  70.000000        89.00     77.47     65.80     20.80     15.00     32.70     48.02     76.07     88.93     27.90 
    90       48.80     0.300000  2.900000  0.750000  50.000000        42.00     88.93     53.40     44.53     22.78      7.80     23.02     54.65     94.24     56.60 
    91       50.71     0.560000  2.700000  0.670000  20.000000        57.40     83.07     54.80     18.93     -4.44     52.20     43.65     72.95     87.44     41.11 
    92       56.67     0.260000  1.750000  0.600000  60.000000        63.00     68.53     74.60     60.27     51.67     -3.10     45.63     61.20     87.21     57.65 
    93       50.16     0.730000  3.500000  0.530000  40.000000        85.00     65.33     80.80     20.53    -15.56      7.70     61.59     76.22     89.16     30.86 
    94       48.01     0.760000  2.100000  0.630000  20.000000        95.40     60.40     41.20      0.27    -21.11     71.20     39.37     82.15     78.32     32.90 
    95       62.30     1.200000  0.350000  0.720000  70.000000        89.60     80.13     73.80     18.40      6.67     76.30     56.19     80.40     78.00     63.46 
    96       50.39     1.200000  1.700000  0.670000  20.000000        73.20     51.33     56.80     17.33    -28.89     92.60     56.98     80.91     82.86     20.74 
    97       56.75     0.970000  1.450000  0.630000  90.000000        77.40     69.60     63.00     15.47      0.56     75.40     68.65     79.71     95.83     21.85 
    98       55.92     0.730000  3.000000  0.730000  140.000000       100.00     70.93     70.60     20.53      9.44     35.60     53.89     76.91     88.84     32.47 
    99       36.77     0.180000  4.650000  0.810000  160.000000        34.60     92.67     63.80    -22.40      7.22      3.90     12.70     42.84     87.80     44.57 
   100       52.13     0.570000  5.950000  0.880000  210.000000        77.80     99.87     71.40     10.67    -14.44     27.10     55.00     65.49     87.57     40.80 
   101       53.01     0.820000  7.800000  0.840000  230.000000        90.20     76.80     55.80      8.27     17.78     46.10     57.06     63.71     88.07     26.30 
   102       49.91     0.510000  8.700000  0.830000  270.000000        78.40     89.60     78.20     21.07     15.00     16.10     42.38     45.64     79.73     33.02 
   103       51.73     0.740000  7.400000  0.890000  240.000000       108.00     75.20     67.20      4.00     -8.33     23.90     45.00     66.47     92.83     43.02 
   104       51.71     0.670000  5.950000  0.880000  250.000000        89.80     77.47     78.00     16.00    -21.11     40.50     51.98     62.91     85.26     36.30 
   105       47.87     1.160000  7.400000  0.860000  230.000000        92.00     47.20     47.80      5.07      5.56     58.30     51.19     63.60     91.97     15.99 
   106       49.02     1.220000  8.950000  0.780000  270.000000        73.60     51.87     65.60     15.47      0.56     63.80     45.48     63.71     86.76     23.40 
   107       45.01     1.610000  7.850000  0.820000  290.000000        79.60     46.40     54.80    -16.00     -1.67     71.40     46.51     57.71     91.43     19.94 
   108       49.02     1.750000  9.400000  0.860000  280.000000        83.40     58.13     54.00      0.27     15.56     68.00     44.68     58.98     91.61     15.62 
   109       51.41     1.350000  8.300000  0.760000  280.000000        79.80     50.80     49.60     15.73     11.11     75.60     59.05     60.11     94.10     18.21 
   110       44.73     1.070000  6.650000  0.660000  280.000000        80.20     61.87     44.80      9.33    -26.11     56.10     45.56     63.05     88.16     24.32 
   111       47.66     1.090000  6.600000  0.780000  230.000000        96.40     64.53     54.80      2.40    -13.33     53.00     44.52     65.20     89.93     19.14 
   112       53.38     1.470000  7.350000  0.870000  260.000000        85.80     57.33     52.40     26.40      8.33     76.70     46.11     64.87     93.24     22.65 
   113       61.23     1.000000  6.300000  0.760000  280.000000        90.20     75.60     65.00     40.27     30.56     65.70     66.83     68.47     89.43     20.25 
   114       49.76     1.420000  6.600000  0.660000  250.000000        79.00     52.93     43.80     23.20     15.00     65.90     46.35     62.11     88.98     20.31 
   115       45.42     1.900000  5.000000  0.640000  270.000000        78.20     43.07     34.40     20.80      6.67     60.00     38.57     63.16     91.20     18.09 
   116       48.59     1.570000  4.350000  0.710000  230.000000        69.20     58.13     50.00      9.33    -10.56     82.20     51.27     67.13     98.73     10.49 
   117       46.41     1.950000  3.200000  0.780000  280.000000        72.40     45.47     54.80      8.80      9.44     71.10     33.10     69.53     81.18     18.33 
   118       46.43     1.810000  1.450000  0.680000  260.000000        82.00     35.20     47.40     30.93     -6.67     66.30     40.95     64.58     88.71     14.94 
   119       38.34     2.110000  2.650000  0.790000  220.000000        59.80     33.47     50.60     -8.27    -18.89     64.40     49.21     61.24     85.22      6.60 
   120       51.39     1.580000  2.150000  0.640000  280.000000        88.80     42.13     41.20     27.20    -12.22     72.40     69.21     75.02     98.37     11.79 
   121       49.64     1.540000  2.800000  0.610000  260.000000        79.60     61.60     51.20     17.33    -12.22     64.20     49.92     70.87     93.61     20.25 
   122       44.79     1.610000  3.850000  0.610000  240.000000        82.60     49.73     32.00     17.33    -23.33     65.80     47.54     63.82     88.84     23.52 
   123       51.86     1.140000  3.900000  0.570000  200.000000        89.00     71.47     51.40      9.60     11.11     62.50     47.70     72.98     83.90     18.95 
   124       50.26     1.610000  4.400000  0.600000  210.000000        82.00     51.47     51.80      8.00      0.56     74.60     55.87     66.76     95.60     15.99 
   125       51.20     1.490000  5.550000  0.580000  170.000000        79.80     50.13     45.40     25.07     27.22     65.20     46.67     64.62     87.21     20.68 
   126       43.31     1.700000  4.600000  0.620000  140.000000        74.40     43.87     42.60    -23.73     23.89     69.60     47.46     60.65     85.26      9.07 
   127       44.83     1.420000  4.800000  0.530000  100.000000        79.00     44.40     49.80     -5.33     -6.67     65.80     50.40     61.35     93.24     16.30 
   128       54.49     1.010000  4.500000  0.490000  120.000000        99.40     59.07     68.00      3.20     15.00     74.40     54.44     61.96     90.07     19.38 
   129       58.65     1.100000  5.350000  0.590000  80.000000        94.40     60.27     82.20     22.40     31.67     52.90     58.81     62.44     89.98     31.42 
   130       49.84     1.110000  4.850000  0.520000  70.000000        93.00     58.13     78.80     -2.93     -9.44     63.50     48.25     62.33     87.12     19.69 
   131       46.09     0.920000  4.650000  0.580000  110.000000        82.60     66.67     61.60     11.47    -24.44     36.40     51.83     66.76     82.49     25.56 
   132       48.44     1.130000  3.900000  0.640000  50.000000        82.00     65.87     64.80     -3.73    -12.22     66.90     56.90     70.76     80.91     12.22 
   133       55.26     0.920000  6.850000  0.550000  40.000000        96.80     64.27     79.60      1.87     12.78     58.50     65.24     57.24     88.44     27.84 
   134       49.55     1.260000  5.800000  0.670000  90.000000        81.60     48.00     56.80     17.33      2.22     68.90     50.48     60.18     89.34     20.68 
   135       50.90     0.810000  4.700000  0.740000  140.000000        79.00     75.07     57.20     22.40    -32.78     56.50     56.43     69.02     91.38     34.81 
   136       55.23     0.360000  4.600000  0.820000  140.000000        90.60     95.07     89.00     28.00      0.56      7.60     46.11     53.05     90.52     51.79 
   137       53.91     0.740000  5.250000  0.910000  100.000000        87.40     77.47     85.80     15.47     -6.11     44.20     43.73     77.53     87.12     26.54 
   138       56.51     1.090000  6.350000  0.880000  110.000000        92.80     68.80     72.60     30.13    -10.00     66.70     68.89     73.71     79.59     21.85 
   139       47.75     1.570000  6.500000  0.880000  130.000000        77.60     51.87     38.80     14.13     18.33     63.30     52.14     69.78     81.95      9.63 
   140       48.79     1.310000  4.850000  0.870000  70.000000        88.00     56.00     41.80     28.80     -8.89     51.80     55.32     73.60     82.72     18.70 
   141       54.73     0.990000  5.100000  0.960000  100.000000        82.80     56.40     60.60     -6.67     40.00     60.60     54.13     83.49     87.98     27.96 
   142       54.24     0.860000  4.250000  0.970000  100.000000        88.40     76.67     72.60     10.67      4.44     49.50     63.89     64.73     78.28     33.21 
   143       55.94     0.950000  2.750000  0.900000  130.000000        94.00     75.07     50.20      5.87     40.56     66.30     50.71     72.07     81.36     23.27 
   144       54.91     0.550000  2.900000  0.980000  160.000000        67.60     68.27     65.60     14.93     25.00     53.90     61.19     72.80     81.86     37.96 
   145       54.16     0.150000  2.000000  0.890000  150.000000        70.80     94.67     92.00     30.40     35.56     10.30     55.32     39.89     79.41     33.27 
   146       45.49     0.160000  3.250000  0.980000  100.000000        48.00     94.13     47.20     63.47     12.78     -4.80     21.59     29.56     82.04     60.93 
   147       57.02     0.500000  2.950000  0.970000  140.000000        80.40     72.67     71.20     30.93     25.56     20.20     64.60     70.69     83.31     50.68 
   148       56.94     0.780000  2.000000  0.940000  150.000000        88.00     68.80     72.20     10.93      7.22     66.70     55.48     77.16     88.84     34.07 
   149       55.78     1.050000  1.250000  0.920000  130.000000        94.00     63.87     64.60     -5.87     21.11     67.20     56.43     73.85     90.70     31.91 
   150       52.82     0.600000  2.500000  0.850000  160.000000        51.80     78.53     75.60      4.00     -2.22     61.50     52.46     79.56     91.38     35.56 
   151       54.69     0.460000  2.350000  0.890000  140.000000        82.40     65.47     89.80     15.20     -5.56     29.90     58.57     67.13     93.74     50.25 
   152       21.59     0.000000  3.650000  0.890000  120.000000        53.20     63.07      8.60     -0.27     10.00     -5.90     -6.51     17.78     81.63     -5.74 
   153       57.49     0.760000  3.400000  0.980000  110.000000        86.40     79.33     65.60     18.67     -3.89     61.80     63.65     77.24     89.34     36.79 
   154       58.54     0.850000  4.050000  0.950000  70.000000        98.40     75.20     63.40      7.47     20.00     63.50     63.49     76.73     87.94     29.26 
   155       52.95     1.130000  5.000000  0.900000  70.000000        79.00     65.07     69.20     10.13     -3.89     68.20     48.65     78.84     91.20     23.15 
   156       52.36     1.270000  5.450000  0.910000  30.000000        96.60     55.73     48.80     21.87      1.67     66.10     47.14     74.04     92.97     18.70 
   157       48.07     0.380000  5.400000  0.890000  110.000000        40.80     79.73     88.00     55.47    -30.00     -0.70     49.05     56.58     87.62     54.20 
   158       60.13     0.710000  4.500000  0.950000  70.000000        85.80     67.73     90.80     19.73     10.00     60.10     58.81     83.42     87.66     37.28 
   159       52.01     0.380000  5.050000  0.960000  110.000000        63.20     74.00     83.00     37.60      6.11     28.30     45.87     46.69     88.21     47.16 
   160       55.70     0.440000  3.100000  0.880000  40.000000        51.20     65.33     77.00      8.80     52.78     39.00     61.43     61.56     81.59     58.33 
   161       51.07     0.330000  3.200000  0.850000  60.000000        82.40     71.73     77.60     -4.80     19.44     19.20     37.06     58.11     85.85     64.07 
   162       55.81     0.560000  3.650000  0.770000  40.000000        91.00     80.27     72.20     21.33     15.00     25.20     46.19     69.45     90.43     46.98 
   163       45.31     0.160000  4.850000  0.740000  20.000000        66.00     93.33     95.40     43.20     -1.11      9.00      1.43     20.69     87.39     37.72 
   164       52.33     0.620000  4.150000  0.780000  20.000000        85.20     83.60     81.60     29.87     -7.22     23.40     53.81     61.64     77.23     34.20 
   165       45.19     0.250000  3.150000  0.830000  20.000000        -0.80    106.40     56.40      6.13     18.33     26.20     40.48     55.09     90.61     53.02 
   166       49.77     0.500000  4.300000  0.700000  30.000000       110.20     82.13     60.60      9.87    -16.67     25.60     43.33     60.29     79.18     43.15 
   167       49.00     0.920000  5.050000  0.760000  20.000000        88.40     50.93     76.60      7.47    -10.56     37.80     52.78     69.31     95.19     22.04 
   168       54.81     0.490000  3.200000  0.720000  50.000000        91.00     82.80     56.60     27.73     10.56     29.00     45.32     66.36     90.88     47.84 
   169       44.87     0.170000  2.300000  0.720000  70.000000        22.00     99.87     59.20     41.60     16.67      0.70     19.37     56.73     86.80     45.74 
   170       49.16     0.320000  2.400000  0.650000  10.000000       -26.20     93.47     73.60     42.93     38.33     34.90     35.24     67.78     86.71     44.81 
   171       24.40     0.010000  2.100000  0.680000  40.000000        80.60      5.33     44.40     24.53     -6.67      5.20    -16.11     21.35     91.02     -5.62 
   172       43.31     0.330000  2.250000  0.580000  10.000000        28.00     86.80     36.00     40.00    -27.78     23.40     33.49     67.05     88.93     57.16 
   173       51.93     0.500000  2.350000  0.680000  40.000000        88.80     74.53     79.40     17.87    -31.11     64.60     39.21     65.27     80.68     40.06 
   174       51.05     0.470000  1.700000  0.630000  20.000000        49.40     82.80     80.40      9.60      6.11     48.90     49.21     66.44     75.65     41.98 
   175       31.15     0.060000  1.700000  0.610000  60.000000        61.20     19.73     46.20     14.13     27.22     12.40      1.11     30.47     92.79      6.23 
   176       49.08     0.510000  2.200000  0.710000  30.000000        71.60     73.07     70.60     12.00     -4.44     24.00     44.68     71.38     86.03     41.85 
   177       38.08     0.080000  1.900000  0.660000  40.000000        75.20     47.60     16.80     43.20     37.22     24.40     -6.90     50.22     86.80      6.23 
   178       27.67     0.060000  3.100000  0.610000  50.000000       -18.40     47.33     89.80     45.33     24.44      6.70    -14.05     28.18     83.13    -15.80 
   179       52.92     0.470000  1.850000  0.580000  50.000000        17.20     90.40     67.80     20.80     38.89     54.00     33.89     71.67     86.49     48.09 
   180       37.31     0.120000  3.250000  0.670000  70.000000        74.60    104.13      1.00     29.07     14.44     32.00     -6.51     20.11     82.18     22.10 
   181       52.71     0.200000  2.400000  0.530000  90.000000        57.40     90.53     63.20     63.73     28.89     14.00     22.86     51.35     90.07     45.12 
   182       54.22     0.360000  2.900000  0.550000  120.000000        78.20     88.93     80.80     31.20     -3.33     32.50     45.08     52.11     91.25     45.43 
   183       46.51     0.510000  2.700000  0.470000  150.000000        51.20     70.93     77.80     13.60     -1.67     22.80     37.94     65.20     83.99     43.33 
   184       50.69     0.400000  4.000000  0.510000  130.000000        92.80     88.40     67.80     20.53      1.11     14.80     45.71     39.67     92.83     43.27 
   185       48.53     0.240000  3.650000  0.480000  100.000000        62.00     92.13     60.60     46.67     32.22     -4.90     32.06     43.16     78.28     43.09 
   186       42.32     0.150000  2.450000  0.500000  90.000000        33.60     87.47     58.40     48.27     25.56     -4.80     11.03     45.13     80.14     38.46 
   187       45.85     0.270000  2.200000  0.540000  110.000000        69.40     92.40     37.60     35.20    -15.00     13.40     22.46     54.47     90.88     57.72 
   188       50.23     0.530000  4.150000  0.500000  80.000000        96.80     66.13     83.40     22.67      2.22      5.10     47.14     54.04     89.52     35.31 
   189       53.38     0.450000  1.750000  0.550000  120.000000       100.00     83.60     65.40     14.93      0.56     22.20     49.92     68.51     85.80     42.90 
