constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.3, 0.4, 10], [3.0, 9.9, 1.0, 300], [0.01, 0.05, 0.01, 10], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  1  2  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
    26       57.92     0.850000  5.700000  0.870000  70.000000        81.80     76.13     82.40     31.20    -11.67     67.20     57.30     74.69     93.20     26.91 
    27       50.69     0.380000  7.750000  0.900000  10.000000        70.80     84.80     82.00     25.60    -29.44      7.20     59.84     55.38     86.94     63.83 
    28       51.72     0.630000  6.650000  0.960000  60.000000        70.20     82.67     59.80     25.60     14.44     23.20     46.11     75.67     86.35     33.15 
    29       51.30     0.890000  6.150000  0.840000  40.000000        89.00     64.93     73.80      2.40     -3.89     60.20     47.86     75.38     88.39     14.94 
    30       40.97     0.180000  6.750000  0.790000  90.000000        56.00    101.33      2.60     52.27     27.22     10.10     11.03     12.91     96.46     39.81 
    31       51.85     0.950000  7.650000  0.700000  40.000000        87.80     76.80     51.20      3.20      5.56     60.10     56.98     55.78     94.56     26.48 
    32       49.17     0.690000  6.200000  0.770000  70.000000        77.80     75.33     74.80     -1.07      5.00     11.20     55.00     62.29     93.92     37.41 
    33       45.41     0.920000  7.700000  0.670000  50.000000        55.60     66.27     53.80     -3.47    -13.33     58.50     54.68     61.93     85.94     34.14 
    34       51.67     1.540000  7.300000  0.540000  50.000000        82.20     64.00     50.80     18.93     19.44     62.80     46.51     63.96     87.89     20.12 
    35       47.74     1.290000  9.400000  0.510000  70.000000        74.20     52.67     50.00     18.13      3.89     53.30     52.38     61.53     88.66     22.65 
    36       46.68     1.130000  7.100000  0.570000  100.000000        88.80     51.87     56.40     19.73    -15.00     56.50     43.89     54.51     86.80     23.27 
    37       48.93     1.550000  6.150000  0.450000  160.000000        88.20     61.07     47.60    -10.67      7.78     80.30     43.49     55.78    103.67     12.10 
    38       44.69     1.570000  5.650000  0.410000  220.000000        70.40     57.60     58.20      4.00    -23.89     63.90     45.16     59.85     91.66     20.06 
    39       48.65     1.510000  7.600000  0.440000  220.000000        90.00     51.07     46.20      4.80      1.11     70.80     54.92     59.20     91.25     17.16 
    40       48.01     1.240000  7.700000  0.470000  280.000000        87.60     49.33     60.80      4.27     -7.78     61.40     54.76     63.31     90.43     15.99 
    41       55.99     0.890000  8.100000  0.510000  250.000000       104.20     60.27     50.80     25.33     11.67     65.40     57.62     60.51     88.07     36.05 
    42       45.58     0.470000  8.350000  0.580000  230.000000        59.60     66.80     79.00     28.27    -28.33     23.60     48.17     50.36     82.77     45.56 
    43       52.53     0.920000  8.300000  0.570000  190.000000        98.20     66.53     60.20     23.73     -8.89     65.60     47.86     59.53     77.14     35.43 
    44       52.62     1.390000  9.150000  0.660000  230.000000        89.00     50.40     58.00     27.73     13.89     68.70     47.22     63.53     89.34     18.40 
    45       54.10     0.810000  7.300000  0.740000  240.000000        82.00     62.13     64.80     30.13     16.11     41.90     64.13     66.58     82.77     30.43 
    46       49.33     1.220000  5.650000  0.670000  200.000000        80.80     47.20     70.00      3.47     -2.22     72.20     47.94     65.13     91.11     17.72 
    47       52.28     0.700000  7.000000  0.710000  220.000000        89.80     83.47     86.40      7.73     -7.22     27.90     50.87     64.73     86.89     32.22 
    48       46.05     0.440000  6.800000  0.580000  260.000000        94.00     73.20     90.40     -4.00    -30.56     26.80     34.84     47.93     88.34     39.51 
    49       45.88     1.180000  7.600000  0.630000  250.000000        88.20     58.67     55.80    -12.53    -25.00     69.10     58.65     63.02     84.49     18.40 
    50       50.84     1.260000  8.650000  0.700000  220.000000        83.20     65.87     48.80      1.87      2.78     78.80     54.60     59.85     87.21     25.37 
    51       46.04     1.370000  8.800000  0.710000  190.000000        89.40     52.00     40.00     14.40    -16.67     72.90     49.84     62.58     80.18     15.80 
    52       47.03     1.600000  9.800000  0.650000  190.000000        70.00     49.33     50.00      6.13      7.22     67.70     48.65     62.47     89.84     18.95 
    53       42.16     2.270000  9.450000  0.520000  170.000000        69.80     48.13     39.60      6.93      2.78     76.40     26.27     62.80     77.73     11.11 
    54       38.85     2.320000  9.050000  0.410000  170.000000        70.60     48.27     21.40     18.40     -8.33     55.10     38.81     58.15     78.00      8.15 
    55       45.84     2.400000  8.650000  0.460000  180.000000        75.40     59.20     35.40     25.07     -8.89     74.10     49.37     61.13     71.56     16.05 
    56       35.57     2.900000  6.750000  0.520000  180.000000        67.60     38.80     23.20     -9.87     15.56     52.00     35.71     61.20     64.63      6.85 
    57       39.53     2.550000  4.800000  0.530000  200.000000        72.20     44.00     43.60      0.53     -3.33     59.20     31.43     64.95     77.14      5.62 
    58       39.60     2.390000  3.500000  0.570000  170.000000        63.20     34.40     28.60     -0.27     -7.78     76.30     42.46     67.05     73.74     18.27 
    59       26.66     2.800000  2.700000  0.500000  160.000000        59.80     32.00     13.00    -14.40    -34.44     51.40     25.16     63.35     61.04      9.69 
    60       41.42     2.230000  2.450000  0.510000  150.000000        64.40     47.87     26.00      8.27    -10.00     74.60     42.06     70.76     80.63      9.57 
    61       39.84     2.800000  1.900000  0.560000  120.000000        71.80     24.93     32.20      5.07     35.00     62.30     33.57     55.56     62.36     15.62 
    62       39.51     2.170000  3.700000  0.450000  130.000000        76.00     48.13     27.00    -12.00    -15.00     67.70     40.00     66.04     79.41     17.78 
    63       43.02     1.930000  3.300000  0.490000  70.000000        89.60     44.40     50.20    -15.73      3.33     59.90     36.75     64.47     80.50     16.79 
    64       47.25     1.640000  4.050000  0.410000  20.000000        89.20     39.60     51.20     10.40      5.00     72.00     36.43     57.16     95.24     16.30 
    65       45.73     1.890000  3.300000  0.460000  20.000000        67.40     35.33     45.20     -1.87     35.00     69.00     48.89     68.33     86.76      3.27 
    66       48.40     1.490000  4.100000  0.560000  50.000000        71.40     60.80     50.80     -5.07     17.22     74.30     40.79     66.87     92.47     14.44 
    67       46.99     2.030000  2.850000  0.640000  60.000000        85.00     41.33     37.40     21.07     -2.78     73.10     37.94     74.69     84.04     18.15 
    68       41.89     1.730000  2.300000  0.550000  120.000000        88.60     59.07     30.60      6.40    -58.33     72.60     43.33     69.16     97.14     10.31 
    69       44.85     2.100000  4.600000  0.690000  50.000000        88.60     38.67     43.00    -16.27     -0.56     74.00     53.97     68.58     84.72     13.77 
    70       49.17     1.700000  6.100000  0.600000  80.000000        90.00     55.47     38.00     10.67     17.22     63.60     52.86     62.25     87.57     14.01 
    71       48.74     1.210000  5.300000  0.600000  110.000000        77.40     55.07     65.60      7.20      0.56     45.90     65.79     62.84     89.84     17.22 
    72       54.29     1.200000  5.750000  0.620000  120.000000        83.40     68.40     65.40      6.40     35.00     62.70     52.86     67.35     84.13     17.22 
    73       42.48     1.830000  4.900000  0.600000  70.000000        78.60     48.40     43.20     10.67    -27.78     74.60     37.54     62.33     87.85      9.38 
    74       53.09     0.750000  4.050000  0.590000  180.000000        93.60     54.40     80.40      1.07     -7.78     40.90     52.62     77.20     95.01     43.46 
    75       57.54     1.020000  4.400000  0.630000  200.000000        93.80     66.13     60.80     17.60     19.44     67.30     59.52     71.13     89.39     30.31 
    76       54.86     0.420000  3.150000  0.760000  180.000000       101.40     73.60     56.60     38.93     17.22     15.00     56.51     50.25     92.11     46.98 
    77       49.34     0.920000  4.700000  0.780000  220.000000        99.20     74.67     57.00     -5.33    -15.00     43.00     56.59     69.85     90.66     22.78 
    78       53.18     0.680000  2.500000  0.720000  180.000000        78.00     74.67     76.60     -8.80     25.00     43.00     55.00     63.16     89.39     35.80 
    79       53.00     1.090000  1.950000  0.700000  120.000000        91.60     60.80     63.80     11.73    -16.11     75.60     51.27     79.16     94.51     17.65 
    80       56.34     1.300000  2.400000  0.570000  70.000000        86.80     57.87     64.20     11.20      0.00     93.40     68.17     79.78     92.06      9.94 
    81       48.13     1.400000  1.550000  0.570000  120.000000        84.00     55.33     62.20     -3.20    -18.33     69.90     55.95     71.82     84.90     18.77 
    82       60.95     1.070000  1.000000  0.500000  90.000000        96.60     69.47     65.60      8.00     40.56     71.20     60.48     84.47     92.34     20.80 
    83       49.19     1.610000  1.750000  0.570000  50.000000        90.40     52.13     36.20      1.87     10.56     82.00     46.83     75.49     88.48      7.96 
    84       50.15     1.370000  2.100000  0.520000  80.000000        88.00     56.53     57.60     10.13    -11.67     58.90     61.83     74.51     85.85     19.81 
    85       43.09     1.840000  3.400000  0.590000  120.000000        75.40     38.00     54.00    -17.87     -5.00     70.10     46.67     71.31     88.89      9.44 
    86       56.72     1.450000  0.750000  0.530000  50.000000        84.20     66.80     62.60      8.00     23.33     85.80     46.98     78.15     88.44     22.90 
    87       47.96     1.920000  1.550000  0.430000  100.000000        83.00     49.47     45.20     24.00     -7.22     74.20     40.00     73.09     84.85     12.96 
    88       49.41     1.390000  1.100000  0.550000  120.000000        86.60     52.40     58.00     26.93    -13.89     69.90     41.51     71.20     84.99     16.42 
    89       44.65     1.400000  2.400000  0.480000  150.000000        98.40     47.07     45.20     -7.47    -24.44     69.20     48.81     69.38     92.88      7.47 
    90       44.23     1.700000  3.400000  0.490000  100.000000        78.80     32.93     43.80     -2.67     11.67     66.50     37.86     66.62     95.51     11.30 
    91       51.63     1.320000  3.550000  0.560000  120.000000        80.40     63.73     47.40     16.53     16.67     69.50     52.86     70.29     84.49     14.44 
    92       57.16     1.250000  2.000000  0.460000  160.000000        81.20     63.47     68.80     24.00     34.44     60.60     53.81     72.47    100.32     12.47 
    93       55.84     1.190000  2.850000  0.560000  130.000000        82.60     63.20     51.20     18.13     37.22     72.60     49.37     79.45     85.35     19.26 
    94       47.01     1.420000  4.150000  0.580000  130.000000        73.60     51.20     52.60     -1.87      1.11     65.40     45.40     69.67     92.56     20.43 
    95       54.50     0.670000  4.700000  0.600000  120.000000       100.00     81.07     73.00     26.93      3.89     27.40     54.60     65.16     88.66     24.26 
    96       46.61     0.320000  4.300000  0.690000  120.000000        18.40     83.73     91.60      3.47     38.33     -0.30     36.98     41.05     84.49     68.33 
    97       47.68     1.260000  4.550000  0.560000  70.000000        97.60     46.80     69.20     14.67    -24.44     67.40     56.98     60.04     80.41      8.15 
    98       50.11     0.790000  4.400000  0.550000  160.000000        79.40     71.20     64.40     -0.53      7.22     37.00     57.78     66.69     84.44     33.46 
    99       46.00     0.410000  4.200000  0.610000  70.000000        27.60     93.87    104.40     20.00    -35.00      5.70     46.98     63.13     85.67     47.65 
   100       57.54     0.650000  5.900000  0.530000  20.000000        90.00     76.13     80.80     28.53     25.00     25.70     63.57     50.73     95.96     39.01 
   101       50.94     1.170000  5.950000  0.420000  70.000000        82.40     55.20     48.00     -4.27     26.11     57.50     67.86     64.29     92.88     19.38 
   102       52.79     0.360000  6.700000  0.570000  70.000000        49.60     92.13     70.20     60.53     18.33      9.90     40.08     47.60     87.71     51.85 
   103       27.55     0.050000  6.050000  0.490000  30.000000        20.00     65.87     25.60     53.60     31.11      2.40     -4.29      6.47     83.08     -8.33 
   104       45.53     0.460000  8.150000  0.550000  40.000000        56.00     81.73     97.60     23.73    -33.33      8.50     39.44     48.00     93.70     39.94 
   105       24.88     0.040000  7.400000  0.560000  100.000000        26.80    100.27     21.20    -16.80     25.56      0.90     -4.21     11.24     91.38     -7.53 
   106       48.56     0.420000  8.400000  0.510000  120.000000        68.80     85.73     65.40     36.53    -13.33      3.10     47.70     46.07     87.12     58.52 
   107       27.07     0.070000  6.800000  0.590000  70.000000        28.20     78.67     53.40      5.33     22.22      1.60     -6.59      5.56     85.49     -3.21 
   108       44.67     0.360000  6.800000  0.550000  110.000000        43.00     90.40     73.40     44.00    -31.11      3.30     51.98     28.22     90.84     52.65 
   109       37.38     0.110000  7.450000  0.490000  40.000000        82.60     85.47     43.40     37.87      7.78      1.30      3.49     14.00     91.38      6.54 
   110       49.03     0.430000  6.700000  0.570000  110.000000        81.60     78.93     65.80     21.87     11.67     17.10     38.97     37.05     79.05     58.27 
   111       51.60     0.600000  7.850000  0.610000  50.000000        90.60     79.07     82.00     17.33     -2.22     29.70     38.25     55.89     89.66     35.68 
   112       46.38     0.450000  9.150000  0.590000  40.000000        75.60     75.47     75.00     -6.67      8.89     26.00     24.05     39.24     90.84     55.37 
   113       49.47     0.360000  9.200000  0.650000  40.000000        98.40     89.60     57.40     10.40     -0.56     15.00     45.00     35.35     85.12     58.95 
   114       27.35     0.050000  9.400000  0.640000  60.000000        38.60     78.93     60.60      5.60     13.33     -2.80     -3.25     -3.31     89.98     -4.20 
   115       47.73     0.670000  8.450000  0.600000  70.000000        48.80     77.33     85.60     12.27    -19.44     41.00     53.02     59.35     85.03     34.38 
   116       51.26     0.480000  9.100000  0.600000  100.000000        74.40     86.27     92.20     16.27     13.33     15.20     45.16     46.58     87.12     36.11 
   117       53.84     0.280000  8.650000  0.600000  150.000000        55.80     88.27     69.80     59.47     28.33     14.80     24.13     42.04     86.89     68.83 
   118       50.34     0.300000  7.400000  0.610000  140.000000        23.00     90.27     73.40     71.73     19.44      5.80     45.00     32.00     86.08     56.67 
   119       53.22     0.670000  8.050000  0.650000  180.000000       102.60     75.07     70.00      7.47     -5.00     40.70     54.29     58.33     91.56     37.16 
   120       45.25     0.260000  9.050000  0.710000  160.000000        59.20     78.80     32.40     57.33      3.33      7.30     34.29     20.76     85.71     73.33 
   121       32.30     0.190000  8.850000  0.700000  200.000000        -8.60     92.67     62.60     28.00     -5.00      0.80      7.70     14.11     85.17     45.56 
   122       50.35     0.770000  7.450000  0.690000  170.000000        90.40     65.47     61.80     20.27    -22.22     51.40     62.06     57.53     93.24     23.52 
   123       51.54     1.080000  8.400000  0.650000  140.000000       109.20     71.20     60.40     -4.00    -11.67     62.00     59.13     62.36     85.40     21.42 
   124       41.58     1.420000  9.500000  0.640000  140.000000        75.60     49.73     30.00    -13.07      6.67     66.70     41.51     56.80     87.26     14.63 
   125       46.79     1.570000  7.300000  0.590000  140.000000        95.80     33.73     50.40    -13.33     11.67     63.70     54.84     59.13     96.46     15.49 
   126       51.23     1.200000  5.800000  0.560000  130.000000        89.80     46.27     68.20      7.73      6.11     74.10     51.75     56.58     90.98     20.80 
   127       47.52     1.450000  4.650000  0.500000  140.000000        91.60     48.40     57.00     -3.47      0.56     69.50     52.46     65.20     82.00     11.91 
   128       50.47     1.240000  5.450000  0.510000  180.000000        88.40     57.87     45.80     12.53     11.11     65.90     51.51     63.16     95.01     13.40 
   129       42.86     1.640000  5.200000  0.520000  230.000000        78.60     54.67     34.60    -13.60      8.89     57.40     40.24     60.80     94.47     12.53 
   130       45.33     1.550000  6.550000  0.500000  210.000000        80.60     58.67     34.80      5.60     -3.89     57.30     50.48     66.22     90.79     12.72 
   131       51.23     1.730000  6.250000  0.460000  190.000000        82.80     58.40     55.00     25.60      9.44     59.30     48.41     60.76     95.83     16.79 
   132       50.97     1.330000  5.750000  0.450000  160.000000        72.40     61.33     55.40      1.87     19.44     67.40     59.52     64.55     89.48     18.33 
   133       48.61     1.520000  7.150000  0.510000  110.000000        78.40     45.33     58.60      8.00      6.11     72.50     48.02     59.89     91.34     17.90 
   134       45.86     1.860000  8.350000  0.610000  70.000000        73.60     51.60     45.20    -16.53     21.11     72.90     49.60     59.96     91.20     10.00 
   135       43.32     1.850000  7.850000  0.530000  120.000000        74.40     52.27     51.20      3.73    -25.00     75.40     38.57     57.75     92.52     12.41 
   136       40.85     1.920000  6.650000  0.580000  140.000000        82.60     45.47     28.80      0.27    -20.56     70.80     38.02     65.24     85.62     12.22 
   137       45.46     1.990000  6.400000  0.490000  120.000000        79.40     47.73     54.60     11.20    -25.00     79.40     44.84     59.31     90.75     12.35 
   138       52.94     1.550000  5.600000  0.460000  140.000000        81.20     52.67     76.40     14.93     -5.56     75.50     53.81     62.84     98.82     18.83 
   139       48.76     1.160000  5.050000  0.490000  90.000000        78.00     57.73     66.80      2.93      8.33     62.60     50.32     55.13     87.80     17.96 
   140       54.05     1.150000  5.750000  0.560000  180.000000        93.20     51.60     59.40     10.93     13.33     73.30     62.06     60.65     93.83     22.22 
   141       49.18     1.360000  6.950000  0.640000  130.000000        79.80     65.20     38.00     29.33    -16.11     73.50     49.52     66.62     85.49     20.43 
   142       54.59     0.890000  7.600000  0.720000  160.000000        89.60     66.27     74.00     20.27     -1.67     58.70     63.65     62.04     86.53     26.48 
   143       51.43     1.310000  6.400000  0.810000  140.000000        95.00     66.13     54.80     22.67     -5.00     64.40     44.68     72.22     87.26     12.16 
   144       57.99     1.280000  5.900000  0.800000  110.000000        92.60     69.20     65.40     12.27     26.11     75.90     52.22     70.36     95.56     20.25 
   145       47.55     1.600000  7.100000  0.860000  70.000000        74.80     60.40     35.80      0.27     15.56     62.70     45.24     68.73     93.20     18.83 
   146       50.03     1.830000  6.050000  0.850000  30.000000        77.60     45.33     43.40     20.80     16.11     76.30     48.65     70.29     90.61     11.23 
   147       50.07     1.410000  6.800000  0.940000  70.000000        84.60     44.13     54.80     25.33      9.44     77.40     38.49     70.58     84.72     11.17 
   148       51.38     1.320000  6.950000  0.980000  80.000000        80.00     53.73     51.80     10.40     10.56     72.40     48.10     76.69     89.39     20.74 
   149       56.60     0.960000  6.300000  0.920000  80.000000        80.60     64.80     61.20     26.67     26.67     65.10     49.68     79.56     91.61     20.06 
   150       58.33     0.950000  5.250000  0.870000  110.000000        89.80     81.73     71.80     35.47     23.33     52.10     52.94     68.11     82.72     25.31 
   151       45.94     1.240000  5.750000  0.870000  80.000000        80.60     56.80     43.40      5.33     -3.89     55.90     52.06     72.29     83.08     13.83 
   152       52.66     1.310000  6.150000  0.790000  100.000000        85.20     55.73     63.60     -3.47     24.44     66.50     47.86     65.89     98.78     22.10 
   153       49.51     1.330000  6.400000  0.780000  60.000000        89.60     51.87     53.20    -10.40      0.00     79.00     52.70     69.53     92.20     17.41 
   154       47.36     1.720000  5.050000  0.780000  70.000000        71.20     50.80     27.80     22.93      6.67     71.00     46.51     73.82     90.57     12.35 
   155       47.69     2.150000  4.700000  0.710000  60.000000        69.20     44.13     45.00     18.93     19.44     76.50     33.81     72.04     84.67     13.15 
   156       50.80     2.250000  4.750000  0.780000  90.000000        74.20     37.07     57.20     25.33     48.33     73.60     38.57     69.24     72.70     11.79 
   157       43.07     2.310000  5.500000  0.800000  90.000000        69.40     43.87     38.40     20.53    -12.78     74.80     33.89     67.75     81.54     13.33 
   158       43.89     2.430000  6.050000  0.760000  50.000000        73.40     48.00     51.40      7.20     23.33     66.70     29.52     66.29     69.02      4.07 
   159       32.67     2.690000  6.300000  0.690000  30.000000        65.20     38.80     25.60      3.47    -43.33     63.10     26.90     61.82     73.74     11.42 
   160       41.49     2.530000  7.200000  0.740000  40.000000        65.20     50.53     32.60      1.87      7.78     69.70     35.63     62.07     75.15     14.38 
   161       38.52     2.190000  8.200000  0.690000  40.000000        67.40     33.73     45.00    -17.60     -1.67     60.30     42.14     60.80     76.60     18.46 
   162       39.17     2.360000  7.450000  0.660000  40.000000        68.60     20.27     44.80     -3.47      9.44     61.20     40.56     59.96     82.13      8.21 
   163       35.55     2.710000  8.100000  0.730000  30.000000        61.80     40.00     24.00     -2.93      3.33     67.10     30.63     61.82     62.63      7.16 
   164       45.53     2.080000  8.450000  0.610000  30.000000        71.20     29.33     42.60     32.00     10.00     69.80     39.21     58.25     86.21     16.73 
   165       42.55     1.910000  8.400000  0.640000  40.000000        81.00     51.33     35.80      6.93    -17.78     71.50     39.29     62.15     87.98      7.28 
   166       47.19     1.690000  8.500000  0.720000  80.000000        85.60     46.80     51.00      5.33      6.11     73.40     44.29     60.22     88.84     10.31 
   167       52.28     1.540000  7.250000  0.770000  120.000000        89.00     53.73     57.20     -1.60     41.67     69.90     50.16     62.47     86.80     13.46 
   168       50.26     1.580000  6.100000  0.750000  130.000000        83.00     50.80     49.80     26.40     26.67     65.90     46.03     60.22     87.48      6.30 
   169       45.48     1.910000  5.650000  0.710000  160.000000        76.40     63.33     29.80      8.53      7.22     66.10     42.38     61.13     85.53     14.32 
   170       44.84     2.120000  5.050000  0.700000  120.000000        82.00     37.33     35.80     19.47     10.00     62.10     44.60     62.69     78.46     15.99 
   171       33.69     2.530000  5.950000  0.760000  130.000000        70.40     37.87     23.80      4.00    -33.33     66.20     40.32     58.80     65.94      2.90 
   172       35.42     2.770000  5.600000  0.680000  170.000000        68.80     40.27     34.60     -1.07    -37.22     73.80     30.24     63.64     68.12     13.02 
   173       39.61     2.540000  4.600000  0.740000  190.000000        72.60     36.00     14.40     21.07     -5.56     76.10     33.89     61.49     73.42     12.72 
   174       38.54     2.760000  4.700000  0.650000  200.000000        72.80     40.67     36.00     16.27    -25.56     61.70     30.87     67.45     73.38     11.85 
   175       38.83     2.800000  4.250000  0.670000  240.000000        72.80     35.07     31.40     15.47     11.11     55.20     31.19     60.04     68.03      8.02 
   176       38.82     2.560000  3.300000  0.600000  260.000000        68.40     31.07     39.00     10.67     -2.78     64.80     28.89     65.45     75.19      7.47 
   177       37.89     2.610000  2.400000  0.670000  260.000000        53.80     43.20     23.20     -4.27      8.89     73.30     41.11     66.36     67.57      5.74 
   178       39.30     2.370000  3.750000  0.730000  290.000000        78.60     40.40     22.80      5.33      4.44     67.10     30.79     59.75     72.70     11.05 
   179       37.64     2.060000  3.400000  0.740000  270.000000        70.00     24.80     42.80     -4.27    -27.78     69.00     44.68     68.58     84.40      4.20 
   180       40.16     2.010000  4.650000  0.700000  250.000000        69.60     32.93     28.20     16.27     -5.56     67.20     35.95     61.24     81.77     13.95 
   181       44.66     1.870000  5.850000  0.780000  260.000000        78.00     45.20     26.20     22.67     -8.89     69.00     50.40     66.65     84.22     13.15 
   182       44.67     1.830000  5.750000  0.840000  270.000000        69.00     64.53     30.20     -6.93      2.22     72.00     49.29     61.27     87.98     17.10 
   183       45.94     1.670000  5.700000  0.770000  270.000000        85.60     37.07     62.80     10.93      4.44     59.60     31.59     61.67     89.75     15.93 
   184       48.45     1.570000  6.600000  0.770000  240.000000        88.20     56.93     52.60    -10.67     25.00     71.40     41.43     62.55     78.82     18.21 
   185       49.12     1.180000  5.350000  0.850000  280.000000        80.00     44.93     58.20      8.00     11.11     54.00     51.75     70.25     94.29     18.70 
   186       51.69     1.580000  4.400000  0.820000  270.000000        79.60     52.00     50.40     33.33     -2.22     68.50     59.29     68.18     97.87      9.94 
   187       52.01     1.610000  3.250000  0.860000  230.000000        89.00     54.93     60.00    -17.07     26.11     79.40     50.63     68.58     95.51     13.02 
   188       52.28     1.710000  3.150000  0.790000  240.000000        83.00     58.00     54.20     14.67     18.89     73.40     43.81     68.04     96.55     12.28 
   189       47.99     1.650000  3.350000  0.740000  240.000000        77.40     48.27     35.20     23.20      3.89     74.20     37.22     69.45     85.80     25.25 
