constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    96       51.17      7.70062        67.20     76.00     87.40     20.53     14.44     13.80     53.81     67.60     73.15     37.72 
    97       51.73      7.76184        96.00     61.33    102.80     24.53    -21.11     32.60     61.11     66.69     71.02     22.28 
    98       53.03      7.72582        88.00     63.07     75.00     24.80     -4.44     41.80     71.51     66.00     69.71     34.81 
    99       56.80      7.76026        96.60     81.60     71.80     12.80     23.89     52.20     53.65     66.11     74.33     35.00 
   100       52.18      7.78752       100.80     70.93     82.80     16.00    -21.11     25.90     68.89     70.11     69.25     38.21 
   101       54.48      7.76597        74.40     60.00     76.00     36.27     31.67     36.10     62.22     61.27     71.84     35.06 
   102       52.29      7.76026        75.60     55.33     76.20     18.40      9.44     54.30     65.79     70.98     67.94     28.89 
   103       54.08      6.09757       104.60     76.27     50.80      4.27     20.56     69.50     56.51     55.35     77.37     25.62 
   104       49.97      4.51345        85.00     65.60     68.20     26.13    -15.56     60.80     59.21     64.91     62.22     23.15 
   105       45.34      7.21743        80.00     57.87     68.20     -4.27      2.22     22.90     58.02     62.25     70.43     35.80 
   106       43.79      8.30203        74.40     66.80     70.80      1.33    -20.00     30.00     53.81     56.80     72.20     31.73 
   107       50.22      7.38344        69.00     79.47     75.80     11.20      5.56     30.90     58.41     66.76     71.02     34.07 
   108       51.71      8.09499        92.80     72.67     79.60     36.53      1.11     14.50     54.05     67.09     66.44     32.35 
   109       46.49      9.20013        68.00     59.60     68.40     45.60    -25.56     39.90     54.05     57.35     69.66     27.90 
