constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   102       55.78      5.52533        93.00     72.80     63.80     27.20     -2.78     55.80     51.83     76.87     83.99     35.31 
   103       58.50      5.23122        84.40     59.33     75.20     29.87    -11.11     62.10     69.13     75.89     94.51     45.68 
   104       52.11      4.96827        89.40     68.00     60.20     25.87    -35.00     60.30     57.54     77.75     78.82     38.21 
   105       56.40      6.00262        87.00     70.93     75.60      8.27     37.78     42.90     55.95     72.29     83.81     29.44 
   106       57.58      6.87761        98.80     66.80     89.80     -4.80     13.89     52.20     54.52     81.05     89.25     34.26 
   107       53.83      8.20763        85.80     73.07     76.00     17.87      2.22     44.30     50.79     66.98     86.35     34.88 
   108       47.08      6.59092        78.00     68.80     48.60     -5.33    -21.11     43.20     58.89     69.78     90.48     39.51 
   109       59.74      4.94348       102.00     76.53     81.00     -0.53     16.67     72.70     48.25     74.04     88.25     38.46 
   110       55.58      6.58381        91.60     77.33     73.40     10.67      8.33     44.40     58.41     75.89     89.39     26.42 
   111       49.99      6.00505        93.40     70.53     72.00      8.27    -15.56     29.50     63.65     58.04     94.60     25.49 
   112       53.32      7.87283        71.00     55.33     71.40     28.00     -1.67     54.60     66.90     68.07     89.12     30.43 
   113       49.66      6.62267        58.40     55.60     61.40     35.47     11.11     38.50     53.65     65.16     89.93     27.41 
   114       54.33      5.83157       104.20     60.93     78.80     20.00      5.00     28.80     46.75     77.60     85.76     35.49 
   115       53.45      5.22301        74.60     62.00     67.80     43.73     -0.56     39.50     49.05     76.98     87.98     33.40 
   116       62.66      4.51275        97.80     66.53     86.60     20.27     14.44     63.70     62.62     79.71     92.15     42.78 
   117       57.00      4.35168        96.60     63.33     61.60     25.60     18.89     49.50     66.27     74.25     86.26     27.72 
   118       53.74      6.35662        96.60     89.07     59.60     -5.07    -12.22     56.30     46.03     81.96     89.61     35.49 
   119       46.49      5.88227        71.20     72.80     70.80    -15.20    -12.22     33.60     57.38     79.02     84.76     22.72 
   120       52.70      7.17714        89.60     73.87     71.00     17.33      1.11     35.70     54.52     72.76     82.09     29.01 
   121       47.48      8.23471        88.80     65.07     72.60      4.27    -13.33     33.70     41.43     70.00     84.44     27.78 
   122       55.46      7.00260        86.40     69.47     62.80     28.00     23.89     40.20     57.06     73.56     87.07     26.17 
   123       53.67      6.50373        64.40     70.80     61.80     14.40     18.89     40.10     55.24     79.56     97.51     34.01 
   124       51.53      7.68778        92.60     65.73     71.20      7.73     -6.67     46.40     51.90     71.60     84.63     30.19 
   125       54.42      6.45474        86.00     72.67     77.60     -1.87     26.67     38.00     54.52     71.05     85.49     34.07 
   126       48.86      6.01853        65.60     81.73     73.80      6.13    -35.56     49.60     55.16     75.13     89.39     27.65 
   127       54.79      4.87084        96.80     68.13     71.80      9.33     -8.89     48.70     61.98     76.76     88.25     35.06 
   128       50.66      6.58820       103.00     76.67     62.40     10.40    -26.67     35.50     48.33     71.31     83.27     42.35 
   129       44.00      7.34122        50.40     82.27     64.20     -0.00    -13.33     23.50     49.44     70.55     85.80     27.16 
   130       54.86      8.29315        70.40     82.00     71.40     20.27      1.67     52.40     58.97     70.84     84.76     35.86 
   131       51.34      9.46813        90.40     69.87     63.80     25.33      4.44     26.00     52.06     63.96     85.08     32.41 
   132       57.12      9.04928       100.00     68.13     74.00     14.40     20.00     56.50     55.08     67.13     95.74     20.19 
   133       58.33      9.89465        89.60     85.60     83.60     32.80     22.78     32.90     54.84     57.35     94.78     29.01 
   134       54.40      8.79648        97.00     55.33     78.20     10.40     27.78     24.50     51.98     65.93     89.25     43.58 
   135       55.87      9.09372        89.60     73.87     78.20     18.13      1.11     48.90     57.54     69.67     91.70     30.00 
   136       52.67      9.24857        96.60     72.00     72.20     14.40    -11.67     41.60     63.33     68.15     86.98     23.15 
   137       55.64      7.66172        72.80     73.07     74.60     17.33     19.44     48.70     54.84     68.25     89.89     37.47 
   138       50.46      8.91321        92.60     69.20     78.60     16.80    -24.44     31.50     49.84     64.95     93.88     31.67 
   139       57.20      6.41033        81.80     72.80     67.40     25.07     35.56     44.70     60.32     69.89     88.39     26.11 
   140       55.28      6.55997        73.00     66.40     67.20     29.60     21.11     50.90     36.67     73.85     92.70     41.36 
   141       51.81      5.83504        90.60     62.93     67.80     -0.80     19.44     31.90     51.35     78.55     87.76     28.58 
