constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, -5, -5, -5], [3.0, 5, 5, 5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  [0]
Optimizer(): evals/step: 100
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  3  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  0.000000  0.000000  0.000000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score       p00w00    p00w01    p00w02    p00w03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    46       26.81      1.93300   3.40437   1.81412   1.79576        51.30     24.17     22.58      6.56     -6.39     56.60     20.25     55.58     32.75      4.74 
    47       27.28      1.41780   4.56876   0.95655   1.96640        53.46     23.31     22.04     -2.00     -5.44     62.65     20.84     59.63     31.76      6.56 
    48       29.99      1.56073   3.80153   0.09542   1.32481        62.90     28.17     28.74      2.45    -12.72     67.79     24.84     58.57     35.10      4.07 
    49       38.22      1.73921   3.15106  -0.97208   0.30820        75.00     35.32     40.68     11.73      6.33     70.08     29.84     60.89     45.66      6.64 
    50       32.48      1.98642   2.54407   0.27368   0.91522        70.18     29.27     28.10     -1.76      1.67     64.17     29.55     58.15     40.88      4.58 
    51       38.02      1.95571   1.39575  -0.16503   0.10096        71.68     38.29     41.76      1.65      2.94     64.98     33.80     60.26     58.09      6.69 
    52       39.07      1.89366   1.36321  -0.41207   0.14249        70.38     38.33     37.12      3.79      9.83     67.05     34.53     59.75     59.36     10.52 
    53       40.69      1.68393   1.73444   0.11547   0.12457        75.94     36.91     44.16      9.52      8.89     71.89     35.64     61.19     54.62      8.11 
    54       46.38      1.87744   1.15784   0.09499  -0.97213        85.52     56.55     62.26     12.05     11.11     46.34     40.21     59.36     80.45      9.98 
    55       45.42      2.06721   0.71111  -0.02536  -1.41171        86.70     58.77     60.50     14.48     -2.00     24.09     44.75     59.85     91.93     15.09 
    56       45.70      1.86804   0.84275   0.47430  -0.90485        86.60     49.84     56.98     -0.13     14.56     53.54     41.52     61.41     81.83     10.89 
    57       47.40      1.53170   0.43095  -0.33430  -1.30401        88.70     75.35     72.64     26.99      3.83      0.79     42.08     48.97     89.33     25.30 
    58       44.71      1.59027   0.33047  -0.74756  -2.02588        91.90     80.91     67.74     37.76     25.83     -4.49     28.37     28.12     86.29      4.65 
    59       42.05      1.42439   0.21202  -1.13130  -1.75503        89.18     78.29     75.32     42.19     12.89     -6.12     27.10     20.46     90.47     -9.27 
    60       35.98      1.11504   0.27676  -0.62383  -2.68766        67.80     90.64     74.54     37.39     13.67     -1.38    -18.21     16.40     88.51     -9.54 
    61       29.00      1.35186  -0.41158  -0.42955  -2.08543        88.60     90.71     72.62     41.15      7.72     -4.61    -11.17     18.27     -6.61     -6.68 
    62       20.80      1.09336  -0.76861  -0.94424  -2.33230        85.96     96.25     65.96     44.35    -53.67     -0.89    -16.08     15.39    -41.22     11.99 
    63       31.82      1.41779  -1.07616  -0.52387  -2.60691        90.40     91.21     75.72     41.36     17.94     -5.75    -18.33     15.56     -9.80     19.84 
    64       28.26      1.16042  -0.48072  -0.03635  -1.95129        84.74     86.11     79.12     43.89      1.44     -1.93    -16.12     20.13     -3.38    -11.39 
    65       17.07      1.21980  -1.53306  -1.06171  -3.40850        79.92     92.48     64.40      1.95    -51.33     -3.42     -8.10     17.28    -38.28     15.81 
    66       30.65      1.39423  -0.57204  -0.07957  -3.42503        89.16     89.75     76.22     36.00     12.61     -0.50    -17.87     14.94      5.34      0.83 
    67       27.34      1.28445  -0.41371  -0.80609  -2.85307        83.44     90.59     69.66     19.44     13.22     -4.68    -16.44     17.80     -1.49      1.90 
    68       17.31      1.61992  -1.92191  -1.04262  -3.43732        87.94     90.84     63.30     27.09    -57.39     -7.67    -12.24     14.43    -44.28     11.08 
    69       25.21      1.51629  -1.41792  -0.80567  -2.39256        92.10     91.77     76.74     16.32      7.50     -1.94    -13.75     15.08    -43.55     11.78 
    70       18.54      1.44381  -1.02524  -1.52714  -1.88786        84.24     89.97     71.44     31.97    -51.11     -3.91    -16.87     17.15    -53.40     15.96 
    71       20.04      1.36810  -0.75469  -1.82241  -2.26402        76.40     92.61     75.88     40.56    -53.72     -4.92    -18.59     16.08    -38.71     14.77 
    72       18.64      1.43916  -1.04640  -1.25299  -2.41969        82.72     92.48     79.10     28.93    -57.61     -2.23    -18.87     17.12    -49.11     13.88 
    73       15.79      1.60701  -1.60582  -1.49152  -2.74927        86.24     86.65     67.46     28.35    -63.39     -6.43    -14.90     15.80    -54.40     12.52 
    74       18.94      1.64910  -1.87844  -1.83546  -2.46232        81.78     91.55     66.52     22.77    -59.06     -3.02    -11.56     16.10    -30.18     14.49 
    75       21.37      1.78288  -1.70055  -1.52868  -1.89034        88.84     90.17     77.54     18.40    -47.50     -3.24    -18.84     21.89    -30.36     16.83 
    76       20.56      1.94320  -2.08346  -1.73914  -1.55527        87.70     89.35     77.58     35.95    -56.22     -2.23    -19.96     29.49    -52.71     16.61 
    77       22.87      2.11923  -1.82404  -2.10989  -1.70887        94.68     85.65     79.54     47.31    -51.94     -4.89    -16.14     30.68    -48.18     11.98 
    78       26.69      2.20402  -1.64578  -1.71150  -1.42973        87.66     76.97     70.02     43.84    -57.56      8.48     22.02     48.31    -49.95     17.09 
    79       30.08      2.08263  -1.30607  -1.76886  -1.38582        89.54     80.64     74.52     34.85    -59.83      3.67     22.63     47.09     -4.10     11.81 
    80       20.86      2.01531  -1.86470  -2.30456  -1.38429        88.18     83.60     74.46     43.17    -52.78      1.55    -18.40     29.22    -53.83     13.41 
    81       47.78      2.04667  -0.73584  -1.74474  -1.34312        90.34     75.56     71.96     43.12      0.28      7.51     36.29     47.21     92.16     13.38 
    82       32.86      2.00495  -0.66931  -2.06075  -1.29733        93.98     78.12     74.76     41.33    -53.83      7.79     35.07     45.63     -0.54      6.31 
    83       40.59      2.02692  -0.44591  -2.03805  -1.42149        91.86     74.23     75.54     39.87    -60.11      5.74     37.25     40.54     87.17     13.81 
    84       41.49      2.04995  -0.42714  -2.04252  -1.06993        92.10     70.23     65.64     30.08    -54.94     17.11     45.94     50.76     87.07     10.95 
    85       29.69      1.98391  -0.93764  -2.02878  -1.34793        88.40     83.28     75.66     37.87    -62.89     -0.98     26.56     38.63     -1.37     11.77 
    86       40.76      1.99353  -0.43363  -2.05044  -1.41678        91.66     75.52     76.68     41.89    -59.22      1.73     35.10     38.35     88.39     17.53 
    87       47.93      1.96845  -0.61004  -1.67619  -1.48279        88.90     79.84     75.88     36.96     10.61      0.45     36.74     46.01     88.57     15.32 
    88       38.98      2.01120  -0.70916  -1.58120  -1.66966        91.34     75.47     74.86     34.48     21.06     -5.46     29.25     41.12     15.54     12.13 
    89       40.94      1.88310  -0.41802  -1.97316  -1.36071        93.44     79.03     72.12     48.53    -60.17     -1.35     33.64     37.80     87.24     19.12 
    90       44.62      2.05806  -0.28976  -1.86587  -1.46855        84.14     75.12     74.80     27.01      0.78      2.80     37.56     44.41     86.69     12.87 
    91       46.35      2.03573  -0.56999  -1.66649  -1.70676        88.68     78.60     73.40     30.29     19.11     -0.70     31.76     41.64     88.00     12.70 
    92       45.82      1.95981  -0.57934  -1.71016  -1.51833        94.44     77.56     73.50     41.39     -0.39      1.29     28.19     39.35     87.01     15.83 
    93       47.45      1.95435  -0.57205  -1.72174  -1.52921        93.38     77.01     74.10     44.69      7.72      0.10     32.80     42.26     89.16     13.29 
    94       46.00      1.94630  -0.56757  -1.70656  -1.47965        90.70     77.67     74.74     27.76     14.61      0.41     32.14     43.47     88.64      9.89 
    95       46.80      1.96106  -0.54501  -1.75168  -1.51185        88.96     78.67     77.32     40.83      5.28      1.46     31.29     39.98     89.59     14.63 
    96       45.67      1.94338  -0.61388  -1.72440  -1.54361        91.96     85.87     72.98     40.96     -0.56     -1.36     28.65     39.27     83.95     15.01 
    97       47.89      1.95032  -0.56126  -1.74637  -1.50598        93.60     81.29     79.66     44.99      3.22      1.48     33.57     37.70     88.38     14.98 
    98       39.33      1.95684  -0.58946  -1.75960  -1.54942        91.22     78.88     73.30     35.41    -56.00     -2.48     27.09     42.40     89.98     13.49 
    99       47.39      1.96038  -0.54339  -1.77543  -1.48433        89.72     78.03     74.56     51.49      4.50     -2.20     35.06     41.20     87.95     13.60 
   100       46.68      1.97431  -0.50260  -1.73595  -1.44093        92.06     74.03     75.26     37.84      1.22      4.10     35.01     45.41     90.13     11.73 
   101       41.79      1.96808  -0.49919  -1.81304  -1.44356        94.12     79.28     82.50     37.87    -55.89     -1.50     34.11     42.27     88.49     16.69 
   102       45.59      1.96038  -0.54339  -1.77543  -1.48433        90.40     79.37     80.24     31.49      4.94     -2.00     31.38     43.74     83.87     12.43 
   103       39.03      2.66802   0.28092  -2.92894   0.90959        60.90     38.12     32.98     -1.39     -8.00     61.81     33.00     59.31     69.48     44.08 
   104       41.13      2.69750  -0.44062  -2.09934   0.81881        63.28     32.61     30.18      3.84     11.61     61.91     33.98     59.21     76.89     37.81 
   105       39.11      1.96288   0.23443  -3.83657   0.80527        75.64     43.75     43.58     10.69    -62.61     73.47     46.39     59.69     87.47     13.04 
   106       32.96      2.47351  -0.35605  -3.59986   1.66148        56.72     31.88     27.50      0.96    -43.61     67.41     31.93     59.01     77.18     20.60 
   107       30.86      1.55066  -2.02496  -2.21233   1.72663        63.10     37.79     33.52      7.23    -40.61     67.77     67.42     57.86     -2.63     17.11 
   108       21.78      1.33891  -3.02397  -3.14920   3.60549        51.84     29.83     25.32      7.12    -43.94     66.77     20.67     57.41    -14.38     17.17 
   109       -2.23      0.97803  -2.80773  -4.30752  -0.75802        42.52      0.13     18.54     -5.23    -68.39     -2.18      0.64      9.34    -30.73     13.06 
   110       17.24      1.07468  -1.00019  -4.40591   1.70070        62.86     50.69     45.06     -8.21    -62.89     56.47     15.83     38.22    -36.39     10.74 
   111       36.60      1.92859  -0.11459  -0.82327   1.18108        62.30     33.33     28.18      5.41     -6.89     66.51     37.60     57.99     67.09     14.45 
   112       36.39      2.23085  -1.69433  -2.50461   1.99830        60.82     32.93     27.46      7.36    -24.72     64.66     46.18     57.29     77.34     14.62 
   113       32.22      2.07685  -0.37483  -3.67034   2.17019        57.36     29.40     29.38      0.00    -55.06     69.01     40.11     58.47     74.78     18.71 
   114       33.40      2.08341  -1.28426  -3.19255   3.02093        47.28     25.01     21.72      4.69    -24.39     62.27     39.52     57.68     71.31     28.89 
   115       36.47      2.32792  -0.45583  -3.33733   1.85461        59.64     26.71     28.90      4.77    -24.56     67.82     38.89     58.25     73.68     30.61 
   116       32.41      1.67437   0.92840  -2.36727   2.45776        55.80     26.80     26.24     -3.39     -3.33     67.64     31.48     58.63     51.57     12.62 
   117       36.19      1.15395   2.37924  -0.39761   1.26119        70.42     36.11     37.98      1.41     -5.00     72.47     33.14     60.57     47.10      7.73 
   118       34.76      1.00521   4.03836  -1.69525   1.69966        70.18     25.03     35.10     12.43      1.61     73.84     27.52     58.92     38.48      4.51 
   119       28.46      1.22950   3.69511  -1.43826   3.38808        49.70     23.17     23.12      9.63     -6.11     66.03     21.25     57.04     32.74      7.99 
   120       29.05      0.51209   4.52142   0.44547   3.21117        50.38     23.71     23.82      5.07      0.39     69.07     23.68     58.32     31.25      4.84 
   121       36.27      0.38172   3.61665  -0.29349   1.13299        72.86     34.93     50.88      6.13     -4.22     59.12     33.25     58.82     44.04      6.90 
   122       30.83      0.01165   3.09455  -1.24483   3.34906        57.52     26.67     28.88      6.27     -1.61     57.83     33.10     55.35     38.96      5.31 
   123       27.54      0.23722   1.65198  -3.07582   2.61143        58.98     34.71     34.32     -2.56    -42.83     45.04     46.32     36.25     60.19      5.02 
   124       30.09      0.27925   3.18961  -2.47916   1.60557        64.24     39.12     39.72      9.49    -37.72     36.91     43.71     41.64     50.85     12.91 
   125       25.96      0.58878   4.17128  -4.34512   3.30524        58.36     26.13     33.40     -0.37    -41.22     64.07     25.66     46.29     36.57     10.69 
   126       34.81      0.57467   1.59825  -3.31621   1.48733        67.42     40.97     44.46     10.56    -51.61     40.22     53.62     42.96     75.89     23.59 
   127       31.24      0.35022   3.41295  -1.76263   2.95281        61.68     28.68     32.56      0.08     -3.39     60.47     30.52     56.51     37.87      7.43 
   128       26.60      0.19765   1.26636  -3.48364   1.32434        35.04     58.56     21.38    -11.63    -60.06     24.00     62.21     35.34     87.96     13.21 
   129       31.68      0.31026   1.80325  -2.72133   1.66395        67.82     42.52     41.24     -1.15    -43.11     36.12     50.39     39.71     68.73     14.48 
   130       29.33      0.12411   2.61871  -4.06080   1.68866        51.62     42.53     28.56      0.83    -51.06     28.46     54.90     42.71     65.76     28.94 
   131       38.47      0.29133   0.81367  -2.23447   1.60320        64.52     48.67     44.70      5.01    -52.44     52.75     66.34     40.76     87.25     27.12 
   132       32.08      0.27437   1.63391  -0.32457   3.25827        53.96     25.51     28.04     -2.64      1.17     69.71     34.92     58.11     42.72      9.31 
   133       41.17      0.36284   2.23648  -1.13079   0.76939        76.14     46.17     61.98      9.28      4.50     32.36     49.94     52.73     66.17     12.40 
   134       31.04      0.63080   3.59492  -1.42564   2.31181        59.88     25.20     28.82      6.19     -9.11     70.37     28.03     58.30     36.80      5.94 
   135       28.94      0.02440   2.98953  -1.21060  -0.88721        36.10     87.05      0.64     51.92    -52.33     -0.55     47.00      9.37     91.24     19.01 
   136       31.97      0.50358   3.17024  -1.46832  -0.20067        47.96     63.29     40.12     17.73      5.00      2.75     44.94     24.31     63.63      9.95 
     1       50.17      0.77000   0.00000   0.00000   0.00000        85.04     69.92     69.78     13.71      2.28     30.85     54.52     56.82     86.94     31.85 
     2       42.74      1.04279  -0.42595  -2.08720   0.48149        84.28     61.88     60.00     21.04    -53.89     58.60     56.07     53.42     71.59     14.41 
     3       27.12      0.91107  -0.70625  -2.44715   0.78588        78.60     61.37     64.30     11.36    -59.72     44.91     54.13     45.45    -41.73     12.55 
     4       36.39      1.62674   1.52339  -3.36188  -1.64504        77.06     81.08     65.52     32.72    -51.44     -0.72     40.70     19.11     87.56     12.30 
     5       34.11      2.25757   2.18385  -3.96541  -3.19843        79.62     77.08     70.68     39.87    -54.39     -2.03     29.70     15.26     88.36     -3.09 
     6       37.05      1.91337   2.78636  -3.48137  -0.88885        83.10     57.47     69.08     19.79    -60.89     12.72     38.83     49.39     73.96     27.04 
     7       39.06      1.91603   3.84850  -1.72501  -1.08524        86.26     42.33     72.62      8.43     14.28     14.28     33.75     57.78     50.30     10.59 
     8       30.50      1.58413   4.13190  -3.46523  -2.60624        58.64     73.13     64.30     32.32    -72.67      0.72     32.67     16.19     81.26     18.48 
     9       20.89      0.98270   2.99225  -3.11557  -4.37779        49.76     93.23     28.66     13.49    -52.94     -3.21    -17.78     12.69     88.45     -3.43 
    10       30.51      1.67345   2.55231  -4.81783  -2.86373        63.42     84.11     40.26     29.25    -57.83     -0.92     29.13     16.53     87.62     13.53 
    11       37.06      2.24063   1.06544  -4.15057  -2.77071        93.88     83.11     77.32     37.17    -60.39     -3.44     25.72     16.10     88.93     12.22 
    12       17.90      1.65160  -0.59834  -3.44171  -1.00463        71.16     89.01     68.46     11.60    -45.89     -1.62     -3.33     19.71    -44.22     14.12 
    13       34.21      2.53265  -0.57110  -4.89021  -0.80368        88.54     74.65     72.04     35.76    -64.17     33.83     44.63     44.27     -3.64     16.19 
    14       27.53      2.66308  -1.25288  -3.20408  -2.12089        88.82     77.03     77.02     23.57    -56.89     -2.12     16.87     31.85      3.70     15.47 
    15       44.81      2.20268  -0.40372  -3.80545   0.04358        83.44     57.97     58.64     17.60    -47.78     66.81     50.00     59.97     91.81      9.65 
    16       33.23      2.43658  -1.29368  -3.56343  -0.58515        82.38     69.16     70.40     45.09    -55.94     57.01     47.30     57.12    -50.77     10.52 
    17       15.15      2.36066  -2.34056  -4.52454  -2.70823        83.30     89.36     71.92     -4.80    -62.94     -3.15     -9.35     16.95    -46.83     17.04 
    18       20.17      2.53006  -1.50414  -4.47537  -3.12843        91.90     89.88     70.62     23.09    -55.94     -5.56    -18.64     15.98    -20.59     10.94 
    19       21.17      2.84282  -0.43977  -3.88829  -4.34432        88.16     81.89     76.80     38.53    -61.72     -4.51    -17.79     13.87    -17.21     13.64 
    20       21.43      2.61437  -0.42426  -4.99105  -3.70408        92.80     88.72     67.22     13.73    -49.94     -3.93    -19.25     15.28     -2.32     12.00 
    21       37.01      1.98651   0.44494  -2.98256  -1.91448        90.84     79.77     70.14     38.85    -56.17     -5.41     30.52     20.37     88.67     12.48 
    22       18.35      1.43797   1.81039  -4.91409  -2.59840        39.66     86.81     19.62     -5.63    -66.00     -2.03     -1.02      9.28     87.73     15.12 
    23       48.14      2.16250   1.53197  -1.98732  -1.67002        85.88     66.49     70.16     29.84     23.06      2.74     39.21     51.83     91.80     20.34 
    24       41.51      2.21224   1.21761  -2.59947  -1.65636        95.04     66.75     72.66     31.52     -9.33     -1.62     37.96     44.92     91.89    -14.69 
    25       40.67      1.92521   2.49055  -3.87820   0.06776        84.98     39.27     70.98      9.52    -54.39     64.55     33.02     57.61     65.52     35.69 
    26       29.15      2.36752   3.39886  -4.15569   1.92962        59.74     22.60     27.38      5.01    -17.50     61.24     24.71     58.19     39.78     10.31 
    27       42.94      2.32625   1.94527  -2.03469  -0.46021        80.74     39.80     56.20      9.68      6.78     66.43     30.16     60.12     64.98     14.56 
    28       41.73      2.68405   0.45065  -1.20740  -0.43318        80.04     45.60     41.48      3.65     -5.22     62.45     34.09     60.67     77.72     16.78 
    29       47.67      2.20530  -0.59899   0.41215  -1.24890        85.46     63.65     56.66     11.68     -5.61     49.34     45.02     60.52     91.81     18.22 
    30       45.06      1.96511   0.43649   1.61536  -1.06511        84.60     57.88     50.66     12.43     -3.00     58.33     38.18     60.03     81.52      9.99 
    31       41.17      2.19862  -1.33522   2.97450  -2.42745        83.36     67.76     60.34     14.69     -5.06      7.24     27.80     57.37     88.85      9.35 
    32       28.20      2.31812  -2.94593   2.40913  -4.05305        88.22     84.72     70.42     38.88      7.28     -6.31    -20.32     30.82      5.92    -17.66 
    33       34.06      2.16400  -3.01419   2.96757  -2.86597        85.08     84.53     68.12     32.08      9.17     -2.36    -19.64     53.37      7.17     23.04 
    34       29.29      1.89538  -4.61957   1.35306  -2.48091        96.20     94.55     72.78     34.13     14.06     -4.79     -1.22     32.09    -60.86     15.93 
    35       26.80      2.06279  -4.70023   1.78333  -2.50550        88.68     91.91     68.28     32.11      6.83     -7.51     -5.38     43.81    -64.77     14.02 
    36       24.86      1.70795  -3.07798   2.17412  -1.83777        88.14     83.17     66.88     31.33     -3.89     10.58    -15.25     53.47    -48.52    -17.29 
    37       37.73      2.56286  -3.16222   2.55542  -1.32698        75.18     69.93     45.92      4.91      0.67     64.66     40.67     61.63     -6.77     20.53 
    38       34.54      2.92672  -3.33722   2.52754  -2.77881        83.52     68.92     55.86     22.93     -4.06     18.39     19.78     60.63     -1.24     20.61 
    39       34.93      2.72270  -3.67250   0.93651  -1.20452        81.52     73.75     50.46     16.59     -3.44     64.21     30.86     59.56    -36.70     12.54 
    40       41.79      2.89394  -2.17365   0.09921  -0.10743        58.66     41.97     31.60     -1.20     -1.11     63.21     43.27     61.50     88.00     31.98 
    41       35.28      2.76818  -1.87058  -0.48043   1.46868        50.58     25.76     23.56      3.12      0.17     57.39     35.49     59.40     79.07     18.24 
    42       34.46      2.54253  -3.44154  -0.76095  -0.83402        76.48     74.52     46.06     25.17     16.89     63.94      5.13     62.90    -42.24     15.76 
    43       38.49      2.88627  -0.99819   0.03983   0.05390        66.94     34.81     28.22      5.68     -3.72     59.60     38.44     58.61     84.76     11.59 
    44       45.51      2.58003  -1.92822   1.40520  -1.17004        75.44     62.37     41.40      9.63     -1.11     58.28     42.44     60.56     87.07     18.98 
    45       42.42      2.37864  -2.71089   1.66625   0.01092        65.00     43.79     34.32      9.89     -4.11     62.18     46.83     58.26     88.85     19.20 
    46       38.64      2.72550  -2.63607   2.34599   0.05838        54.12     35.81     27.32      6.77      2.17     59.31     42.53     57.35     86.10     14.97 
    47       32.23      2.04438  -3.59482   2.33831   0.21365        65.20     48.43     28.08     11.89      4.39     65.16     59.53     60.72    -45.86     24.78 
    48       45.93      1.84876  -2.50723   3.23721  -0.29341        70.60     54.80     31.10      8.53     13.61     64.45     52.13     62.65     88.40     12.99 
    49       40.02      1.77043  -2.92660   2.19673   0.47637        68.10     48.69     31.12     13.33     -7.72     69.63     58.10     58.37     44.40     16.13 
    50       29.24      2.08136  -2.94719   1.98754  -1.66611        85.10     78.52     56.18     22.19     -0.28     23.00      1.34     59.32    -55.83     22.90 
     1       51.58      0.77000   0.00000   0.00000   0.00000        87.86     71.28     72.90     15.25      1.50     38.54     50.52     58.63     86.31     33.02 
     2       49.56      0.85326  -0.13879   1.00870  -0.14090        89.78     67.17     58.68     10.61      5.61     47.14     54.36     62.16     87.05     13.04 
     3       44.27      0.72344   1.32837  -0.81348  -0.64971        61.40     74.16     72.46     34.93      8.28     -0.82     48.37     27.60     88.34     27.97 
     4       32.89      1.40934   3.59688  -2.87407  -1.54330        65.78     70.12     66.00     31.20    -56.56      0.35     40.09     19.71     75.42     16.83 
     5       47.48      0.36217   0.10848   1.11418   0.46270        83.44     57.71     53.00      7.07     11.50     50.39     55.52     57.39     85.70     13.15 
     6       35.03      0.38686   2.40819   2.77392   1.20222        69.32     32.12     34.84      0.16      2.17     73.82     30.75     59.51     42.93      4.69 
     7       41.24      0.18239   0.49162   3.07486   1.27915        77.12     38.04     37.70      1.79      5.67     71.68     50.83     58.98     61.48      9.16 
     8       46.00      0.53861  -0.86853   1.18276   1.20994        70.74     45.75     40.24      9.09     -6.89     76.93     62.79     58.20     87.01     16.09 
     9       47.08      1.21022  -1.32691   0.80803   0.49244        72.50     54.55     39.40      9.52     -5.61     73.72     56.00     59.80     88.99     21.88 
    10       40.03      1.21532   0.12696   1.10608   0.72912        71.14     38.17     35.48      6.51     -1.61     70.74     42.29     60.09     70.73      6.75 
    11       39.61      0.70327  -0.07713   2.80369   0.92943        69.64     41.84     33.04     -2.43      2.06     70.79     46.84     59.39     68.29      6.64 
    12       32.02      0.48633  -0.85899   2.83332   3.07004        52.82     27.63     19.88      1.36     -2.33     64.88     38.37     57.33     53.70      6.52 
    13       26.90      0.47324  -1.08478   3.91503   4.62263        38.02     20.57     16.34      2.29      4.72     57.38     31.28     51.65     40.78      5.99 
    14       26.42      0.59016  -0.47485   4.05510   3.96641        39.24     27.33     13.70     -5.47      6.50     57.19     32.40     51.45     37.58      4.28 
    15       33.23      0.07958  -0.18240   3.47152   3.11512        53.26     25.40     21.28     10.48      3.33     67.61     42.43     57.42     47.03      4.05 
    16       23.81      0.51466   1.01443   4.28758   4.79117        36.80     21.36     12.50      6.53     -1.28     53.68     26.23     46.27     31.39      4.57 
    17       28.13      0.55295   0.35730   4.83054   3.30580        43.38     22.92     20.00     -0.61     12.33     58.87     30.00     53.33     37.45      3.63 
    18       34.00      0.03523   0.98643   4.47172   1.90991        63.84     33.17     27.02     10.08    -12.44     69.97     39.14     59.36     44.93      4.88 
    19       30.94      0.66163  -0.29634   4.35919   2.38628        56.74     27.67     17.82     -0.56      0.44     63.75     34.80     57.68     45.33      5.75 
    20       42.57      1.31773  -2.24593   2.98295   0.75191        66.22     44.81     33.00     -1.15     -2.00     69.19     58.97     60.66     87.44      8.57 
    21       33.32      0.97175  -3.32606   4.87207   2.83604        45.54     29.05     17.18      6.99     -4.44     58.48     49.73     55.18     69.35      6.19 
    22       42.99      1.51598  -1.76583   3.98145  -0.15860        74.26     46.33     30.52      3.15      2.78     65.98     49.64     60.75     87.71      8.81 
    23       41.35      1.29252  -2.25942   3.41163   1.06811        61.74     39.32     26.44      2.05      7.22     68.01     53.28     59.16     88.76      7.53 
    24       34.06      1.32180  -3.52433   4.99365   2.47709        48.70     21.60     13.86     12.93     -0.22     57.95     48.29     55.02     76.46      6.04 
    25       32.74      0.93060  -2.63464   1.87865  -0.23442        92.72     87.93     56.28     18.67      1.22     56.04     -0.94     62.04    -39.61     -6.99 
    26       24.48      0.41390  -2.70651   1.03645   0.25465        79.22     -0.43     68.86     11.92      3.00     45.19     -0.00     54.40    -31.22     13.82 
    27       13.82      0.11025  -4.05586  -0.87498   1.45850        66.82     24.71     49.64     -7.15    -48.89     28.27     -3.13     42.02    -29.67     15.56 
    28        6.53      0.76362  -2.21783  -0.45965  -1.26202        69.54      6.49     67.46     -5.36    -51.78     -2.93      0.45     14.05    -46.34     13.73 
    29       45.06      0.69198  -1.13062   2.28692   1.03944        69.56     48.63     34.68      3.97      2.28     73.14     60.33     59.22     90.10      8.65 
    30       47.51      0.38286  -0.28760   2.86498  -0.31420        93.34     75.28     63.94     18.61     -6.17     20.35     50.78     59.65     91.67      7.66 
    31       47.32      0.18530  -0.84052   3.03884  -0.16145        84.46     81.71     65.56     15.49      8.89     27.75     32.30     58.33     88.20     10.55 
    32       39.84      0.27923  -0.37993   2.49570  -0.93124        80.54     84.49     79.06     29.84     -5.50     -0.43    -10.33     38.85     89.51     12.40 
    33       45.62      0.22598   0.53904   1.78954   0.56227        83.18     53.56     58.86      2.56     -6.72     59.05     56.19     59.68     81.74      8.12 
    34       41.88      0.56915  -0.64915   4.48592  -1.74770        88.86     80.48     70.58     26.03     -5.06     -3.42      8.35     53.70     90.40      8.83 
    35       24.57      0.45010  -2.08750   1.65516  -1.61953        74.70     49.91     75.32     35.28     15.61     -1.46      1.04     16.95    -25.31      3.67 
    36       43.97      0.25019  -0.00501   4.36209  -1.14472        90.36     81.20     68.22     19.52     -4.44     -1.98     35.17     56.96     89.70      5.05 
    37       49.38      0.62800  -0.85948   3.13894  -0.28520        90.48     73.44     61.38      7.04      0.94     52.58     49.06     61.66     87.64      9.53 
    38       39.50      0.66242   0.07040   2.44977   1.13630        74.36     40.73     36.60      2.96    -10.17     72.20     45.60     60.88     64.92      6.94 
    39       40.04      0.69838  -0.59014   3.06562   1.04204        68.32     39.09     31.42     -2.37     -4.22     72.89     53.26     59.26     75.17      7.54 
    40       31.62      0.13649  -1.32642   3.38977  -1.93230        72.64     84.23     73.04     50.29     -2.22     -1.06     -7.62     19.05      9.21     18.59 
    41       31.65      0.79871  -2.36802   1.67933   0.67459        79.80     58.81     39.70      3.49      8.00     67.83      2.96     57.10    -46.58     45.38 
    42       47.18      0.43269  -1.35250   3.78967   0.72249        81.86     56.17     33.16     10.51     -1.11     70.40     63.13     59.34     89.61      8.72 
    43       37.24      0.65818  -1.79655   4.44401   1.93841        57.88     30.13     27.40      5.04     -0.56     68.13     51.01     58.27     70.50      4.60 
    44       37.82      0.53724  -2.27016   4.89835   1.99049        55.52     32.23     24.60      3.09     -4.94     66.55     55.79     58.58     79.90      6.89 
    45       49.28      0.34967  -0.71026   3.82663   0.35609        83.44     64.20     44.80     13.31      2.78     65.28     60.52     60.85     91.21      6.45 
    46       33.92      0.26057  -0.99751   2.46877  -0.87987        75.76     92.53     71.94     35.76      1.94     -4.37    -14.89     37.04     19.58     23.90 
    47       41.23      0.44324   0.46707   2.57987   1.09632        74.78     43.56     36.06     11.89     -1.28     71.03     46.79     59.78     61.61      8.08 
