constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    84       49.48      4.16197       102.40     60.40     83.40      2.67      2.78     56.20     47.46     84.22     46.44      8.83 
    85       47.24      4.21543        93.00     58.40     52.80      5.60     12.22     60.70     46.03     81.60     51.66     10.37 
    86       46.08      4.18390        85.00     47.20     63.20     20.80     -4.44     67.80     36.59     73.45     48.62     22.59 
    87       46.16      4.42075       112.00     59.33     72.00     -5.33     -2.78     56.60     36.19     78.73     44.40     10.49 
    88       44.77      4.46519        85.60     53.33     60.60     13.60    -40.00     71.60     45.24     83.09     60.27     14.32 
    89       52.83      4.67801        84.00     60.80     90.60     -8.27     22.78     74.10     42.22     86.40     53.70     21.98 
    90       49.21      4.91764        64.60     65.07     94.60      6.93    -13.89     55.40     62.70     76.25     67.62     12.78 
    91       53.89      4.79239        93.80     71.20     71.20     17.33     11.11     77.80     50.24     78.80     56.87     10.56 
    92       54.71      4.76586        87.60     79.73     81.00     11.73      4.44     82.90     47.30     79.93     61.13     11.30 
    93       48.10      4.78737        86.00     56.40     57.40      2.67     16.67     57.30     57.78     73.89     60.27     12.65 
    94       47.51      4.72860        68.60     61.47     74.80     23.47     10.56     43.70     38.57     80.44     52.79     20.68 
    95       45.08      4.79620        93.00     43.33     65.00      5.60    -25.00     56.00     52.22     78.33     58.32     23.95 
    96       43.33      4.80142        83.40     52.00     71.20     12.00    -18.89     43.50     36.75     74.95     65.90     12.53 
    97       44.80      4.77421        96.60     52.40     63.00     12.00    -17.22     32.30     47.86     75.45     65.85     19.75 
    98       50.79      4.80480        86.20     64.80     66.00    -14.13     26.11     58.00     56.98     73.42     64.81     25.68 
    99       50.72      4.76531        98.00     78.27     76.60      5.60    -18.33     55.30     50.16     81.49     58.78     21.30 
   100       47.17      4.79447        75.40     58.93     72.00      9.60     -9.44     62.00     57.06     69.89     58.19     18.02 
   101       50.41      4.80127        93.20     76.13     77.60      4.27    -22.78     71.10     42.70     78.36     61.77     21.79 
   102       47.85      4.76586        94.20     68.93     67.00     -3.47    -16.11     61.10     37.94     79.78     65.85     23.27 
   103       41.74      3.57399        50.60     16.67     68.80     13.07     46.67     53.20     39.68     74.40     42.27     12.04 
   104       37.63      2.98090        93.20     42.13     42.20      5.87    -17.78     70.50     32.70     71.89     27.57      8.02 
   105       32.53      1.85933        69.20      8.80     43.40     22.67     11.67     74.90     11.83     62.15     13.92      6.73 
   106       47.39      4.14777        75.20     64.27     78.80     22.93     -2.78     64.00     32.94     76.58     48.62     13.33 
   107       34.85      2.94801        85.20     35.47     56.80     -0.27    -24.44     79.40     19.76     68.40     25.90      2.28 
   108       48.63      3.90101        90.60     59.07     70.80    -13.87      4.44     89.20     42.30     79.24     52.20     12.28 
   109       55.92      5.64002        95.60     75.33     84.60      8.00     18.89     54.90     48.81     75.93     68.84     28.33 
   110       49.94      5.17538        72.00     67.60     72.20     33.60    -22.22     51.30     60.00     77.31     64.26     23.33 
   111       54.26      6.15631        87.00     68.67     73.60     18.67     15.56     55.80     56.19     65.38     73.15     28.58 
   112       56.83      6.85229       103.00     73.60     70.20     35.47     21.67     25.50     63.33     71.13     66.03     38.33 
   113       51.50      6.34467        65.20     72.13     92.00     34.67    -20.00     36.60     53.41     74.47     69.98     36.54 
   114       51.42      6.13324        87.00     64.27     71.20     14.13     15.56     38.80     59.60     69.53     62.59     31.54 
   115       51.31      4.55177        95.80     53.33     81.20      4.00     -5.56     76.60     58.33     71.31     61.22     16.85 
   116       48.03      4.74737        96.00     56.53     77.00     10.13    -17.22     51.30     43.10     79.60     64.40     19.51 
   117       52.74      5.48956        80.00     70.67     54.00     32.53      0.56     59.70     66.43     75.64     66.62     21.23 
   118       53.28      6.74398        90.80     70.67     62.60     12.80     13.89     47.60     61.11     67.93     70.79     34.57 
   119       48.43      8.77923        96.40     69.07     56.80     -8.00      2.22     35.20     58.81     69.24     70.43     34.14 
   120       46.78      8.61163        88.80     70.53     71.00      5.87    -15.56     18.10     54.68     70.58     73.47     30.37 
   121       46.89      7.73629        65.20     78.40     73.20     11.47    -52.22     40.30     62.54     75.96     74.56     39.51 
   122       51.87      9.56426        81.60     64.67     49.20     30.93      9.44     53.90     52.22     68.51     74.47     33.77 
   123       51.59      9.84449        87.80     70.40     84.80     24.80    -14.44     42.40     57.70     62.18     70.52     29.75 
   124       51.59      8.53100        98.40     69.47     73.40     22.93     -2.22     16.50     54.29     71.75     74.78     36.60 
   125       54.20      7.24637        81.00     78.27     76.40      4.27     14.44     65.00     58.65     70.69     64.54     28.77 
   126       48.69      6.30639        92.00     76.00     85.20    -12.27     -3.33     33.00     58.41     69.16     69.48     19.26 
   127       51.91      4.84524        78.40     60.00     72.40     10.40     16.67     67.40     54.13     77.82     67.48     14.38 
   128       47.03      6.04965        61.60     60.80     84.80     26.67      8.89      9.70     57.54     66.29     69.71     24.32 
   129       52.62      6.19512       104.80     69.33     72.40     16.00     -6.67     48.30     58.25     70.33     68.25     25.25 
   130       51.91      7.84225        76.60     59.87     55.20     20.53     32.78     37.80     60.16     74.98     68.16     33.02 
   131       43.34      8.26367        65.00     72.67     73.80     -2.13    -18.33     25.70     53.17     67.93     69.93     25.68 
   132       49.94      9.23531       103.80     55.73     66.00     21.33     -1.11     34.30     53.41     61.93     73.56     30.49 
   133       49.04      9.65915        81.20     64.40     80.60      9.60    -11.11     35.20     60.87     64.84     71.25     33.52 
   134       49.96      9.44581        92.00     68.13     54.20     13.60     -9.44     60.30     60.32     56.62     70.16     33.70 
   135       45.72      9.32125        72.60     57.07     76.40      0.80    -16.11     32.90     61.98     68.22     68.89     34.44 
   136       50.86      7.86020        94.20     73.33     60.20     24.53    -16.67     35.20     67.30     71.60     69.61     29.26 
   137       51.70      6.92988        84.00     67.07     80.40     18.67      5.00     31.30     60.48     69.85     68.53     31.67 
   138       49.23      5.77290        85.00     63.20     51.80     17.33     12.22     31.40     60.16     68.62     71.29     31.23 
   139       54.38      6.33113        95.60     66.67     73.20     11.47     17.78     39.50     51.43     77.49     73.33     37.35 
   140       52.37      7.79701        77.20     81.20     87.20     16.80      3.89     29.60     54.21     67.35     70.84     35.37 
   141       44.79      6.50797        70.40     66.27     75.40      5.33    -35.56     17.40     63.73     74.29     70.48     40.12 
   142       48.51      4.95808        84.40     63.87     81.20      2.40     -2.22     58.30     47.78     67.13     63.85     18.40 
   143       53.03      4.70363        70.80     75.73     80.00     28.27     11.67     72.90     47.70     76.95     54.10     12.16 
   144       49.61      4.45838        67.80     70.80     78.80     22.67    -12.22     75.50     44.60     73.02     57.55     17.59 
   145       49.28      4.56019        85.80     51.20     77.60     13.87      1.11     63.90     33.57     82.84     62.13     20.74 
   146       41.26      3.58965        82.80     47.73     64.80     16.80    -20.00     79.20     19.13     73.75     34.88     13.52 
   147       46.63      3.88199        88.60     54.53     76.80    -13.60     24.44     64.80     47.86     76.07     37.23      9.57 
   148       51.06      4.72248        98.80     46.40     83.40      2.40     -2.78     71.80     56.03     79.42     61.54     13.58 
