constructTestCases(): generating 37 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.3, -0.5, -0.5, 0.3, -0.5, -0.5], [2.3, 0.5, 0.5, 2.3, 0.5, 0.5], [0.1, 0.1, 0.1, 0.1, 0.1, 0.1], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  [0, 1]
Optimizer(): evals/step: 10
Optimizer(): numParams: 6 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  Linear  
MABsolver_config: params: numInputs:  2  2  
MABsolver_config: params: weights:  [  1.300000  0.000000  0.000000  ]  [  0.800000  0.000000  0.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score       p00w00    p00w01    p00w02    p01w00    p01w01    p01w02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    65       46.41      2.00000   0.10000   0.50000   1.60000   0.20000   0.10000        69.40     48.80     46.00     15.47     16.11     61.00     46.19     65.53     89.52      6.11 
    66       51.41      2.10000  -0.10000   0.40000   1.30000   0.10000   0.00000        86.60     52.67     54.00      7.47     32.78     54.00     58.41     60.69     93.24     14.20 
    67       47.11      2.20000   0.00000   0.30000   1.60000   0.00000   0.00000        90.60     52.00     55.20    -10.13     13.33     60.20     49.37     60.33     87.71     12.47 
    68       49.07      2.30000   0.00000   0.10000   1.50000   0.00000  -0.10000        77.20     54.00     51.60     11.20     26.11     63.00     35.63     65.49     95.56     10.93 
    69       39.83      1.90000   0.10000   0.30000   1.90000   0.20000  -0.20000        85.00     40.13     32.00     -7.73    -20.56     63.10     41.35     58.15     91.16     15.68 
    70       43.03      2.00000  -0.10000  -0.10000   1.70000  -0.10000  -0.20000        75.40     53.73     51.20    -14.40      1.67     64.70     42.22     53.38     91.56     10.80 
    71       39.50      2.30000   0.10000   0.00000   1.70000  -0.20000   0.00000        74.80     37.73     35.00     -3.20    -10.00     67.30     35.32     58.18     92.93      6.91 
    72       48.54      2.00000  -0.10000  -0.30000   1.90000  -0.10000   0.00000        75.80     44.67     38.20     20.00     38.89     70.20     35.08     61.05     88.12     13.40 
    73       40.83      2.10000   0.00000  -0.20000   2.10000   0.10000   0.00000        59.80     45.47     42.20     10.93     -0.56     67.50     35.16     60.29     77.91      9.57 
    74       47.01      2.10000  -0.20000  -0.20000   1.80000  -0.20000  -0.20000        78.80     44.80     46.20    -10.67     20.56     73.90     39.13     64.44     93.51     19.44 
    75       40.52      2.20000  -0.10000  -0.10000   2.20000   0.00000   0.00000        68.00     33.73     44.40      8.27     -8.33     74.90     34.05     58.87     78.68     12.65 
    76       39.94      2.30000  -0.10000  -0.30000   1.70000  -0.40000  -0.20000        70.40     41.60     58.00      9.60    -31.67     59.70     33.81     60.36     85.26     12.35 
    77       40.04      2.30000   0.10000  -0.40000   2.10000  -0.30000   0.00000        66.40     38.93     36.20     14.67    -30.00     75.60     33.97     62.91     86.44     15.31 
    78       47.83      1.90000  -0.10000  -0.40000   1.90000  -0.40000  -0.10000        82.00     48.13     55.60     10.13     12.78     57.00     39.44     60.84     94.83     17.59 
    79       49.75      1.80000  -0.20000  -0.50000   2.00000  -0.40000  -0.30000        77.80     49.87     36.60     18.67     25.56     64.60     48.41     61.20     93.65     21.11 
    80       40.40      2.10000  -0.30000  -0.50000   2.00000  -0.40000  -0.40000        72.40     43.87     31.80      1.33    -11.67     58.40     37.30     57.42     92.20     20.99 
    81       41.95      1.80000  -0.40000  -0.30000   2.30000  -0.50000  -0.30000        76.20     48.67     22.00      0.00     -8.89     68.00     48.97     62.55     84.54     17.47 
    82       47.29      1.50000  -0.40000  -0.40000   2.10000  -0.40000  -0.40000        70.00     50.80     27.60     24.27      2.78     79.40     52.54     56.73     86.53     22.28 
    83       43.13      1.80000  -0.40000  -0.20000   1.70000  -0.20000  -0.30000        75.80     38.80     44.40     10.13     -8.89     69.60     36.35     65.45     85.49     14.14 
    84       41.81      1.90000  -0.30000  -0.30000   2.20000  -0.30000  -0.30000        78.20     46.00     39.20    -13.60    -20.00     62.60     42.22     64.95    100.09     18.46 
    85       43.31      2.00000  -0.20000  -0.20000   2.00000  -0.40000  -0.20000        69.60     48.67     35.80     13.60     -7.22     70.80     43.33     61.27     86.44     10.80 
    86       45.07      1.90000   0.00000  -0.20000   2.10000  -0.20000  -0.10000        74.20     32.40     38.00     25.87     16.11     63.80     41.67     62.33     80.36     15.99 
    87       37.84      2.10000   0.00000  -0.10000   2.30000  -0.30000   0.00000        64.00     47.33     25.20    -24.53      6.67     65.20     43.97     57.02     86.67      6.91 
    88       45.41      1.50000  -0.20000  -0.20000   1.80000  -0.40000  -0.20000        75.60     52.93     44.40     10.93    -10.00     59.80     43.57     69.56     83.67     23.64 
    89       43.05      1.90000  -0.20000  -0.40000   1.70000  -0.20000  -0.30000        71.00     45.20     47.60      0.80    -10.56     71.60     40.95     59.89     89.30     14.69 
    90       45.54      1.90000  -0.20000  -0.50000   1.70000  -0.30000  -0.30000        98.60     43.20     47.20    -19.20     -3.89     66.70     51.98     60.18     86.58     24.07 
    91       46.63      1.60000  -0.40000  -0.40000   2.10000  -0.50000  -0.40000        76.80     48.67     38.40     -1.60     -3.89     73.40     61.27     56.65     92.52     24.07 
    92       51.23      1.80000  -0.50000  -0.50000   2.00000  -0.40000  -0.20000        86.00     53.87     58.60      8.80     16.11     72.60     40.16     59.64     94.88     21.67 
    93       47.95      1.70000  -0.30000  -0.30000   1.70000  -0.40000  -0.10000        67.60     36.67     43.60      8.80     25.56     76.90     45.08     63.38     96.51     15.43 
    94       52.28      1.70000  -0.20000  -0.20000   1.40000  -0.40000  -0.20000        90.60     64.67     50.40     17.60      1.67     62.30     51.43     63.96     91.75     28.40 
    95       43.05      1.80000   0.00000  -0.30000   1.10000  -0.50000  -0.10000        78.80     46.53     62.80      0.00      0.00     26.90     40.24     57.89     84.76     32.53 
    96       48.40      1.40000   0.00000  -0.10000   1.50000  -0.30000  -0.40000        93.80     53.20     42.80      3.47     11.67     61.90     48.97     60.51     84.26     23.40 
    97       48.89      1.70000   0.10000  -0.10000   1.30000  -0.20000  -0.40000        83.00     55.47     45.60      5.60      3.33     58.90     61.51     59.49     90.84     25.19 
    98       44.54      1.70000   0.10000   0.00000   1.60000  -0.10000  -0.40000        86.60     46.00     70.20      8.00    -16.11     55.00     36.59     57.45     87.89     13.83 
