constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   109       42.92      5.61872        53.00     88.53     76.20     17.87     20.56     26.10      4.13     58.80     79.14      4.88 
   110       42.30      4.20634        58.20     90.00     55.20     -5.60     -7.78     51.40     18.81     62.15     74.83     25.80 
   111       53.77      4.14654        62.00     89.47     84.80     21.07     30.00     51.30     31.35     72.76     75.69     19.26 
   112       51.79      3.27371        60.80     78.40     82.20     -2.67     37.22     62.30     22.06     72.00     71.07     34.51 
   113       39.87      1.26828        30.00     70.00     66.20      0.53     42.78     56.70     20.71     48.40     66.30     -2.96 
   114       34.07      1.69177        48.40     65.60     68.40    -15.47    -27.22     53.00     23.73     50.91     70.16      3.21 
   115       53.53      2.88347        59.00     57.07     67.40     26.67     44.44     68.40     35.40     71.82     73.24     31.85 
   116       55.02      3.89654        44.00     73.20     91.80     37.33     38.89     65.60     25.95     68.55     72.83     32.04 
   117       51.47      3.96743        76.00     86.13     58.80     -3.47     32.78     54.70     29.60     65.89     76.69     37.53 
   118       47.93      2.96904        75.40     59.60     81.60      1.87      0.56     63.10     22.94     68.00     77.14     29.07 
   119       44.16      5.10862        62.80     92.53     74.20     50.13    -29.44     38.80      9.05     56.44     75.78     11.36 
   120       56.16      4.34707        66.80     85.60     87.60     25.33     24.44     55.70     36.35     73.75     74.69     31.30 
   121       44.96      4.86784        58.20     84.93     71.20      1.33     15.56     54.70      7.06     56.95     78.55     21.11 
   122       40.86      2.42719        74.80     75.20     48.40    -10.13    -36.11     64.60     42.70     58.33     69.21     21.60 
   123       49.15      3.93016        76.60     85.47     70.60     -0.53      6.67     60.80     26.27     68.65     72.52     24.44 
   124       48.68      3.35892        82.60     77.33     57.20     15.73     -7.22     49.00     46.75     67.82     73.24     24.32 
   125       46.82      4.56847        56.60     81.87     63.40     22.93     36.67     30.40     17.46     60.33     70.75     27.78 
   126       49.63      4.15107        85.80     70.27     71.20     20.27    -19.44     52.60     35.71     70.44     76.60     32.90 
   127       44.68      4.45402        63.60     77.87     75.20     -6.13      3.33     32.50     32.62     65.49     75.51     26.79 
