constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [2.5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   100       54.58      0.99188        89.00     53.60     87.00      9.33     12.22     52.90     56.90     64.11     93.06     27.72 
   101       53.10      0.99423       101.20     48.40     50.20     32.27     21.67     60.20     54.76     61.71     82.59     17.96 
   102       54.12      1.00234        95.00     61.07     71.80      5.07      7.22     71.40     47.14     60.33     93.61     28.58 
   103       51.91      0.96702        90.00     64.13     58.80     26.13      3.33     49.10     52.86     60.25     86.53     27.96 
   104       49.95      0.43249        82.20     74.80     68.60     28.53     23.89      8.20     44.60     42.11     77.46     49.14 
   105       50.04      1.04603        89.20     54.40     76.80      8.27     -6.11     52.60     45.87     60.25     96.33     22.84 
   106       51.12      1.47164        86.40     44.53     52.80      9.07     11.11     68.30     47.14     66.91    102.36     22.59 
   107       36.87      1.95635        73.40     39.20     26.20     -8.80    -29.44     69.40     41.51     62.80     83.04     11.36 
   108       51.60      1.30454        82.80     56.80     64.80     10.13     -0.56     73.20     56.35     61.13     93.29     18.02 
   109       46.32      1.38076        86.60     48.13     43.00     16.53    -20.56     73.40     48.97     62.36     89.21     15.56 
   110       56.85      0.72329        93.40     79.07     83.40     18.13     17.78     38.90     61.90     54.73     89.16     32.04 
   111       52.52      0.95200        86.00     62.80     64.80      8.80     21.67     45.50     62.62     59.20     87.85     25.99 
   112       52.88      1.08318        91.00     65.33     70.60      8.00     -8.89     67.60     53.81     64.55     90.66     26.11 
   113       46.18      1.13371        82.80     59.07     54.40     30.67    -22.78     42.00     48.65     56.76     88.75     21.48 
   114       48.51      1.35942        89.40     56.00     63.60      1.87     -6.11     53.20     57.30     61.13     94.78     13.89 
   115       50.97      1.32959        86.60     58.40     57.60     32.27     -0.56     69.50     45.00     59.35     84.40     17.16 
   116       43.88      1.79379        88.60     55.20     41.20      6.13    -45.00     83.30     41.75     63.64     82.99     20.99 
   117       48.50      1.83044        75.80     52.53     45.60      1.07     17.22     77.60     50.95     64.73     91.43      8.09 
   118       44.58      1.29616        84.00     71.73     41.00      8.53     -8.89     53.00     38.49     53.96     91.88     12.04 
   119       49.43      0.85876        93.80     64.93     58.60     29.87     -3.33     28.50     51.90     61.60     82.09     26.36 
   120       53.41      0.94612        89.80     73.20     55.00      0.80     29.44     57.70     56.19     59.09     90.88     21.98 
   121       50.65      1.17529        86.00     53.73     48.00     -8.00     10.56     70.90     61.11     63.96     96.15     24.07 
   122       52.70      0.86614        87.20     68.27     48.60     16.53     -3.89     58.30     57.54     63.13    100.32     30.99 
   123       49.23      0.61573        81.40     77.60     87.20     11.73    -17.22     20.60     47.78     60.36     90.16     32.65 
   124       51.81      0.74201        64.60     78.00     75.40     16.53      7.22     46.40     46.67     58.11     90.25     34.88 
   125       46.96      0.86267       109.20     67.73     64.00     -1.33    -36.11     39.40     51.90     53.75     87.57     33.46 
   126       44.14      1.09255        71.00     53.20     58.40      6.13     -8.33     33.50     55.08     63.05     89.25     20.12 
   127       47.89      1.39763        71.40     50.53     53.00      7.20     15.56     73.10     48.25     56.11     86.85     16.91 
   128       43.45      1.58140        77.80     57.07     44.00    -10.93    -25.56     77.70     42.06     68.91     85.99     17.47 
   129       45.86      1.47109        89.00     40.53     55.60     -3.20    -15.56     74.30     45.08     70.29     89.98     12.59 
   130       48.13      1.03578        90.20     54.67     60.80     -8.53    -11.11     56.10     51.59     61.45    101.95     24.20 
   131       49.30      1.30565        97.20     47.07     40.80     18.67     -0.56     54.20     56.75     57.35     98.00     23.52 
   132       53.77      1.00298        86.20     49.87     66.60     34.67      2.22     64.40     61.27     60.58     89.93     21.98 
   133       46.30      1.22268        89.40     48.67     47.20     -3.73      1.67     70.80     52.06     51.78     88.98     16.17 
   134       47.18      1.23668        95.20     53.87     58.00    -20.00      3.33     75.70     46.03     53.85     82.31     23.52 
   135       51.92      1.38321        99.80     52.80     59.40     22.93    -17.22     76.40     59.21     61.42     90.70     13.77 
