constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0], [200.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    84       53.39     108.75452        77.20     77.60     84.80      9.87      2.78     46.70     51.59     67.27     87.57     28.52 
    85       51.31     114.91351        87.20     61.87     69.40      8.27     14.44     49.00     43.73     67.45     79.55     32.22 
    86       54.68     114.49154        88.40     66.27     80.20     14.67     -3.33     48.50     50.71     71.20     91.11     39.07 
    87       52.29     107.80042        94.80     60.00     67.80     31.20    -12.78     51.50     42.46     68.98     81.45     37.47 
    88       50.31     108.48917        68.40     74.53     64.80      9.07      6.11     56.60     39.68     64.73     92.56     26.67 
    89       57.24     102.41859        83.80     80.53     77.40      9.33     24.44     56.60     51.83     63.60     94.74     30.12 
    90       56.19     102.61647        97.20     70.67     73.00      8.53      0.56     61.90     51.59     67.27    101.45     29.69 
    91       49.20     105.92171        63.00     58.13     77.00     13.07      1.67     39.30     53.02     64.76     88.44     33.64 
    92       51.43     101.65327        86.20     64.27     72.20     -4.80      6.67     53.20     55.08     64.44     82.59     34.51 
    93       54.10     102.44470        96.20     69.20     61.20     33.87    -12.22     53.00     54.29     66.65     87.21     31.60 
    94       53.82     103.25959        88.20     63.33     68.00     14.40    -13.33     64.10     61.83     73.09     92.65     25.93 
    95       51.42     102.03531        91.60     69.60     69.40      1.60    -17.22     60.50     50.00     70.84     89.57     28.27 
    96       51.59     102.02033        71.00     72.27     51.20     13.33     24.44     48.50     55.16     65.78     87.39     26.85 
    97       55.99     103.37225       101.20     64.67     74.00      8.27    -11.67     72.10     54.52     75.27     87.76     33.83 
    98       54.30     104.26632        91.40     74.13     47.20     21.33     10.00     51.10     56.11     68.55     84.76     38.40 
    99       56.34     104.06863        84.60     72.40     71.60     38.67     11.67     52.50     53.25     66.76     83.08     28.83 
   100       56.09     103.43848        85.80     80.13     55.80      8.80      0.56     69.80     64.44     75.89     88.12     31.60 
   101       55.16     102.60237        85.20     81.07     76.60      0.80     13.89     45.90     62.62     65.96     85.80     33.77 
   102       52.57     102.60237        75.00     50.80     88.20     28.27    -24.44     66.20     57.06     72.69     81.04     30.93 
   103       56.47     89.98062        97.20     66.80     66.60     20.53      5.00     59.20     61.35     72.51     80.73     34.81 
   104       55.29     66.50493        99.80     70.40     70.20     -8.80     -5.56     62.10     69.21     79.93     88.66     26.91 
   105       54.55     41.36956        79.60     52.80     64.60     17.33    -14.44     79.20     62.86     78.55     94.42     30.56 
   106       47.23     17.50305        82.20     58.67     50.40      5.87    -26.67     80.80     57.94     75.31     79.82      7.96 
   107       57.04     59.22924        73.60     62.13     82.00     25.87      9.44     60.50     64.29     74.76     91.84     25.93 
   108       56.08     76.12807        93.00     69.33     72.00     22.13     -7.78     50.90     63.57     78.98     85.99     32.65 
   109       53.68     66.71639        84.40     64.27     93.00      0.27      1.11     53.20     61.75     66.40     88.16     24.20 
   110       58.04     62.73812        79.40     71.47     67.80     -2.67     35.00     60.20     67.54     75.53     97.23     28.89 
   111       55.82     77.29627        94.00     68.53     69.40     20.00    -27.22     68.00     56.90     79.56     94.29     34.75 
   112       53.75     60.31603        76.20     74.00     68.80     26.40    -27.78     65.60     52.86     80.04     95.42     25.93 
   113       49.69     70.79000        85.40     69.07     62.60      8.00     -8.89     49.50     51.83     72.76     84.99     21.67 
   114       55.29     77.83425       104.40     66.67     64.00     16.80     -5.00     46.00     60.95     71.53     91.29     36.30 
   115       56.33     44.14339        94.20     68.13     79.40      1.07     -6.11     75.50     49.13     82.00     86.94     33.09 
   116       42.78     10.07548        71.20     36.93     35.20     10.13      6.11     76.60     43.49     67.20     69.98     10.99 
   117       57.50     45.73833        93.00     69.33     69.40     -4.53     11.11     72.40     61.19     77.96     93.51     31.67 
   118       55.76     83.17180        98.00     74.53     68.80     27.73    -12.78     50.10     53.97     70.73     93.65     32.90 
   119       48.71     50.52522        67.60     63.20     69.00     -4.80    -18.33     65.10     53.33     78.40     83.54     30.06 
   120       57.96     46.97250        87.60     56.00     71.00     11.47     16.11     67.80     67.06     81.13     86.35     35.06 
   121       53.50     31.10006        88.40     66.53     58.40      0.27     -7.78     81.40     56.03     85.09     80.54     26.11 
   122       54.91     57.68639        96.80     69.07     61.20      1.33     -0.56     72.80     59.52     76.15     86.35     26.42 
   123       47.20     36.83371        70.20     62.40     61.60    -33.33    -17.78     69.70     56.51     79.96     94.69     28.09 
   124       56.37     47.14087        93.40     62.67     70.60     10.67     -7.22     79.30     61.67     79.05     90.25     23.33 
   125       53.15     14.79740        86.40     36.53     55.40     29.07     21.67     75.80     52.14     75.56     81.00     17.96 
   126       59.70     27.17193       111.80     62.00     90.80     12.00    -10.56     75.00     58.73     80.80     88.25     28.15 
   127       53.02     35.04036        84.20     61.33     51.00      9.60     -6.67     83.60     58.57     78.44     88.80     21.36 
   128       55.21     30.07157        78.40     51.33     66.20     11.47      6.11     83.20     60.79     77.82     88.03     28.70 
   129       31.57      7.13774        53.00     19.73     39.80     10.93     -5.56     42.70     24.84     65.75     51.07     13.46 
   130       57.92     57.88210        93.20     80.93     82.20      2.67     -3.89     67.70     59.05     81.45     94.42     21.42 
   131       55.59     55.64571       104.40     83.87     70.80      1.87    -22.22     70.20     54.92     74.00     84.54     33.52 
   132       56.42     25.50022        89.40     56.27     67.20     19.20      1.11     72.70     55.40     80.07     98.50     24.38 
   133       15.82      2.02273        48.00     18.53      5.80      3.47    -23.33     26.80     13.41     35.64     23.31      6.60 
   134       52.54     24.98427        75.00     76.27     55.20     29.07     -7.22     66.30     50.71     79.31     80.09     20.68 
   135       57.98     53.14148        84.80     76.13     60.80     29.60     12.78     68.40     67.38     80.29     74.69     24.94 
   136       57.77     24.20584        75.40     49.20     74.20      5.87     17.22     79.20     67.22     83.75     96.01     29.63 
   137       50.35     16.28146        80.20     48.53     58.60      1.33     32.78     80.90     34.05     72.25     79.77     15.12 
   138       54.63     54.65276        92.00     63.47     68.00     14.13    -32.78     62.60     72.62     79.96     89.12     37.22 
   139       60.29     61.52037        79.20     73.73     85.60     29.33     20.56     71.10     41.51     78.62     83.67     39.57 
   140       54.08     61.89465        87.40     59.20     72.00      0.53      1.67     62.80     58.49     78.18     85.76     34.81 
   141       49.54     90.75309        66.60     64.13     71.60     25.07    -13.89     41.20     55.87     66.04     88.75     30.00 
   142       62.49     42.48311        87.80     73.47     77.60     21.60     20.56     77.40     56.90     77.85     92.88     38.83 
   143       60.55     34.49612        81.40     65.47     75.60     19.73     30.56     71.10     52.62     78.84     89.84     40.37 
   144       49.39     25.03413        84.40     57.20     67.80      0.00    -45.56     77.50     63.49     78.98     87.03     23.09 
   145       58.45     22.15200        92.80     50.00     50.60     26.40     36.11     76.30     67.22     79.64     85.94     19.51 
   146       48.03     13.38819        85.00     40.67     66.60      8.80    -18.89     77.60     48.25     75.42     78.55     18.27 
   147       56.84     55.01272        83.20     65.07     62.20      6.93     26.11     62.10     64.13     77.31     94.88     26.48 
   148       54.61     67.09918        97.40     60.00     70.20      2.13      5.56     61.10     52.78     78.25     83.95     34.75 
   149       58.50     39.43493        71.20     68.00     73.20     11.73     37.22     69.30     44.60     82.44     91.20     36.11 
   150       53.38     24.49420        54.60     48.80     70.60     25.87     15.00     79.20     44.60     77.60     94.47     23.09 
   151       52.16     25.68661        77.40     66.40     79.20     -0.80     -7.22     62.10     57.70     76.55     84.63     25.68 
   152       57.46     64.79270        77.00     65.47     81.40     12.00      7.22     65.50     58.25     84.51     94.56     28.64 
   153       62.69     60.53484        84.60     83.33     80.00      2.67     27.22     77.90     65.40     80.44     95.69     29.63 
   154       56.60     53.06094        67.40     64.67     72.80     32.00     17.22     67.80     51.83     76.44     82.36     33.52 
   155       58.41     41.03118        86.20     71.20     77.00     10.93     17.78     67.10     60.48     76.87     85.53     30.99 
   156       52.73     78.96264        63.00     81.20     69.80     33.87    -18.33     65.40     54.92     68.33     87.44     21.67 
   157       54.12     74.53694        90.20     68.93     75.60     16.00    -16.11     62.40     56.90     76.18     88.48     22.59 
   158       54.26     47.80994        93.20     46.67     78.00      2.93     -2.22     72.10     51.67     81.89     89.34     29.01 
   159       59.96     64.16065       101.60     69.20     79.40     16.00      6.11     66.80     63.49     76.18     91.70     29.07 
   160       54.09     78.82361        89.80     59.60     61.80     -9.07     21.67     63.80     61.19     75.60     85.53     30.99 
   161       53.79     75.83317        85.40     65.33     62.80      9.87     12.22     63.40     46.59     73.24     86.17     32.90 
   162       55.93     59.74474        97.60     66.27     63.20     20.53    -12.78     65.30     57.22     79.78     86.76     35.43 
   163       54.42     63.79130        66.80     75.60     87.20     16.00    -19.44     65.00     55.40     74.18     86.89     36.60 
   164       56.01     46.11953        76.20     75.87     66.00     18.40     15.00     60.90     58.89     80.04     80.77     28.02 
   165       51.96     46.35991        93.20     65.73     58.40      6.40    -15.00     60.30     49.84     77.05     90.70     32.96 
   166       52.07     61.23803        96.00     61.60     73.60     -2.40    -21.67     56.20     56.59     76.33     96.15     28.27 
   167       57.85     53.28792        91.60     58.80     66.80     18.13     23.33     73.90     51.75     81.20     82.86     30.12 
   168       54.65     58.82617        88.60     80.27     68.20     -6.40     -5.56     68.40     55.40     78.80     87.98     30.80 
   169       58.24     50.94250        97.00     70.40     61.00     10.40     13.33     68.40     68.89     73.82     83.99     35.19 
   170       52.52     65.28913        81.00     68.53     69.40     11.73      1.67     56.30     59.44     70.04     83.49     23.64 
   171       52.25     70.40001        81.00     69.07     61.20     10.13      5.00     49.00     54.21     77.13     83.81     31.98 
   172       55.62     74.90446        84.00     58.40     70.80     35.20    -11.11     65.50     66.90     76.84     85.12     24.51 
   173       55.01     60.40641        95.80     62.27     58.40     24.80    -17.22     76.90     64.29     77.27     81.77     25.80 
   174       58.19     54.31572        92.20     69.60     75.20     -5.33     18.89     69.50     59.37     76.47     94.42     31.54 
   175       61.23     50.28456        86.60     71.73     71.00     21.07     16.11     75.70     66.67     76.98     85.80     40.62 
   176       58.85     58.50281        83.20     72.80     55.80     24.00     10.56     77.20     55.32     80.29     95.15     34.20 
   177       63.20     65.80495        85.40     68.53     72.80     44.27     30.00     71.20     61.27     72.80     95.28     30.43 
   178       61.82     55.40420        98.60     52.80     75.40     29.60     16.67     67.80     67.06     79.27     91.02     40.00 
   179       55.48     68.40523        80.40     61.07     78.60     15.47     12.22     60.10     48.33     76.98     89.25     32.35 
   180       52.76     54.81635        93.20     66.93     68.60     12.00    -37.22     69.20     58.10     85.56     84.35     26.85 
   181       55.01     63.50448        90.40     65.47     77.00     -4.27     -9.44     70.80     56.98     82.40     85.35     35.37 
   182       53.17     72.14476        77.20     61.60     73.40     32.53    -15.56     64.80     51.67     73.78     86.58     25.68 
   183       53.80     69.34427        65.80     70.67     74.00     34.13     -4.44     46.10     52.46     73.85     88.39     37.04 
   184       54.39     70.70664        87.60     70.00     72.00     -6.67    -10.00     59.50     66.98     66.36     94.78     43.33 
   185       58.06     59.58494        70.80     72.53     71.00     12.53     44.44     60.00     51.83     78.40     91.20     27.84 
   186       55.87     64.36488        62.20     74.93     84.20     13.07     15.00     66.50     53.57     73.49     89.71     25.99 
   187       58.73     61.77188        68.40     64.93     76.40     10.67     45.00     64.80     61.51     76.80     89.52     29.26 
   188       56.55     67.96226        95.80     59.47     91.20     -2.67     17.22     59.10     45.16     78.00     93.06     29.20 
   189       54.90     67.70865        84.20     61.47     71.00     12.27     13.89     51.30     56.83     71.82     96.64     29.63 
   190       57.68     71.49786        97.20     85.60     81.60      2.93     14.44     62.50     55.87     71.35     78.50     26.79 
   191       55.43     66.62760        70.40     70.93     65.00      2.93     16.11     72.30     63.57     75.35     83.76     33.95 
   192       57.45     61.37498        95.20     66.27     58.60     43.20     -8.89     63.80     58.17     75.31     94.20     28.64 
   193       55.79     66.74823        79.40     59.73     80.80      8.27      6.11     67.90     66.67     75.85     83.27     29.94 
   194       55.40     66.25771        88.20     66.27     80.60     33.07    -24.44     46.20     61.19     79.64     91.56     31.73 
   195       54.74     65.79556        59.40     68.80     76.20     24.53      6.11     69.70     44.92     70.58     88.84     38.33 
   196       56.32     66.41302        77.40     77.20     63.00     19.47      6.11     71.00     51.51     77.93     89.57     30.06 
   197       52.23     64.87129        77.40     73.33     55.80     26.40    -29.44     68.90     59.05     76.51     89.30     25.06 
   198       57.30     66.40881        87.40     70.93     53.40      3.47      6.67     68.80     65.16     82.15     92.24     42.78 
   199       59.70     66.10335       102.60     80.80     82.20      7.73      2.22     59.60     52.62     77.75     98.19     33.33 
   200       54.88     66.73275        96.60     71.87     51.40     35.20     -1.67     61.30     47.86     75.64     87.30     23.33 
   201       53.78     64.95598        99.60     82.40     57.40     10.13    -28.33     63.40     61.43     80.11     87.30     24.38 
   202       54.69     65.51010        92.00     60.53     71.80     20.53     -3.89     68.10     55.87     72.22     88.89     20.86 
   203       55.29     65.80495       100.40     60.40     78.00     -5.60     11.67     53.90     54.76     77.53     87.66     34.14 
   204       55.06     28.93350        97.80     52.67     50.40     -6.13     14.44     79.00     63.02     83.53     93.56     22.35 
   205       50.45     14.48783        66.20     50.53     59.80     13.07     14.44     72.80     48.49     79.53     85.62     14.01 
   206       56.46     63.57555        98.60     77.60     61.60     12.53      2.22     68.00     50.00     77.24     79.73     37.10 
   207       53.06     51.25581        49.80     65.73     70.00     12.53      6.67     67.50     69.92     75.60     82.40     30.43 
   208       55.89     30.69338        89.80     49.47     64.80     28.80    -13.89     89.00     57.22     81.13     89.52     23.09 
   209       56.59     41.25403       101.60     57.73     82.20     -7.47    -15.56     74.60     67.70     86.73     86.98     31.42 
   210       57.03     89.51649        95.80     66.27     70.40     27.73     16.67     43.10     60.71     68.87     89.93     30.86 
   211       52.44     86.45747        82.00     57.20     59.00     18.40     -5.56     58.10     54.52     73.85     86.71     40.19 
   212       51.12     98.91560        72.00     63.07     74.80      8.80    -11.67     53.70     63.02     63.85     92.61     31.05 
   213       53.22     105.56978       100.40     71.60     75.40      5.87     -7.78     29.70     65.16     65.96     92.02     33.83 
   214       54.14     89.92311        91.20     68.53     52.20     30.13    -12.22     64.80     60.08     70.76     83.45     32.47 
   215       59.67     88.21561       104.60     73.33     67.00     38.93     17.78     57.90     52.06     65.13     83.49     36.48 
   216       54.57     75.61650        69.00     64.93     90.40     18.67     -7.78     59.30     53.73     76.69     87.76     32.96 
   217       56.69     52.69742        86.60     73.20     60.40     12.00     -5.56     66.50     63.57     82.18     90.88     37.16 
   218       58.58     44.43662        85.80     65.33     77.40     21.33     -6.11     72.80     69.76     78.25     87.35     33.89 
   219       50.25     107.76270        95.00     51.47     67.00      3.73    -20.00     59.80     53.41     69.96     86.53     35.62 
   220       56.65     85.93400        98.40     70.93     92.80     16.27     -7.78     61.50     42.62     67.67     90.29     33.77 
   221       53.43     65.84928        85.20     69.07     63.20     -6.13     -6.11     68.50     59.21     75.93     91.29     34.20 
   222       54.48     118.02036       100.60     75.33     68.40      5.07      3.89     59.50     44.60     60.18     88.66     38.52 
   223       52.34     116.26389        82.20     65.73     52.60     21.60     12.78     44.70     58.89     65.42     88.89     30.62 
