constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0, 10], [200.0, 5000], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    68       50.76     70.19326  2360.91319        96.20     70.67     55.20      3.47     -4.44     63.00     41.83     62.11     85.62     33.95 
    69       57.65     61.48406  2831.10169        66.80     70.13     79.40      7.20     25.00     67.20     68.89     67.85     86.21     37.84 
    70       50.98     70.50135  2133.94477        83.40     68.40     55.20      8.53      0.56     51.50     58.33     65.60     87.98     30.31 
    71       52.76     55.09688  2213.02523        68.00     73.73     58.00     26.13      9.44     36.40     66.03     74.40     85.17     30.31 
    72       53.29     50.58095  2434.98803        79.00     66.53     63.40     -5.07     -3.89     62.60     71.90     75.49     94.10     28.83 
    73       59.64     47.78934  2189.00722       108.20     67.47     65.60      2.93     16.11     72.90     56.90     77.89     89.80     38.64 
    74       57.13     63.34379  2459.15869        85.40     62.00     67.20     16.80     43.33     59.70     48.65     68.84     88.30     31.05 
    75       56.25     61.68086  2659.16101        91.80     74.40     69.20     18.13    -10.56     71.30     57.46     73.09     87.71     29.94 
    76       53.91     61.02753  2185.44859        73.00     75.07     60.00     22.67     -1.67     63.80     66.51     69.71     90.57     19.44 
    77       53.71     62.05501  2428.81264        91.20     77.47     72.00     -9.07     -3.89     67.40     66.98     61.35     86.85     26.79 
    78       51.49     66.13505  2192.20071        92.80     63.47     64.40      0.00     -3.89     49.20     63.25     65.93     92.65     27.10 
    79       53.54     44.37327  2619.84539        86.80     71.20     52.40      3.47     -7.22     62.90     69.60     73.78     83.85     38.64 
    80       55.46     65.68402  2227.30669        97.40     69.47     63.60     -1.33     11.67     71.80     56.83     63.56     85.94     35.68 
    81       55.78     61.95315  2173.31116        96.40     70.00     61.20     12.80      0.56     68.90     66.43     67.02     86.26     28.27 
    82       47.55     62.01753  2319.19020        89.60     66.53     74.40     -9.07    -26.11     49.50     64.92     73.27     78.41     14.01 
    83       51.50     56.58666  2322.43435        78.20     71.87     71.60      2.93      2.78     42.60     61.03     68.22     86.98     28.77 
    84       57.64     49.89692  2603.68385        83.80     67.07     82.20     16.53     -3.89     71.30     55.63     84.69     88.34     30.68 
    85       57.85     55.87081  2572.96635        96.80     69.73     83.00     14.67     -1.11     66.40     67.38     73.53     89.34     18.77 
    86       53.64     52.45476  2492.03998        75.40     71.33     74.60     27.73    -13.89     43.70     65.16     73.13     88.16     31.05 
    87       62.09     59.93114  2550.19827        98.60     72.53     72.00     37.87     23.89     53.30     66.98     68.84     89.89     37.04 
    88       54.10     66.13145  2615.11882        84.20     67.73     73.00    -12.00     26.67     59.60     50.00     69.16     90.29     32.35 
    89       51.28     60.17931  2576.93097        76.40     69.60     66.40     -4.80     -6.11     54.90     67.38     66.76     86.67     35.56 
    90       51.97     63.25327  2635.81117        76.40     72.67     77.00      3.47    -11.11     56.50     61.67     60.95     87.62     34.57 
    91       56.18     57.24571  2655.48942        99.40     68.00     59.40      9.33     13.89     46.70     71.27     69.09     88.12     36.60 
    92       48.16     60.83259  2563.17972        82.40     67.60     58.80      0.80    -23.89     55.00     52.70     66.65     88.53     33.02 
    93       54.75     60.78822  2533.21870        82.80     64.67     60.20     13.87     25.56     58.20     62.22     66.18     90.07     23.77 
    94       53.86     59.14461  2554.99868        81.00     72.00     80.80      0.53      0.00     70.20     47.46     67.13     85.94     33.58 
    95       52.93     60.19573  2544.68894        64.20     52.00     60.40      7.47      9.44     75.30     65.87     67.35     89.89     37.35 
    96       55.32     59.16028  2540.67793        90.40     72.27     78.20      5.60     -2.22     51.40     63.49     75.16     91.16     27.78 
    97       59.48     60.52443  2569.24439        90.00     67.07     64.80     39.20      4.44     74.30     63.10     71.45     82.68     37.78 
    98       57.63     60.36510  2527.31085        91.60     66.00     61.40      5.33     20.56     64.30     72.70     70.40     93.70     30.31 
    99       55.74     60.74770  2558.24930        85.40     63.73     72.20     18.13     21.67     53.60     57.22     60.84     94.88     29.69 
