constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    82.48     0.906306  0.624850        99.60     95.08     97.40     63.76     10.57     99.40     87.00     97.20     92.71     82.07 
    83.28     0.563997  0.666132        99.60     95.08     97.40     63.76     10.57     99.40     92.30     97.71     94.88     82.10 
    83.02     0.711468  0.624353        99.60     95.08     97.40     63.76     10.57     99.40     90.11     97.42     94.92     81.97 
    82.37     0.500000  0.697320        99.60     95.08     97.40     63.76     10.57     99.40     93.20     97.85     94.64     72.25 
    83.27     0.500000  0.616588        99.60     95.08     97.40     63.76     10.57     99.40     92.30     97.71     94.90     81.96 
    83.26     0.500000  0.588955        99.60     95.08     97.40     63.76     10.57     99.40     92.13     97.71     94.90     82.08 
    83.30     0.500000  0.629913        99.60     95.08     97.40     63.76     10.57     99.40     92.38     97.78     94.90     82.10 
    82.63     0.500000  0.684272        99.60     95.08     97.40     63.76     10.57     99.40     93.14     97.78     94.90     74.70 
    82.61     0.500000  0.671315        99.60     95.08     97.40     63.76     10.57     99.40     93.08     97.78     94.89     74.55 
    82.32     0.500000  0.659571        99.60     95.08     97.40     63.76     10.57     99.40     93.03     97.78     94.55     72.04 
    82.84     0.821282  0.627355        99.60     95.08     97.40     63.76     10.57     99.40     88.28     97.27     94.94     82.12 
    83.24     0.500000  0.614290        99.60     95.08     97.40     63.76     10.57     99.40     92.29     97.71     94.50     82.09 
    83.30     0.500000  0.640381        99.60     95.08     97.40     63.76     10.57     99.40     92.44     97.78     94.89     82.09 
    83.27     0.500000  0.642863        99.60     95.08     97.40     63.76     10.57     99.40     92.46     97.78     94.53     82.12 
    83.25     0.500000  0.635959        99.60     95.08     97.40     63.76     10.57     99.40     92.42     97.78     94.52     81.96 
    83.25     0.534084  0.660388        99.60     95.08     97.40     63.76     10.57     99.40     92.40     97.71     94.51     82.07 
    83.07     0.677083  0.629417        99.60     95.08     97.40     63.76     10.57     99.40     90.39     97.49     94.91     82.11 
    82.61     0.500000  0.668048        99.60     95.08     97.40     63.76     10.57     99.40     93.07     97.78     94.90     74.53 
    83.30     0.500000  0.641319        99.60     95.08     97.40     63.76     10.57     99.40     92.45     97.78     94.89     82.10 
    83.28     0.534191  0.638620        99.60     95.08     97.40     63.76     10.57     99.40     92.28     97.71     94.90     82.11 
    83.30     0.500000  0.639290        99.60     95.08     97.40     63.76     10.57     99.40     92.44     97.78     94.90     82.10 
    83.25     0.500000  0.637445        99.60     95.08     97.40     63.76     10.57     99.40     92.43     97.78     94.50     81.97 
    83.30     0.500000  0.638221        99.60     95.08     97.40     63.76     10.57     99.40     92.43     97.78     94.90     82.12 
    83.30     0.500000  0.641790        99.60     95.08     97.40     63.76     10.57     99.40     92.45     97.78     94.89     82.09 
    83.26     0.500000  0.639547        99.60     95.08     97.40     63.76     10.57     99.40     92.44     97.78     94.51     82.09 
    83.29     0.500000  0.644166        99.60     95.08     97.40     63.76     10.57     99.40     92.47     97.78     94.88     81.95 
    83.26     0.500000  0.645054        99.60     95.08     97.40     63.76     10.57     99.40     92.47     97.78     94.53     81.97 
    83.32     0.500000  0.646430        99.60     95.08     97.40     63.76     10.57     99.40     92.97     97.78     94.53     82.09 
    83.28     0.548629  0.649990        99.60     95.08     97.40     63.76     10.57     99.40     92.28     97.71     94.89     82.10 
    83.28     0.548629  0.649990        99.60     95.08     97.40     63.76     10.57     99.40     92.28     97.71     94.90     82.09 
    82.53     0.500000  0.787529        99.60     95.08     97.40     63.76     10.57     99.40     91.90     97.93     94.88     74.77 
    82.35     2.012743  0.998344        99.60     95.08     97.40     63.76     10.57     99.40     91.34     96.84     94.88     74.62 
    81.31     0.500000  0.850290        99.60     95.08     97.40     63.76     10.57     99.40     92.19     97.93     94.80     62.40 
    79.92     2.821189  0.712316        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.09    100.00     81.96 
    81.68     3.845802  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     78.61     95.38     94.89     82.11 
    83.03     1.233438  0.854609        99.60     95.08     97.40     63.76     10.57     99.40     90.34     97.20     94.89     82.10 
    82.42     2.757812  0.966135        99.60     95.08     97.40     63.76     10.57     99.40     85.27     96.11     94.89     82.09 
    82.26     1.876741  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     92.09     96.91     94.89     72.94 
    81.26     0.500000  0.972042        99.60     95.08     97.40     63.76     10.57     99.40     92.50     97.82     94.85     61.65 
    79.57     4.399962  0.757650        99.60     95.08     97.40     63.76     10.57     99.40     56.34     91.42     99.99     82.10 
    75.66     5.125548  0.560414        99.60     95.08     97.40     63.76     10.57     99.40     56.34     76.87     75.51     82.09 
    79.10     6.122408  0.910183        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.76    100.00     82.12 
    79.97     2.816831  0.783745        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.45    100.00     82.12 
    79.93     2.884320  0.712727        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.02    100.00     82.10 
    75.96     6.067653  0.745895        99.60     95.08     97.40     63.76     10.57     99.40     56.34     79.85     75.51     82.10 
    83.14     0.500000  0.561797        99.60     95.08     97.40     63.76     10.57     99.40     91.43     97.64     94.37     82.11 
    79.84     3.070472  0.674912        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.22     99.98     82.07 
    75.06     6.130935  0.541068        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.51     81.96 
    82.51     0.500000  0.779758        99.60     95.08     97.40     63.76     10.57     99.40     91.88     97.85     94.88     74.66 
    82.93     1.978419  0.966071        99.60     95.08     97.40     63.76     10.57     99.40     90.15     96.76     94.62     81.96 
    82.86     2.528794  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     89.41     96.40     94.88     82.09 
    79.21     5.475965  0.974780        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.73     95.10     82.11 
    81.61     2.693896  0.934860        99.60     95.08     97.40     63.76     10.57     99.40     78.51     96.11     93.59     82.10 
    79.70     4.831176  0.887808        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.80    100.00     82.10 
    81.31     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     92.55     97.82     94.89     62.06 
    81.15     1.301373  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     91.26     97.35     94.88     62.20 
    81.80     3.577114  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     79.61     95.60     94.87     82.11 
    81.14     1.283582  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     91.28     97.42     94.89     62.01 
    81.16     0.500000  0.872596        99.60     95.08     97.40     63.76     10.57     99.40     92.27     97.75     94.89     60.93 
    81.19     0.500000  0.963818        99.60     95.08     97.40     63.76     10.57     99.40     92.49     97.82     94.87     60.95 
    82.59     0.500000  0.808471        99.60     95.08     97.40     63.76     10.57     99.40     92.01     97.93     94.89     75.30 
    80.93     0.500000  0.941796        99.60     95.08     97.40     63.76     10.57     99.40     92.45     97.75     94.88     58.40 
    77.55     2.180329  0.688309        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.75     75.50     82.10 
    82.39     0.500000  0.768631        99.60     95.08     97.40     63.76     10.57     99.40     91.42     97.85     94.67     74.20 
