constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [3.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    11.45     0.000000 
    24.86     0.000000 
    46.93     0.401825 
    21.26     0.000000 
    23.71     1.427636 
    50.05     0.394816 
    26.38     1.186036 
    55.23     0.306988 
    25.42     0.000000 
    22.52     0.000000 
    30.87     0.902331 
    33.97     0.833245 
    27.94     0.979859 
    53.87     0.232187 
    16.26     0.000000 
    42.70     0.521955 
    30.06     0.000000 
    18.47     0.000000 
    42.19     0.085646 
    40.03     0.577776 
    22.98     1.679056 
    36.47     0.947446 
    47.76     0.073358 
    38.23     0.702132 
    11.29     0.000000 
    33.37     0.863621 
    22.68     1.646427 
    43.28     0.522130 
    36.09     0.697501 
    51.13     0.219844 
    32.17     0.875671 
    15.25     0.000000 
    18.91     0.000000 
    51.39     0.409470 
    38.30     0.052704 
    19.93     0.000000 
    30.29     0.000000 
    25.86     0.000000 
    28.04     0.000000 
    41.50     0.723611 
    39.81     0.671019 
    33.35     0.789730 
    47.10     0.524407 
    35.34     0.636648 
    27.55     0.000000 
    27.47     0.000000 
    20.03     0.000000 
    31.33     0.040921 
    47.38     0.378088 
    33.75     0.777456 
    46.44     0.152259 
    29.72     0.901308 
    26.42     1.094508 
    28.02     1.076318 
    30.77     0.995089 
    27.80     1.238903 
    26.24     1.643259 
    21.96     1.677660 
    23.40     1.700372 
    17.36     1.643796 
    17.34     2.171186 
    15.35     2.367141 
    22.13     2.039377 
    19.32     2.029915 
    23.51     1.820589 
    16.03     2.105712 
    20.78     1.993260 
    20.16     2.031580 
    17.20     1.682850 
    19.78     1.828851 
    15.98     2.056411 
    18.45     2.111241 
    23.84     2.067750 
    18.83     2.058972 
    21.66     2.207054 
    19.18     2.210691 
    18.40     2.036516 
    19.52     2.017773 
    22.01     1.836610 
    20.49     1.908210 
    21.96     1.873416 
    17.18     1.688261 
    22.11     1.787455 
    22.20     1.801321 
    21.69     1.797509 
    15.86     1.798742 
    22.46     1.772599 
    21.97     1.791535 
    17.13     1.787539 
    22.00     1.797135 
    11.01     1.811001 
    18.88     1.783535 
    22.55     1.785904 
    20.58     1.785904 
    20.51     1.706954 
    43.87     0.536667 
    53.72     0.343293 
    36.97     0.859799 
    25.95     0.022465 
    25.69     0.000000 
    19.43     0.000000 
    18.56     0.000000 
    28.26     1.135533 
    17.74     2.627701 
    18.73     2.100523 
    11.95     3.000000 
    23.19     1.533818 
    24.87     2.329518 
    20.86     1.605957 
    13.94     3.000000 
    20.40     1.905385 
    14.34     3.000000 
    42.75     0.729914 
    28.31     1.299723 
    17.83     2.097077 
    18.53     2.371119 
    31.65     0.863133 
    27.54     1.394843 
    18.73     1.731109 
    24.65     1.571813 
    32.29     1.105359 
    37.22     0.084725 
    44.05     0.651502 
    39.05     0.639597 
    44.72     0.553406 
    25.70     0.000000 
    30.51     1.111305 
    27.60     1.567956 
    20.24     1.710466 
    36.74     0.766839 
    22.42     1.344210 
    37.28     0.696165 
    30.47     1.077758 
    44.75     0.463588 
    23.86     1.252536 
    40.41     0.637472 
    29.66     1.173782 
    23.61     1.538168 
    42.08     0.712199 
    47.35     0.390100 
    20.67     0.000000 
    46.21     0.543832 
    45.81     0.602342 
    24.53     1.404484 
    33.46     0.041873 
    27.09     0.000000 
    28.62     0.028870 
    29.15     1.100218 
    31.01     1.114386 
    47.05     0.152303 
    19.79     0.000000 
    41.79     0.502350 
    41.66     0.113581 
    44.26     0.523548 
    36.44     0.617699 
    26.07     0.009013 
    58.44     0.238290 
    43.08     0.464031 
    47.94     0.148423 
    39.13     0.578631 
    17.85     0.000000 
    38.39     0.742121 
    23.87     0.000000 
    51.16     0.380845 
    51.85     0.437553 
    37.69     0.580067 
    45.41     0.092204 
    13.61     0.000000 
    38.48     0.126252 
    43.56     0.098008 
    50.35     0.132274 
    49.88     0.383882 
    49.69     0.369067 
    53.51     0.294437 
    58.37     0.244316 
    53.98     0.384209 
    49.21     0.263400 
    49.30     0.404982 
    48.08     0.211961 
    51.05     0.178817 
    47.93     0.147022 
    54.25     0.183074 
    43.73     0.121943 
    34.50     0.079531 
    57.74     0.239313 
    50.09     0.211260 
    54.60     0.222974 
    45.20     0.252726 
    48.21     0.248404 
    52.52     0.221262 
    49.82     0.216072 
    48.59     0.251391 
    51.59     0.223881 
    55.73     0.263738 
    49.32     0.263738 
    19.45     1.479407 
    18.58     1.802627 
    13.59     2.880036 
    14.76     2.997415 
    13.02     3.000000 
    14.09     2.522136 
    20.16     1.478400 
    35.21     0.882791 
    41.09     0.606343 
    18.06     1.967605 
    27.53     1.155338 
    24.36     1.235446 
    21.44     1.772437 
    10.13     2.804327 
