constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    76       56.17      2.65231        90.80     66.53     74.80     11.20     12.78     77.80     24.68     76.65     85.22     41.23 
    77       52.10      2.53515        92.40     70.27     75.20     10.13    -35.00     67.20     28.73     80.58     88.66     42.78 
    78       55.86      3.06499        83.80     60.27     82.20     36.27      2.78     64.60     44.68     65.38     87.66     30.93 
    79       55.38      2.97561        94.80     65.20     66.80    -10.13      6.67     85.00     40.79     80.73     93.65     30.31 
    80       57.77      3.30587        86.60     67.73     72.80     15.47     27.78     61.60     49.37     72.80     96.10     27.47 
    81       59.05      2.53787        99.40     68.53     60.40     60.27      4.44     61.90     43.02     73.67     87.98     30.93 
    82       56.24      3.00382       100.00     77.07     58.60     24.27     11.67     56.30     32.94     79.64     88.89     33.02 
    83       54.14      2.90254        64.00     70.40     63.60     36.80      9.44     66.70     38.81     69.42     87.76     34.51 
    84       56.01      3.13735        86.40     85.33     68.80      4.00     28.89     79.60     48.02     70.91     78.14     10.00 
    85       58.37      3.27156        89.60     62.00     78.00     26.67     -2.22     62.60     46.90     72.58     88.16     59.44 
    86       52.33      2.92999        81.80     72.13     62.20      0.53     18.33     67.70     28.41     74.40     86.39     31.42 
    87       51.37      3.04898        92.40     59.87     62.20      5.07     13.33     66.90     40.16     79.38     87.39      6.98 
    88       56.04      3.30645        90.60     77.87     69.00     26.93    -22.78     58.50     52.06     83.27     91.88     33.09 
    89       60.74      2.84848        95.00     78.13     58.20     69.60     29.44     56.30     34.60     80.18     95.42     10.56 
    90       55.46      3.34349        90.60     79.07     69.40     12.27     19.44     51.00     44.29     66.22     89.75     32.53 
    91       46.35      2.79149        85.20     59.60     62.80    -15.20    -17.78     74.70     26.59     75.38     86.80     25.37 
    92       51.85      3.04983        83.00     62.40     60.80     -6.67     -2.22     73.00     37.30     74.84     89.07     46.98 
    93       51.31      3.09382        91.40     81.20     54.80     20.80    -31.11     52.00     50.00     78.62     91.84     23.52 
    94       62.34      3.05402        79.60     82.93     72.00     43.47     32.22     77.40     29.68     81.20     98.50     26.36 
    95       54.75      3.02733        99.40     72.80     64.80     10.40     -1.11     61.10     48.41     73.49     88.62     29.63 
    96       48.52      3.06732        84.60     72.67     67.80     -0.27    -11.67     67.10     22.22     71.24     80.86     30.62 
    97       54.98      3.03311       101.60     93.07     48.60     12.00    -16.67     80.40     27.62     78.11     89.30     35.74 
    98       54.82      3.02826        97.00     60.53     66.20      7.20      3.89     81.10     29.13     74.15     88.30     40.74 
    99       51.00      3.00995        76.20     62.00     83.40     28.00    -21.67     42.40     46.19     84.44     83.95     25.12 
   100       51.23      3.03211        77.00     73.60     47.00     45.87    -12.22     65.60     40.48     69.20     85.62     20.19 
   101       57.19      3.04188        81.40     73.60     67.60     17.87     16.67     61.50     40.16     83.67     87.98     41.42 
   102       52.29      3.05402        93.00     84.27     54.40     -1.60    -10.56     73.50     35.40     73.49     92.15     28.89 
   103       61.65      1.27447        96.60     82.53     51.40     56.27     -6.11     67.30     43.81     80.00     88.53     56.17 
   104       53.76      2.36921        86.00     89.73     61.40     11.20    -12.22     42.50     50.79     77.82     84.13     46.30 
   105       53.93      1.81022        78.00     83.60     80.60     18.93    -21.11     68.60     25.32     80.65     80.59     44.07 
   106       55.64      1.61462        69.80     76.13     56.80     12.27     20.00     45.40     48.81     76.47     84.76     65.93 
   107       57.70      3.89389        75.40     78.67     74.60      6.40      2.22     73.10     55.40     71.31     84.13     55.74 
   108       50.15      1.59783        44.20     69.73     67.00     18.40    -23.89     72.10     24.84     81.09     94.42     53.64 
   109       52.90      5.57260        87.20     71.07     67.20     14.13    -14.44     30.30     71.51     73.09     84.76     44.20 
   110       55.42      6.20715        81.00     72.80     67.20    -15.47     37.22     60.50     54.92     76.00     93.92     26.11 
   111       52.79      7.72482        80.60     76.40     71.40      7.73      5.56     40.60     61.90     64.84     91.07     27.84 
   112       48.60      7.65048        80.80     52.67     83.20     -0.27     -2.78     35.40     55.95     70.11     83.31     27.65 
   113       53.61      6.75270        95.60     64.27     66.20     25.60      6.67     36.80     53.97     69.93     87.98     29.07 
   114       51.48      6.73345        95.00     81.73     60.40    -14.67      1.11     43.10     52.38     68.22     92.06     35.43 
   115       55.86      6.87616        97.20     84.67     63.40     17.07      3.33     35.30     60.95     65.67     92.38     38.64 
   116       57.29      7.96990        93.80     63.60     73.80     44.80      8.89     30.10     57.06     72.58     93.79     34.51 
   117       52.09      7.04383        53.80     80.40     61.60      9.87     19.44     45.40     62.38     67.89     85.26     34.81 
   118       51.21      8.83760        89.60     69.73     76.80     14.67      6.67     15.50     53.81     65.93     87.17     32.22 
   119       53.80      8.15972        91.60     71.47     85.20     30.40    -19.44     19.80     65.32     77.71     86.17     29.81 
   120       53.71      9.51565        73.80     57.33     67.60     16.80     35.00     43.40     66.35     64.33     85.90     26.60 
   121       43.36      9.71789        42.80     49.73     64.60     -0.80      1.67     44.10     59.29     62.87     81.18     28.21 
   122       50.71      8.14683        93.00     56.93     80.40     -4.80     11.11     35.50     56.67     66.18     80.91     31.23 
   123       49.33      8.38535        84.60     63.87     67.60     20.80      8.33     10.90     46.19     64.84     94.06     32.16 
   124       56.54      7.99043       110.60     66.40     69.40      7.73     17.78     42.30     62.22     70.47     85.12     33.40 
   125       54.14      6.30883        92.00     71.47     63.40     15.20      5.00     33.00     59.29     73.09     89.66     39.26 
   126       57.87      4.73158        69.00     68.53     74.20      8.00     46.67     68.00     51.67     73.75     80.32     38.58 
   127       59.94      5.49088       111.20     70.80     81.20     18.67     16.11     46.80     55.56     78.84     89.75     30.49 
   128       55.41      5.68146        99.40     76.13     75.20     -5.87     -0.56     38.90     60.24     84.36     92.43     33.83 
   129       57.20      4.48094        94.00     70.27     63.40     16.27     28.89     40.30     55.48     81.31     85.08     37.04 
   130       53.30      3.21610        88.60     84.40     77.00    -20.27    -17.22     67.50     47.38     71.71     92.93     40.99 
