constructTestCases(): generating 11 specified cases ...  DONE
    49.37     0.798708 
    99.82     0.000000 
    70.81     0.201302 
    99.83     0.000000 
    69.94     0.215575 
    99.82     0.000000 
    62.16     0.375572 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    52.64     0.669540 
    70.77     0.202024 
    78.12     0.107515 
    99.83     0.000000 
    63.60     0.341277 
    75.32     0.139190 
    86.30     0.050765 
    76.50     0.125296 
    99.82     0.000000 
    62.20     0.374371 
    82.07     0.073515 
    70.81     0.201252 
    66.31     0.282617 
    72.98     0.169080 
    99.83     0.000000 
    68.67     0.238236 
    99.82     0.000000 
    99.82     0.000000 
    65.51     0.297819 
    65.11     0.306572 
    68.48     0.240434 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    81.29     0.078945 
    79.19     0.097076 
    75.90     0.132527 
    73.52     0.162465 
    76.34     0.127230 
    92.32     0.029386 
    73.44     0.163546 
    99.82     0.000000 
    97.08     0.015359 
    99.83     0.000000 
    94.03     0.024148 
    93.38     0.026023 
    97.91     0.012388 
    96.00     0.018718 
    99.82     0.000000 
    99.82     0.000000 
    92.75     0.028008 
    99.63     0.003990 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    74.80     0.145919 
    42.40     1.130645 
    38.50     1.368399 
    99.82     0.000000 
    71.99     0.182922 
    99.82     0.000000 
    99.83     0.000000 
    56.95     0.522816 
    42.02     1.152747 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    49.34     0.801534 
    99.82     0.000000 
    41.55     1.181024 
    55.25     0.578012 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    66.10     0.286386 
    43.97     1.048910 
    99.82     0.000000 
    75.77     0.134227 
    99.83     0.000000 
    60.59     0.416499 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    55.13     0.581646 
    99.82     0.000000 
    57.22     0.513629 
    99.82     0.000000 
    71.77     0.186375 
    99.83     0.000000 
    58.64     0.470192 
    99.83     0.000000 
    96.97     0.015743 
    99.82     0.000000 
    82.02     0.073896 
    48.92     0.818174 
    51.18     0.723894 
    99.82     0.000000 
    99.82     0.000000 
    57.70     0.499816 
    99.82     0.000000 
    58.21     0.483610 
    99.82     0.000000 
    99.82     0.000000 
    75.65     0.135732 
    68.68     0.237859 
    77.11     0.118278 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    55.90     0.556795 
    99.82     0.000000 
    59.20     0.454809 
    61.86     0.383225 
    91.14     0.033105 
    58.81     0.466760 
    91.84     0.030866 
    61.39     0.393933 
    82.62     0.069750 
    70.14     0.213001 
    99.82     0.000000 
    84.50     0.058862 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    64.60     0.317716 
    64.54     0.319473 
    98.29     0.011024 
    66.52     0.278200 
    99.83     0.000000 
    74.98     0.143503 
    80.78     0.082948 
    94.75     0.022243 
    96.55     0.017059 
    83.56     0.063933 
    99.82     0.000000 
    94.30     0.023483 
    92.10     0.030082 
    99.83     0.000000 
    74.02     0.156184 
    99.82     0.000000 
    99.82     0.001290 
    97.71     0.013171 
    99.82     0.000000 
    99.82     0.000000 
    99.41     0.005705 
    96.60     0.016891 
    95.21     0.020967 
    92.83     0.027766 
    99.82     0.000000 
    99.82     0.000000 
    37.19     1.454174 
    66.44     0.279974 
    99.82     0.000000 
    36.76     1.487531 
    50.80     0.741296 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    48.31     0.843453 
    46.97     0.903264 
    53.35     0.643629 
    61.72     0.387654 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    55.70     0.563390 
    32.90     1.782874 
    47.24     0.890330 
    37.55     1.432179 
    29.87     2.060051 
    28.75     2.168046 
    45.61     0.965165 
    99.82     0.000000 
    52.67     0.669259 
    75.58     0.136447 
    99.82     0.000000 
    50.32     0.758809 
    99.82     0.000000 
    51.09     0.729340 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    46.42     0.928032 
    55.14     0.581272 
    70.09     0.213809 
    45.51     0.969918 
    49.53     0.792167 
    61.09     0.402098 
    99.82     0.000000 
    57.99     0.490341 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    70.25     0.210933 
    96.34     0.017720 
    99.82     0.000000 
    62.72     0.361019 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    68.80     0.236034 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    82.22     0.072472 
    68.49     0.240324 
    99.82     0.000000 
    53.81     0.629313 
    99.82     0.000000 
    67.29     0.262610 
    99.82     0.000000 
    79.38     0.095178 
    99.82     0.000000 
    80.65     0.084004 
    60.00     0.431417 
    67.97     0.249714 
    82.11     0.073223 
    82.99     0.067426 
    99.82     0.000000 
    65.83     0.292718 
    99.82     0.000000 
    99.82     0.000000 
    78.04     0.108457 
    99.82     0.000000 
    81.33     0.078690 
    67.75     0.254159 
    99.82     0.000000 
    99.82     0.000000 
    99.76     0.002307 
    87.86     0.044417 
    99.82     0.000000 
    99.82     0.000000 
    78.38     0.105111 
    99.82     0.000000 
    99.82     0.000000 
    97.37     0.014358 
    99.82     0.000000 
    72.95     0.169401 
    93.02     0.027171 
    93.87     0.024556 
    94.87     0.021927 
    94.20     0.023710 
    91.88     0.030760 
    96.89     0.015968 
    95.69     0.019641 
    88.79     0.040914 
    96.06     0.018534 
    88.49     0.042012 
    96.06     0.018534 
    55.05     0.585521 
    38.60     1.362299 
    33.00     1.774054 
    43.30     1.082351 
    43.42     1.079403 
    43.48     1.075895 
    48.92     0.817936 
    55.55     0.570098 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    62.38     0.369698 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    47.89     0.860331 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    67.28     0.262820 
    99.82     0.000000 
    99.82     0.000000 
    42.69     1.117779 
    99.82     0.000000 
    57.03     0.519348 
    99.82     0.000000 
    99.82     0.000000 
    69.51     0.223502 
    52.70     0.666374 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    63.04     0.353295 
    68.31     0.243699 
    47.01     0.901064 
    49.35     0.801194 
    99.82     0.000000 
    99.82     0.000000 
    62.82     0.358364 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    71.04     0.197405 
    99.82     0.000000 
    91.40     0.032253 
    87.88     0.044330 
    99.82     0.000000 
    99.82     0.000000 
    60.66     0.413727 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    83.59     0.063691 
    99.82     0.000000 
    99.82     0.000000 
    58.12     0.487058 
    68.17     0.245652 
    70.82     0.201164 
    99.82     0.000000 
    99.82     0.000000 
    65.03     0.308669 
    65.78     0.293536 
    99.82     0.000000 
    86.20     0.051216 
    99.82     0.000000 
    60.59     0.416527 
    91.81     0.030977 
    99.82     0.000000 
    88.67     0.041344 
    99.82     0.000000 
    99.82     0.000000 
    82.92     0.067885 
    99.82     0.000000 
    64.25     0.325595 
    99.82     0.000000 
    99.82     0.000000 
    86.08     0.051682 
    76.45     0.125824 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    78.59     0.102918 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    86.17     0.051315 
    91.77     0.031104 
    99.82     0.000000 
    98.96     0.008214 
    93.39     0.025997 
    96.65     0.016745 
    99.83     0.000000 
    93.94     0.024411 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    47.57     0.875965 
    50.24     0.764714 
    99.82     0.000000 
    99.82     0.000000 
    96.42     0.017464 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    62.76     0.359748 
    91.63     0.031571 
    99.82     0.000000 
    99.82     0.000000 
    42.01     1.153423 
    46.75     0.911801 
    99.82     0.000000 
    99.82     0.000000 
    70.40     0.208494 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    61.10     0.401643 
    71.56     0.189504 
    51.55     0.712574 
    99.82     0.000000 
    51.92     0.697068 
    49.52     0.793527 
    50.26     0.762781 
    98.99     0.008113 
    53.51     0.638500 
    56.98     0.521753 
    64.55     0.318986 
    61.07     0.402387 
    48.37     0.840290 
    48.37     0.840048 
    99.83     0.000000 
    54.33     0.608737 
    99.82     0.000000 
    99.82     0.000000 
    54.12     0.617163 
    52.38     0.681139 
    99.82     0.000000 
    53.38     0.643238 
    59.30     0.451318 
    99.82     0.000000 
    54.92     0.589547 
    99.82     0.000000 
    56.80     0.527205 
    99.82     0.000000 
    55.44     0.572375 
    59.58     0.443224 
    72.84     0.171095 
    57.63     0.502173 
    53.31     0.646481 
    99.82     0.000000 
    53.95     0.623106 
    99.82     0.000000 
    68.54     0.239178 
    99.82     0.000000 
    57.36     0.508317 
    99.82     0.000000 
    99.82     0.000000 
    58.07     0.488638 
    99.82     0.000000 
    66.24     0.284463 
    60.64     0.414283 
    59.90     0.433808 
    99.82     0.000000 
    63.71     0.338578 
    78.51     0.103669 
    99.82     0.000000 
    99.82     0.000000 
    69.07     0.230806 
    77.23     0.116859 
    77.86     0.110483 
    79.92     0.090137 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.64     0.003834 
    99.82     0.000000 
    82.83     0.068485 
    99.82     0.000000 
    99.82     0.000000 
    91.91     0.030685 
    90.75     0.034352 
    99.82     0.000000 
    95.42     0.020381 
    99.82     0.000000 
    99.82     0.000000 
    93.95     0.024379 
    99.82     0.000000 
    99.17     0.007159 
    98.96     0.008230 
    99.52     0.004843 
    94.70     0.022361 
    99.45     0.005379 
    99.82     0.000000 
    49.42     0.797948 
    28.94     2.147086 
    22.31     3.000000 
    22.31     3.000000 
    22.31     3.000000 
    22.31     3.000000 
    22.31     3.000000 
    22.31     3.000000 
    22.31     3.000000 
    27.92     2.253712 
    37.51     1.433109 
    41.60     1.176065 
    34.49     1.651265 
    44.30     1.032797 
    53.19     0.650336 
    99.82     0.000000 
    51.49     0.715343 
    54.68     0.597895 
    54.25     0.612408 
    99.82     0.000000 
    42.73     1.114417 
    52.57     0.673299 
    99.82     0.000000 
    62.20     0.374516 
    99.83     0.000000 
    46.71     0.913629 
    66.53     0.277910 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    57.80     0.497737 
    99.82     0.000000 
    60.64     0.414682 
    99.82     0.000000 
    96.56     0.017054 
    61.36     0.394683 
    99.82     0.000000 
    99.82     0.000000 
    52.27     0.684735 
    62.20     0.374289 
    50.76     0.742689 
    99.82     0.000000 
    72.79     0.171987 
    99.82     0.000000 
    73.54     0.162378 
    68.03     0.248476 
    62.90     0.356877 
    49.05     0.810935 
    99.82     0.000000 
    86.16     0.051364 
    99.82     0.000000 
    81.68     0.076295 
    99.82     0.000000 
    99.82     0.000000 
    62.07     0.378061 
    99.82     0.000000 
    99.82     0.000000 
    59.30     0.451401 
    59.83     0.435838 
    70.49     0.206844 
    72.14     0.180669 
    68.79     0.236102 
    64.31     0.324368 
    99.82     0.000000 
    64.26     0.325346 
    62.25     0.373263 
    99.82     0.000000 
    86.14     0.051484 
    99.78     0.002160 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    89.49     0.038445 
    99.82     0.000000 
    68.00     0.249044 
    99.82     0.000000 
    74.68     0.147632 
    99.83     0.000000 
    85.10     0.056061 
    99.82     0.000000 
    82.31     0.071816 
    88.56     0.041746 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    73.38     0.164561 
    99.83     0.000000 
    97.48     0.013965 
    99.82     0.000000 
    92.13     0.029997 
    94.42     0.023110 
    99.82     0.000000 
    95.24     0.020886 
    99.40     0.005756 
    99.82     0.000000 
    95.94     0.018897 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    76.79     0.122086 
    50.30     0.761202 
    38.18     1.390846 
    32.53     1.808299 
    30.22     2.020747 
    24.82     2.631797 
    31.95     1.859365 
    47.17     0.893496 
    69.55     0.222755 
    50.86     0.740161 
    99.82     0.000000 
    64.17     0.327889 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    64.12     0.328614 
    99.73     0.002912 
    99.82     0.000000 
    39.58     1.299368 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    62.06     0.378339 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    91.50     0.031992 
    99.82     0.000000 
    99.82     0.000000 
    88.05     0.043689 
    99.82     0.000000 
    99.82     0.000000 
    77.20     0.117223 
    62.06     0.378682 
    45.62     0.963794 
    99.82     0.000000 
    99.82     0.000000 
    79.59     0.093222 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    74.77     0.146346 
    47.12     0.896330 
    71.87     0.184594 
    99.82     0.000000 
    99.82     0.000000 
    67.09     0.266848 
    68.80     0.235813 
    99.82     0.000000 
    79.97     0.089772 
    96.17     0.018201 
    60.71     0.412483 
    99.83     0.000000 
    59.79     0.437504 
    61.36     0.395036 
    95.12     0.021237 
    59.52     0.445358 
    74.35     0.151848 
    90.66     0.034613 
    78.38     0.105008 
    99.82     0.000000 
    99.82     0.000000 
    71.87     0.184531 
    98.53     0.010095 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    66.32     0.282477 
    76.56     0.124485 
    66.85     0.271976 
    99.82     0.000000 
    99.82     0.000000 
    64.68     0.316282 
    99.09     0.007572 
    63.07     0.352162 
    99.82     0.000000 
    99.82     0.000000 
    77.61     0.112790 
    77.60     0.112951 
    74.12     0.155132 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    86.91     0.048261 
    92.25     0.029592 
    76.10     0.130050 
    99.82     0.000000 
    92.28     0.029500 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.54     0.004692 
    99.28     0.006580 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    50.76     0.743384 
    41.14     1.204449 
    30.43     1.999452 
    22.31     3.000000 
    27.86     2.259424 
    30.40     2.006753 
    24.15     2.716603 
    32.13     1.851017 
    29.97     2.042613 
    28.75     2.169427 
    34.73     1.634177 
    61.35     0.395066 
    39.59     1.297185 
    99.82     0.000000 
    60.00     0.431366 
    99.82     0.000000 
    57.67     0.501330 
    99.82     0.000000 
    73.08     0.167618 
    75.86     0.133118 
    76.97     0.119855 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    48.10     0.853910 
    99.82     0.000000 
    72.80     0.171754 
    61.63     0.389980 
    56.38     0.540040 
    44.85     1.003317 
    67.72     0.254724 
    99.82     0.000000 
    69.60     0.221694 
    51.62     0.708818 
    99.82     0.000000 
    99.82     0.000000 
    46.60     0.918315 
    99.82     0.000000 
    99.83     0.000000 
    61.35     0.395469 
    99.83     0.000000 
    62.34     0.370411 
    99.82     0.000000 
    64.34     0.323482 
    69.47     0.224004 
    99.82     0.000000 
    54.35     0.607830 
    97.93     0.012356 
    64.11     0.329083 
    70.14     0.213006 
    99.82     0.000000 
    55.58     0.568390 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    62.44     0.368916 
    79.91     0.090195 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    71.65     0.188248 
    57.28     0.511699 
    58.81     0.466924 
    65.04     0.308307 
    62.59     0.364508 
    59.50     0.445615 
    99.82     0.000000 
    66.09     0.286797 
    70.00     0.214465 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    66.06     0.287469 
    99.82     0.000000 
    75.91     0.132410 
    99.82     0.000000 
    72.80     0.171805 
    93.63     0.025257 
    99.82     0.000000 
    99.82     0.000000 
    99.79     0.001964 
    99.82     0.000000 
    75.09     0.142288 
    99.82     0.000000 
    99.82     0.000000 
    90.80     0.034193 
    81.53     0.077485 
    94.26     0.023562 
    99.82     0.000000 
    99.64     0.003975 
    99.83     0.000000 
    96.47     0.017321 
    99.05     0.007774 
    98.25     0.011171 
    98.76     0.009144 
    99.71     0.003168 
    97.43     0.014156 
    99.71     0.003168 
    63.91     0.334499 
    99.82     0.000000 
    99.82     0.000000 
    61.88     0.382585 
    99.82     0.000000 
    45.59     0.966083 
    99.82     0.000000 
    39.44     1.311704 
    30.22     2.020806 
    22.77     2.930291 
    22.31     3.000000 
    31.94     1.863060 
    54.32     0.609238 
    54.81     0.593480 
    33.36     1.742893 
    54.07     0.618522 
    39.90     1.281406 
    32.14     1.847952 
    33.08     1.764781 
    54.11     0.617525 
    56.84     0.526026 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    68.80     0.235948 
    41.14     1.203724 
    50.94     0.735670 
    88.28     0.042803 
    51.97     0.695097 
    46.75     0.911584 
    49.96     0.776071 
    99.82     0.000000 
    99.82     0.000000 
    50.36     0.757347 
    99.83     0.000000 
    63.59     0.341687 
    42.27     1.140845 
    99.82     0.000000 
    49.09     0.809171 
    54.88     0.590611 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    95.07     0.021367 
    52.19     0.689223 
    99.82     0.000000 
    99.83     0.000000 
    54.57     0.603776 
    66.44     0.280006 
    99.82     0.000000 
    52.49     0.676126 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    69.19     0.229118 
    99.82     0.000000 
    60.36     0.422055 
    80.21     0.087819 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    60.97     0.405629 
    61.03     0.403327 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    96.90     0.015940 
    99.82     0.000000 
    99.82     0.000000 
    84.71     0.057825 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    68.92     0.233477 
    99.82     0.000000 
    74.17     0.154366 
    99.82     0.000000 
    99.82     0.000000 
    80.91     0.081826 
    99.82     0.000000 
    99.82     0.000000 
    71.71     0.187373 
    99.83     0.000000 
    79.38     0.095320 
    71.43     0.191731 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    98.25     0.011156 
    90.39     0.035508 
    89.72     0.037671 
    89.11     0.039706 
    99.82     0.000000 
    95.01     0.021555 
    94.81     0.022075 
    99.83     0.000000 
    60.90     0.407777 
    99.83     0.000000 
    99.82     0.000000 
    58.94     0.462927 
    69.96     0.215297 
    99.82     0.000000 
    42.56     1.126192 
    56.77     0.528889 
    37.04     1.468792 
    31.72     1.884037 
    49.66     0.786034 
    35.01     1.614962 
    51.37     0.720060 
    32.23     1.836320 
    22.31     3.000000 
    28.92     2.154657 
    40.54     1.243034 
    41.81     1.166241 
    38.53     1.366398 
    31.08     1.942128 
    38.87     1.343988 
    47.03     0.899036 
    59.59     0.442562 
    99.82     0.000000 
    54.12     0.617127 
    76.09     0.130169 
    99.82     0.000000 
    46.15     0.939692 
    47.25     0.889442 
    99.82     0.000000 
    55.07     0.584282 
    63.94     0.333567 
    64.39     0.323165 
    62.12     0.376948 
    72.32     0.178493 
    57.46     0.505434 
    43.15     1.092483 
    99.82     0.000000 
    50.92     0.736932 
    99.82     0.000000 
    99.82     0.000000 
    59.28     0.452192 
    99.82     0.000000 
    67.15     0.265477 
    99.82     0.000000 
    80.29     0.087097 
    99.82     0.000000 
    48.85     0.821300 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    75.07     0.142541 
    55.66     0.565037 
    66.99     0.268551 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    66.24     0.284385 
    73.70     0.160268 
    59.72     0.439452 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    57.76     0.498446 
    60.36     0.422036 
    99.82     0.000000 
    97.05     0.015433 
    99.83     0.000000 
    68.16     0.245943 
    99.82     0.000000 
    99.82     0.000000 
    69.89     0.216621 
    99.82     0.000000 
    99.82     0.000768 
    67.61     0.256779 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    83.88     0.062024 
    99.82     0.000000 
    71.57     0.189410 
    89.38     0.038811 
    73.34     0.165125 
    98.71     0.009399 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000962 
    96.77     0.016351 
    99.82     0.000000 
    99.57     0.004527 
    99.82     0.000000 
    94.47     0.022998 
    99.82     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    45.52     0.969087 
    47.83     0.863566 
    43.14     1.094255 
    35.81     1.558328 
    33.06     1.768110 
    23.92     2.755706 
    29.28     2.113293 
    24.43     2.683943 
    24.83     2.624836 
    23.72     2.782828 
    22.31     3.000000 
    22.31     3.000000 
    32.52     1.811745 
    24.81     2.633639 
    26.75     2.383617 
    38.23     1.383053 
    34.94     1.621211 
    24.85     2.617525 
    39.28     1.316959 
    33.57     1.727199 
    39.15     1.329495 
    63.02     0.353959 
    67.36     0.261000 
    99.82     0.000000 
    58.50     0.473824 
    72.16     0.180332 
    99.82     0.000000 
    49.48     0.795077 
    34.17     1.675766 
    25.23     2.572375 
    34.22     1.673354 
    27.44     2.307227 
    51.11     0.728091 
    38.22     1.384969 
    34.73     1.634569 
    43.68     1.061567 
    34.18     1.674601 
    31.20     1.928795 
    28.48     2.195854 
    30.70     1.975211 
    26.75     2.384331 
    23.36     2.843060 
    24.44     2.681387 
    22.31     3.000000 
    23.86     2.768850 
    22.49     2.971071 
    24.11     2.725714 
    22.64     2.953431 
    22.31     3.000000 
    27.22     2.327300 
    23.87     2.761885 
    29.42     2.101846 
    28.93     2.151479 
    26.13     2.457000 
    26.46     2.422156 
    27.36     2.319831 
    31.92     1.867449 
    33.00     1.773398 
    34.09     1.684489 
    33.35     1.744050 
    35.97     1.541043 
    43.02     1.101131 
    43.21     1.087618 
    46.70     0.913857 
    43.89     1.052774 
    48.24     0.848224 
    46.71     0.913255 
    59.93     0.432238 
    56.78     0.528329 
    64.59     0.318034 
    59.92     0.432723 
    71.46     0.191292 
    66.35     0.281589 
    99.82     0.000000 
    69.00     0.232138 
    65.05     0.308212 
    63.14     0.350899 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    73.46     0.163396 
    99.82     0.000000 
    81.95     0.074382 
    99.82     0.000000 
    99.82     0.000000 
    76.06     0.130429 
    88.39     0.042411 
    77.38     0.115086 
    71.40     0.192209 
    97.28     0.014653 
    99.82     0.000000 
    99.82     0.000000 
    98.45     0.010417 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    99.82     0.000000 
    99.83     0.000598 
    99.82     0.000000 
    99.83     0.000000 
    99.82     0.000000 
    61.35     0.395199 
    51.57     0.710809 
    75.69     0.135157 
    35.98     1.539159 
    45.82     0.958018 
    45.33     0.981183 
    99.82     0.000000 
    93.48     0.025704 
    37.19     1.454332 
    30.12     2.032967 
    50.70     0.746781 
    74.95     0.143988 
    99.82     0.000000 
    41.01     1.213854 
    39.80     1.287750 
    99.83     0.000000 
