constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    82.38     2.150284  0.990899        99.60     95.08     97.40     63.76     10.57     99.40     85.05     95.82     94.98     82.11 
    77.96     1.103641  0.958088        99.60     95.08     97.40     63.76     10.57     99.40     78.47     96.11     94.99     44.23 
    78.76     1.710369  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     85.15     96.04     96.31     44.31 
    82.55     2.250349  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     85.61     95.75     96.28     82.07 
    82.40     2.723321  0.998512        99.60     95.08     97.40     63.76     10.57     99.40     85.23     95.38     95.49     82.08 
    81.45     4.098647  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     76.39     94.29     95.95     82.09 
    78.62     1.466131  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     78.47     96.18     96.34     49.41 
    82.30     3.109632  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     83.86     95.09     96.13     82.12 
    82.50     2.635150  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     85.44     95.45     96.23     82.07 
    82.50     2.396540  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     85.23     95.67     96.25     82.09 
    82.17     3.276776  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     82.91     94.95     96.11     81.97 
    81.66     3.095648  0.973063        99.60     95.08     97.40     63.76     10.57     99.40     77.84     95.02     95.83     82.09 
    82.48     2.162728  0.957742        99.60     95.08     97.40     63.76     10.57     99.40     85.23     95.75     95.85     82.12 
    82.46     1.477892  0.917349        99.60     95.08     97.40     63.76     10.57     99.40     85.70     96.11     94.98     81.96 
    81.67     1.257534  0.942043        99.60     95.08     97.40     63.76     10.57     99.40     85.64     96.18     95.89     73.14 
    82.57     1.782890  0.934821        99.60     95.08     97.40     63.76     10.57     99.40     86.10     95.96     95.74     82.07 
    82.20     2.101817  0.904153        99.60     95.08     97.40     63.76     10.57     99.40     83.01     95.67     95.39     82.07 
