constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0, 10], [200.0, 5000], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    77       45.82     135.59759  2679.77021        69.40     61.60     69.60     -0.80    -25.00     46.00     52.94     69.56     89.89     25.00 
    78       54.25     115.13854  2361.32912       105.40     82.67     74.60     17.33    -33.33     52.30     47.70     63.45     88.62     43.77 
    79       56.84     120.21842  2174.00021        99.40     72.67     67.00     36.80      3.33     44.80     58.49     63.38     93.11     29.44 
    80       49.29     112.02144  2384.70173        86.00     70.27     71.20     -1.33    -16.11     35.80     49.37     66.18     88.44     43.09 
    81       55.01     108.98036  2108.47378        93.00     78.40     73.60      4.27     12.22     49.00     57.30     65.31     85.53     31.42 
    82       58.27     119.49733  2138.44897        94.80     67.07     81.20     29.07      4.44     54.40     56.11     67.38     89.57     38.64 
    83       55.64     113.35051  2145.59587        90.80     66.80     69.80     37.07     16.11     40.40     49.05     67.93     90.34     28.09 
    84       50.23     113.64416  2186.50375        47.80     85.87     71.80      2.93     10.56     58.70     45.56     67.85     89.02     22.22 
    85       53.36     123.16121  2012.38963        90.20     77.07     73.00     13.87    -20.56     64.20     43.17     76.44     91.88     24.32 
    86       47.11     121.20472  2107.17948        61.00     69.73     69.80     -9.33    -11.67     53.60     59.44     67.49     85.85     25.19 
    87       53.78     120.13120  2126.37711        95.00     85.33     80.00      9.60     -7.22     40.20     50.00     66.25     92.15     26.48 
    88       54.08     117.84379  2090.86548        91.80     62.27     75.40      9.87      4.44     47.70     60.63     69.49     84.04     35.19 
    89       53.73     121.94267  2155.64516        65.00     70.00     66.40     13.07     26.11     48.20     58.41     69.16     90.20     30.74 
    90       58.86     124.03704  2148.21022        93.20     69.20     76.80     16.80     31.67     58.10     54.84     69.67     90.25     28.02 
