constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.001], [0.1], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: SoftMax , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.010000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    16.52     0.001000 
    27.29     0.005032 
    12.87     0.001000 
    17.70     0.037583 
     7.26     0.001000 
    19.96     0.043530 
     8.92     0.010246 
    14.57     0.033177 
    14.29     0.044526 
     8.74     0.056728 
    10.45     0.040751 
    10.49     0.021994 
    14.00     0.036287 
     8.06     0.049892 
    12.53     0.079674 
    16.82     0.100000 
    16.89     0.100000 
    14.33     0.100000 
    13.86     0.088047 
    18.35     0.066123 
    16.37     0.081120 
    11.72     0.085135 
    15.84     0.093361 
    15.22     0.077371 
    14.24     0.082453 
     9.09     0.054648 
     8.90     0.057705 
    15.31     0.100000 
    17.59     0.100000 
    15.27     0.100000 
    16.41     0.099384 
    16.70     0.100000 
    14.87     0.077479 
    13.38     0.089432 
    15.44     0.096232 
    16.54     0.081816 
     8.85     0.076640 
    10.75     0.073811 
    14.51     0.082944 
    14.13     0.073525 
    15.94     0.088646 
    17.29     0.100000 
    16.97     0.100000 
    15.74     0.100000 
    16.27     0.085124 
    15.28     0.100000 
    15.26     0.100000 
    16.57     0.100000 
    15.40     0.088880 
    16.36     0.094364 
    15.26     0.088976 
    15.94     0.087160 
    16.57     0.096567 
    15.89     0.085591 
    18.81     0.090743 
    13.74     0.092773 
    15.82     0.093768 
    12.43     0.093879 
    15.64     0.086620 
    14.67     0.089152 
    16.27     0.087966 
    15.51     0.087895 
    16.08     0.087169 
    16.29     0.091860 
    15.03     0.087454 
    17.09     0.093513 
    16.44     0.095861 
    16.26     0.090763 
    16.47     0.089896 
    15.67     0.090677 
    15.69     0.090071 
    16.03     0.091624 
    15.97     0.090760 
    14.35     0.091546 
    15.17     0.091245 
    14.51     0.090151 
    15.57     0.090713 
    15.41     0.090743 
    16.12     0.066567 
    15.70     0.065872 
    11.55     0.071819 
    11.73     0.058889 
    14.67     0.075596 
    15.98     0.100000 
    15.98     0.094942 
    15.01     0.100000 
    10.26     0.059644 
    15.09     0.100000 
    16.03     0.082713 
    11.18     0.051575 
    13.35     0.059975 
