constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    73       35.61      8.27723        73.80     83.73     70.60      0.53     -7.78     12.50     10.95     31.09     60.59     20.12 
    74       42.97      9.29164        67.80     88.80     85.40     31.47     12.78     21.40     -0.87     34.44     65.94     22.59 
    75       38.83      9.25915        60.80     76.67     79.60     62.67     -7.78      0.70      9.13     32.40     63.22     10.86 
    76       39.63      9.51551        63.80     82.00     67.20     32.53     38.89     -2.70     -1.03     39.93     65.12     10.56 
    77       43.70      9.72645        87.00     85.87     84.60     32.53     15.56     16.90     -2.46     32.84     65.94     18.21 
    78       35.71      9.57017        71.80     92.40     66.20      3.20    -13.33     18.30      5.16     33.35     66.80     13.21 
    79       37.30      9.30351        56.20     84.13     59.40     33.87      1.67     22.20     -1.67     31.60     62.45     23.15 
    80       40.19      9.31558        71.80     81.07     87.20      2.93     42.78     18.30     -6.27     22.87     61.68     19.57 
    81       33.11      9.81377        73.40     75.73     58.80     20.00    -19.44     -0.40     -3.10     34.80     74.69     16.60 
    82       42.76      9.60996        95.00     87.33     77.60     17.87     21.11      0.40     13.81     32.15     66.12     16.17 
    83       35.48      9.61737        38.80     93.07     89.00     22.13    -22.78     22.60      9.29     28.07     70.75      3.89 
    84       36.48      9.73618        55.40     82.40     60.20     41.33     22.78     19.10     -0.79     18.73     65.67     -0.06 
    85       36.11      9.59941        53.00     86.40     85.80      0.27     16.67     16.10     -3.02     29.35     65.62     10.86 
    86       39.30      9.54856        57.40     73.07     74.60     26.13     21.67      3.90     13.10     37.49     71.88     13.77 
    87       41.68      9.69208        55.60     84.80     81.00     62.67      9.44      9.70      8.73     29.45     65.26     10.12 
    88       39.68      9.44034        68.80     91.87     79.60     56.80    -11.11     -4.20      0.24     28.80     66.71     19.26 
    89       33.16      9.69761        78.00     65.73     77.00      5.33     -1.67      3.20     -5.56     30.07     64.31     15.19 
    90       33.91      9.61821        73.00     92.80     51.80     15.73    -16.67     18.60     -3.33     38.80     61.59      6.79 
    91       36.12      9.82809        47.40     77.73     92.00     49.07     -7.22      3.80     -3.49     26.73     66.44      8.70 
    92       38.45      9.77214        80.40     86.80     65.20     41.87    -21.67     14.90      7.06     40.04     64.72      5.19 
    93       43.45      9.68775        58.20     81.33     84.00     52.53     23.89     19.80      6.19     29.60     60.05     18.95 
    94       44.80      9.66939        90.00     85.47     81.60     36.27     23.33      4.40     18.17     27.89     60.59     20.31 
    95       36.53      9.71086        69.40     87.20     82.60     17.07     -6.11     16.60     -8.49     28.95     67.57     10.56 
    96       39.80      9.63227        82.00     91.33     79.80     67.47    -24.44     -6.30     10.71     29.31     63.95      4.14 
    97       43.10      9.68817        69.80    105.20     79.60      0.27     25.56     22.70      9.05     29.35     64.44     25.00 
    98       39.78      9.63261        83.20     80.40     76.40     30.93     10.56      7.60      7.06     24.98     62.27     14.44 
    99       39.28      9.63300        61.60     81.60     82.20     22.93     21.67      2.60      6.51     30.11     73.38     10.25 
   100       36.66      9.69196        68.80     77.33     82.60      1.07     30.00      6.10      4.68     31.45     62.99      1.54 
   101       33.38      9.71162        71.00     89.47     72.40     -4.53    -22.78     16.70     -4.76     38.04     68.25     10.00 
   102       40.46      9.66939        87.60     81.87     67.20     29.33     10.00     16.70      4.44     34.62     67.39      5.49 
   103       39.41      8.46069        69.60     79.73     87.40     14.93     27.22     10.80      8.73     29.75     63.04      2.90 
   104       39.19      7.84556        76.20     83.33     82.00     30.13      4.44     10.70      0.56     29.38     67.21      7.90 
   105       44.45      8.40668        80.00     90.13     94.00     44.80     15.00      9.90      0.63     32.69     68.62      8.77 
   106       38.78      8.12249        73.60     76.93     46.80     60.80     -9.44     29.90      0.16     33.60     68.93      6.48 
   107       41.85      6.20200        76.60     85.60     72.80     21.60     12.78     26.00      5.87     38.58     64.85     13.83 
   108       45.58      6.28827        75.80     76.40     93.60     35.47      5.00     32.40     13.02     41.82     69.16     13.15 
   109       37.82      6.73729        86.60     74.00     94.00     37.87    -30.00      5.50     -3.81     40.55     69.34      4.14 
   110       45.14      6.14261        61.80     85.07     77.00     57.07     35.56     18.50     -1.51     40.95     63.36     13.58 
   111       42.77      5.71834        74.20     84.53     83.00     54.40     -2.22     11.70     -0.48     44.11     66.98     11.48 
   112       45.65      7.07542        62.80     82.53     68.60     72.53     32.22     -9.60     12.54     50.55     68.98     15.37 
   113       40.32      8.81371        54.60     73.20     90.60     26.67     35.56      0.10     16.11     30.98     67.03      8.40 
   114       36.13      7.86189        75.60     79.07     64.00     19.20     -2.22     14.90      2.22     42.44     64.08      1.98 
   115       34.67      9.78327        63.80     75.73     71.60     16.53     12.22     21.00     -4.68     23.96     61.86      4.63 
   116       37.50      7.79459        59.60     64.00     77.20     18.67     28.89      9.00     13.25     37.75     64.63      2.04 
   117       40.70      6.06975        75.40     84.00     77.20     18.67     10.00     14.90      0.87     48.22     72.02      5.68 
   118       47.78      4.59675        69.80    102.53     77.40     27.47      7.22     21.40     23.65     51.93     78.28     18.09 
   119       52.67      3.14360        54.00     81.33     74.80      5.87     15.00     57.90     56.11     55.89     72.79     52.96 
   120       48.02      4.37977        71.60     92.00     63.40     18.13     18.33     53.20     31.43     54.22     77.55      0.31 
   121       36.55      1.54245        76.20     49.73     71.00    -13.87    -35.00     71.00     14.68     59.89     68.34      3.52 
   122       42.66      4.78869        64.00     81.33     68.60      5.60     17.78     50.50     11.35     45.67     69.07     12.72 
   123       50.82      3.34812        69.80     84.40     87.60      6.13    -10.00     67.20     36.98     57.49     78.55     30.00 
   124       56.54      3.29897        59.80     75.07     64.60     50.13     18.89     60.70     56.43     58.76     72.38     48.64 
   125       30.66      1.48342        44.80     28.53     54.00    -18.40     -2.22     54.90     10.56     63.67     69.66      1.11 
   126       40.85      1.50858        78.40     56.93     72.20    -20.80      8.33     64.20     18.02     71.49     64.31     -4.63 
