constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   110       51.02      8.65413        89.20     75.47     65.40     19.47     13.33     22.60     52.38     65.27     75.01     32.10 
   111       49.63      8.78375        87.20     69.20     95.60      4.80      6.11     19.00     53.10     71.89     67.26     22.10 
   112       49.97      8.22163        89.40     60.93     70.00     33.07     -3.89     35.50     38.89     65.42     73.11     37.28 
   113       49.48      8.55243        87.20     58.00     67.80     13.87      2.22     42.90     48.65     68.76     70.34     35.06 
   114       49.32      7.01124        78.20     69.87     84.40     12.27      2.22     35.10     54.37     62.40     69.75     24.63 
   115       42.59      7.71012        67.20     75.47     55.00     -6.40    -30.00     35.00     55.79     64.80     77.32     31.73 
   116       47.12      6.69276        93.00     66.67     67.60     -4.80     -3.33     19.50     58.33     73.49     70.16     30.56 
   117       52.42      6.70561        82.20     67.20     80.20     17.87     19.44     36.70     51.75     72.47     72.20     24.20 
   118       51.59      6.79133        98.20     60.40     65.60     32.00     11.67     20.20     49.21     78.04     66.49     34.07 
   119       51.38      5.52886        95.20     64.80     46.80     23.20     24.44     37.40     54.13     70.84     71.70     25.31 
   120       50.10      6.92610       102.20     52.53     59.60     21.07     -0.00     44.60     51.90     71.09     70.43     27.59 
   121       46.66      8.14775       106.60     60.67     56.40     15.20    -18.33     32.90     51.27     70.80     65.58     25.56 
   122       50.73      5.23186        93.80     66.53     74.00     -2.67      5.00     44.00     54.29     74.62     67.62     30.06 
   123       49.94      6.15470       105.00     80.00     83.80     -7.20    -18.33     39.20     46.27     73.78     74.51     22.35 
   124       52.89      5.47722        91.40     75.73     78.00     17.87     -0.56     42.10     48.10     74.29     71.29     30.68 
   125       48.78      5.00624        57.40     66.67     71.80     17.07     -8.33     69.70     57.54     72.91     64.49     18.52 
   126       55.00      5.94346        89.20     59.33     79.40     26.67     -3.89     61.90     58.73     75.35     73.61     29.75 
   127       53.69      4.07490       101.20     77.47     90.20     17.07     -0.00     67.10     48.49     69.09     55.65     10.62 
   128       53.36      4.98958       101.80     71.33     80.00     20.53     -4.44     62.10     46.03     68.40     62.00     25.86 
   129       56.42      4.85530        95.40     80.00     56.40      6.67     28.33     76.40     56.59     76.69     64.17     23.52 
   130       53.25      5.73262        85.80     65.47     58.40     17.87      8.33     63.10     53.65     73.42     72.56     33.89 
   131       50.45      4.80956        73.20     52.40     74.60     25.60     22.78     51.90     55.32     71.53     58.82     18.33 
   132       47.36      6.57602        74.20     71.07     68.00     11.47      2.22     35.00     56.35     62.11     72.15     20.99 
   133       54.58      4.09844        93.60     62.27     67.80      8.80     42.22     77.40     48.97     71.93     55.87     16.91 
   134       52.64      4.55256        88.80     56.53     82.20     10.40      6.67     66.30     53.33     75.31     63.45     23.46 
   135       52.30      3.36420        94.00     52.80     81.00     22.67     22.22     67.70     59.13     74.15     49.80     -0.49 
   136       48.39      3.59223        95.60     33.07     68.00     13.60      4.44     77.60     51.59     81.24     46.58     12.22 
   137       46.52      5.35846       105.40     74.27     67.60     -9.60    -27.22     47.70     42.14     76.87     66.44     21.60 
   138       42.78      4.77184        75.20     63.73     69.40     11.73    -35.56     44.30     42.62     72.98     61.45     21.91 
