constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    81.93     4.080708  0.997895        99.60     95.08     97.40     63.76     10.57     99.40     79.64     95.49     96.26     82.09 
    80.02     3.143358  0.966474        99.60     95.08     97.40     63.76     10.57     99.40     80.67     96.15     75.50     82.08 
    83.24     2.669171  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     91.61     96.65     96.40     81.92 
    83.28     2.577828  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     91.80     96.73     96.40     82.09 
    78.89     3.671958  0.946295        99.60     95.08     97.40     63.76     10.57     99.40     69.87     95.64     75.50     82.09 
    81.56     0.568906  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     92.73     96.65     95.93     64.51 
    84.58     0.500000  0.783532        99.60     95.08     97.40     63.76     10.57     99.40     93.42     96.73     97.45     92.36 
    82.12     0.500000  0.694377        99.60     95.08     97.40     63.76     10.57     99.40     94.70     96.80     75.50     88.35 
    78.66     3.715412  0.929671        99.60     95.08     97.40     63.76     10.57     99.40     67.64     95.56     75.50     82.07 
    83.77     0.500000  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     92.85     96.95    100.00     82.07 
    80.02     2.143120  0.673412        99.60     95.08     97.40     63.76     10.57     99.40     56.34     96.07     99.99     81.96 
