constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    82.45     0.500000  0.772556        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.62     75.50     92.06 
    82.45     0.500000  0.775291        99.60     95.08     97.40     63.76     10.57     99.40     94.53     96.62     75.51     92.07 
    82.39     0.509134  0.769360        99.60     95.08     97.40     63.76     10.57     99.40     93.94     96.62     75.51     92.01 
    82.46     0.500000  0.776252        99.60     95.08     97.40     63.76     10.57     99.40     94.53     96.62     75.51     92.10 
    82.49     0.500000  0.777324        99.60     95.08     97.40     63.76     10.57     99.40     94.53     96.62     75.50     92.43 
    82.45     0.500000  0.771809        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.62     75.51     92.04 
    84.80     0.532512  0.775936        99.60     95.08     97.40     63.76     10.57     99.40     93.98     96.62     99.99     91.59 
    84.90     0.500000  0.774306        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.62    100.00     92.07 
    84.90     0.500000  0.772071        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.62     99.99     92.07 
    82.45     0.500000  0.774700        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.62     75.49     92.08 
    82.39     0.500000  0.768304        99.60     95.08     97.40     63.76     10.57     99.40     93.92     96.62     75.50     92.03 
    82.45     0.500000  0.772071        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.62     75.51     92.01 
    82.47     0.500000  0.926725        99.60     95.08     97.40     63.76     10.57     99.40     94.46     96.55     75.50     92.39 
    82.28     0.500000  0.735253        99.60     95.08     97.40     63.76     10.57     99.40     94.05     96.62     75.49     90.83 
    79.67     3.680585  0.961843        99.60     95.08     97.40     63.76     10.57     99.40     77.64     95.67     75.49     82.11 
    82.49     0.500000  0.806738        99.60     95.08     97.40     63.76     10.57     99.40     94.50     96.62     75.50     92.47 
    83.93     0.829607  0.771918        99.60     95.08     97.40     63.76     10.57     99.40     94.53     96.84    100.00     82.11 
    79.72     4.452265  0.825933        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.98     99.98     82.08 
    82.30     0.500000  0.744445        99.60     95.08     97.40     63.76     10.57     99.40     94.01     96.62     75.51     91.06 
    83.68     1.912139  0.944625        99.60     95.08     97.40     63.76     10.57     99.40     91.78     97.05    100.00     82.11 
    80.88     5.521377  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     67.78     93.13     99.99     82.11 
    83.34     1.639646  0.834705        99.60     95.08     97.40     63.76     10.57     99.40     88.44     97.13     99.98     82.09 
    84.92     0.500000  0.978214        99.60     95.08     97.40     63.76     10.57     99.40     94.36     96.47     99.99     92.54 
    82.47     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     94.32     96.47     75.49     92.57 
    77.44     3.501859  0.784215        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.65     75.51     82.10 
    82.46     0.500000  0.898847        99.60     95.08     97.40     63.76     10.57     99.40     94.53     96.55     75.51     92.19 
    84.96     1.486862  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     94.32     97.05     99.99     92.38 
    83.49     2.863537  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     90.64     96.40     99.99     82.11 
    84.92     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     94.32     96.47    100.00     92.56 
    82.50     1.084016  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.84     75.51     92.31 
    84.88     1.106851  0.959795        99.60     95.08     97.40     63.76     10.57     99.40     94.19     96.84    100.00     92.02 
    82.47     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     94.32     96.47     75.51     92.57 
    84.94     0.500000  0.778460        99.60     95.08     97.40     63.76     10.57     99.40     94.53     96.62     99.98     92.43 
    81.23     1.936689  0.725671        99.60     95.08     97.40     63.76     10.57     99.40     67.90     96.47     99.99     82.09 
    82.07     0.500000  0.700713        99.60     95.08     97.40     63.76     10.57     99.40     94.26     96.62     75.51     88.54 
    82.42     2.508469  0.903646        99.60     95.08     97.40     63.76     10.57     99.40     79.83     96.47    100.00     82.09 
    84.93     0.500000  0.912963        99.60     95.08     97.40     63.76     10.57     99.40     94.48     96.55    100.00     92.49 
    82.48     0.500000  0.914903        99.60     95.08     97.40     63.76     10.57     99.40     94.48     96.55     75.49     92.49 
    82.30     0.500000  0.744904        99.60     95.08     97.40     63.76     10.57     99.40     94.01     96.62     75.49     91.04 
    84.74     0.500000  0.741703        99.60     95.08     97.40     63.76     10.57     99.40     94.02     96.62     99.99     90.99 
    81.80     0.500000  0.675456        99.60     95.08     97.40     63.76     10.57     99.40     94.38     96.69     75.51     85.56 
    84.24     0.500000  0.672059        99.60     95.08     97.40     63.76     10.57     99.40     94.39     96.69    100.00     85.51 
    77.37     3.148339  0.666280        99.60     95.08     97.40     63.76     10.57     99.40     56.34     93.93     75.50     82.10 
    79.95     3.027874  0.742526        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.31     99.99     82.09 
    84.93     0.500000  0.815783        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.62    100.00     92.37 
    83.68     1.529202  0.892552        99.60     95.08     97.40     63.76     10.57     99.40     91.88     97.13     99.99     81.96 
    80.34     2.539327  0.804807        99.60     95.08     97.40     63.76     10.57     99.40     59.35     96.11    100.00     82.09 
    79.92     2.110915  0.841398        99.60     95.08     97.40     63.76     10.57     99.40     79.20     96.62     75.50     82.10 
    84.74     0.500000  0.743666        99.60     95.08     97.40     63.76     10.57     99.40     94.01     96.62     99.99     90.99 
    84.92     0.500000  0.786062        99.60     95.08     97.40     63.76     10.57     99.40     94.50     96.62    100.00     92.33 
    82.47     0.500000  0.919398        99.60     95.08     97.40     63.76     10.57     99.40     94.47     96.55     75.51     92.40 
    84.84     0.500000  0.764058        99.60     95.08     97.40     63.76     10.57     99.40     93.93     96.62     99.99     92.04 
    77.64     2.126917  0.711641        99.60     95.08     97.40     63.76     10.57     99.40     56.90     96.18     75.51     81.96 
    81.46     1.524132  0.661138        99.60     95.08     97.40     63.76     10.57     99.40     69.93     96.76     99.99     82.09 
    82.44     1.792400  0.793541        99.60     95.08     97.40     63.76     10.57     99.40     79.62     96.84    100.00     82.09 
    84.29     0.500000  0.692409        99.60     95.08     97.40     63.76     10.57     99.40     94.30     96.69     99.98     86.14 
    78.89     1.801661  0.712116        99.60     95.08     97.40     63.76     10.57     99.40     68.90     96.62     75.50     82.08 
    83.84     1.332263  0.885792        99.60     95.08     97.40     63.76     10.57     99.40     93.49     97.05     99.98     82.11 
    83.91     0.659159  0.683898        99.60     95.08     97.40     63.76     10.57     99.40     94.50     96.76     99.99     82.08 
    81.43     0.828195  0.830053        99.60     95.08     97.40     63.76     10.57     99.40     94.04     96.84     75.51     82.12 
    82.46     0.500000  0.893473        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.55     75.49     92.19 
    84.64     0.500000  0.722859        99.60     95.08     97.40     63.76     10.57     99.40     94.17     96.62     99.99     89.82 
    83.87     0.500000  0.616752        99.60     95.08     97.40     63.76     10.57     99.40     94.15     96.69     99.99     82.10 
    79.86     1.245211  0.616980        99.60     95.08     97.40     63.76     10.57     99.40     78.20     96.98     75.51     82.10 
    84.29     0.500000  0.690886        99.60     95.08     97.40     63.76     10.57     99.40     94.30     96.69    100.00     86.12 
    81.09     1.202420  0.764329        99.60     95.08     97.40     63.76     10.57     99.40     90.47     97.05     75.49     82.09 
    83.92     0.805003  0.762190        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.84     99.99     82.10 
    82.49     0.500000  0.779268        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.62     75.51     92.43 
    81.46     0.500000  0.662806        99.60     95.08     97.40     63.76     10.57     99.40     94.45     96.69     75.51     82.19 
    82.12     0.500000  0.706976        99.60     95.08     97.40     63.76     10.57     99.40     94.24     96.62     75.51     89.04 
    82.48     0.500000  0.781444        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.62     75.49     92.41 
    79.87     1.224981  0.613267        99.60     95.08     97.40     63.76     10.57     99.40     78.34     96.98     75.50     82.10 
    83.45     1.407699  0.803227        99.60     95.08     97.40     63.76     10.57     99.40     89.52     97.13     99.98     82.10 
    81.45     0.500000  0.649746        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.69     75.51     81.96 
    83.36     1.366143  0.776976        99.60     95.08     97.40     63.76     10.57     99.40     88.61     97.13    100.00     82.10 
    84.74     0.500000  0.742487        99.60     95.08     97.40     63.76     10.57     99.40     94.02     96.62     99.98     90.95 
    84.94     0.500000  0.787838        99.60     95.08     97.40     63.76     10.57     99.40     94.48     96.62     99.98     92.49 
    82.27     0.500000  0.730953        99.60     95.08     97.40     63.76     10.57     99.40     94.06     96.62     75.50     90.75 
    81.30     0.898503  0.723536        99.60     95.08     97.40     63.76     10.57     99.40     92.66     96.91     75.50     82.09 
    84.93     0.500000  0.829633        99.60     95.08     97.40     63.76     10.57     99.40     94.50     96.62     99.99     92.40 
    80.99     1.943416  0.905696        99.60     95.08     97.40     63.76     10.57     99.40     89.53     96.98     75.50     82.10 
    81.00     1.763500  0.879716        99.60     95.08     97.40     63.76     10.57     99.40     89.57     97.05     75.51     82.07 
    84.95     0.502098  0.855452        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.62     99.99     92.55 
    84.93     0.500000  0.802372        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.62     99.99     92.35 
    84.92     0.500000  0.804049        99.60     95.08     97.40     63.76     10.57     99.40     94.50     96.62    100.00     92.30 
    84.94     0.500000  0.812557        99.60     95.08     97.40     63.76     10.57     99.40     94.54     96.62    100.00     92.41 
    84.93     0.500000  0.782253        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.62     99.99     92.40 
    83.75     1.039734  0.792448        99.60     95.08     97.40     63.76     10.57     99.40     92.81     96.91    100.00     81.96 
