constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.4], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 25
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    68       38.94      0.10939        61.28     83.04     88.88     13.28     -3.11      8.36      5.84     32.55     87.23     12.07 
    69       37.11      0.08367        61.36     91.15     95.52    -10.40     -8.89      7.88      3.78     33.73     84.74     12.27 
    70       36.87      0.04721        45.12     98.45     97.04     -0.91    -15.56     11.56     -4.32     35.27     90.71     11.28 
    71       40.16      0.08763        60.56     93.44     87.20      8.69      6.67     10.76      3.46     29.03     90.06     11.73 
    72       43.41      0.06347        81.92     99.20     84.56     11.57      7.56     14.28      6.13     36.03     86.68      6.20 
    73       39.50      0.07731        70.16     90.61     67.12     31.63      6.00      8.92      0.95     28.55     85.90      5.14 
    74       37.21      0.05526        51.20     88.80     95.44     -0.16    -10.89      8.20      7.52     38.28     85.36      8.32 
    75       30.10      0.03940        20.96     92.80     92.72    -23.84    -14.22     13.96     -4.63     30.25     83.80      9.16 
    76       39.24      0.06439        45.28     98.35     71.12     10.83     22.44      7.12     13.49     31.26     85.22      7.31 
    77       35.22      0.07513        50.48     89.17     81.68    -13.17      0.67     14.08      3.11     32.52     89.44      4.17 
    78       39.86      0.06908        57.76     90.99     75.92     20.00     15.11     13.40     -1.33     36.10     82.59      8.10 
    79       37.61      0.07879        62.32     88.75     82.72     -7.31     15.11     15.28     -2.44     27.08     86.25      8.35 
