constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   177       53.13      9.79594        99.40     60.93     77.40      8.80      6.11     56.40     53.97     65.53     72.97     29.75 
   178       52.99      9.46082        88.00     83.87     68.60      9.87      6.11     47.10     63.57     64.44     66.17     32.22 
   179       51.25      9.83816        81.60     69.07     54.00     21.87     13.89     55.80     48.33     60.76     76.37     30.80 
   180       44.68      9.32882        46.00     62.13     77.20      8.80     -7.78     34.40     68.33     56.87     68.66     32.22 
   181       50.82      9.13654        98.20     78.93     69.20      2.13     -3.89     30.40     63.41     62.18     77.10     30.49 
   182       46.84      9.42585        87.00     71.07     59.20      4.27    -15.56     42.10     50.95     68.55     68.53     32.28 
   183       53.09      9.32355       106.80     72.27     70.40     20.80      2.78     50.60     51.75     57.20     71.07     27.28 
   184       46.11      9.56497        55.80     68.00     75.00    -15.73      4.44     51.00     62.62     61.89     69.25     28.83 
   185       52.77      9.27807        82.40     71.87     70.40     34.67     16.67     40.70     55.00     62.29     69.30     24.38 
   186       54.60      9.11541        86.60     62.00     64.40     20.00     39.44     35.40     64.68     69.75     72.02     31.73 
   187       55.15      8.97837        88.80     72.53     63.20     22.93     16.67     41.90     61.59     67.45     75.33     41.05 
   188       52.73      8.77401       102.00     66.00     86.60     17.33    -23.89     52.20     56.11     64.65     73.61     32.65 
   189       52.33      9.17906        80.60     65.73     78.60     13.07      8.33     46.40     60.95     66.51     75.56     27.53 
   190       50.36      9.28409        91.00     61.20     71.00     12.27      2.78     30.50     67.46     55.71     73.29     38.40 
   191       57.90      9.22630       103.20     74.53     71.20     27.47     30.56     50.90     43.17     67.89     69.34     40.74 
   192       49.01      9.42960        74.20     70.80     70.80     12.53      5.56     54.80     51.19     60.44     67.17     22.65 
   193       49.80      9.21071        71.40     71.87     79.40     12.80      2.22     36.50     56.98     65.16     69.16     32.53 
   194       48.66      9.20283        83.20     62.80     68.40     10.40      8.89     35.90     55.95     63.82     67.89     29.38 
   195       47.05      9.22639        92.80     63.20     80.00     -5.60    -26.67     42.20     55.95     63.45     73.11     32.10 
