constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP Disabled , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  0.700000  -0.400000  -0.300000  ]  [  1.000000  -0.200000  -0.400000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    26    52517.77   2334.73     90.93     49.88           85.15     67.38     68.69     39.28     31.62     45.96     47.80     54.36     83.08     51.57     99.48     96.83    -37.69     99.18     13.08      4.62     61.54     -6.92     62.85     21.03     57.85     75.08     90.16     16.79     53.04     36.80     28.62     32.31     37.60     60.51     86.64     15.43     16.53     75.85     66.69     55.63     51.21 
    27    52520.81   2331.69     90.95     49.81           84.15     68.30     68.44     38.96     31.48     46.19     46.50     54.15     83.27     52.01     99.63     96.85    -29.63     99.19     13.33      6.17     63.56     -5.93     67.11     17.53     49.93     75.04     90.31     18.16     53.05     36.25     21.88     30.47     36.48     57.76     86.65     16.19     19.50     76.23     67.04     55.99     50.76 
    28    52517.79   2334.71     90.96     49.63           84.14     68.62     68.50     37.52     29.56     47.11     46.03     54.30     82.62     52.45     99.68     96.61    -34.29     99.19     11.43      6.67     62.71     -2.86     66.79     20.86     48.86     75.30     90.14     19.30     53.06     36.92     20.76     27.33     35.31     57.71     86.66     14.58     21.58     76.06     66.72     56.74     51.49 
    29    52521.48   2331.02     91.01     50.02           84.97     68.09     69.93     34.71     28.93     46.93     44.66     54.39     82.03     53.00     99.48     96.81    -40.69     99.17     13.79     11.26     62.28     -1.38     68.55     26.25     56.41     74.97     89.92     19.26     53.06     36.28     21.56     28.37     34.93     58.45     86.71     13.61     22.19     76.30     66.72     57.01     51.95 
    30    52527.13   2325.37     91.06     50.77           84.00     69.33     69.13     35.47     30.00     47.03     44.81     54.07     82.48     53.19     99.35     96.33    -26.67     99.17     13.33     17.33     63.60     -4.00     70.80     27.56     61.33     74.95     90.03     21.84     53.07     36.62     18.58     28.36     36.36     58.88     86.70     12.53     20.85     76.25     66.59     56.96     52.42 
    31    52535.32   2317.18     91.08     51.03           85.10     70.19     68.97     31.87     27.42     47.35     45.03     54.46     83.31     52.59     99.27     96.53    -20.00     99.17     17.42     17.42     64.26     -5.81     65.35     27.83     66.97     74.85     90.08     21.55     53.08     36.30     19.23     29.98     34.61     57.62     86.75     13.62     22.48     76.31     66.87     57.06     52.92 
    32    52538.31   2314.19     91.09     51.19           85.19     70.46     69.81     34.58     23.96     48.25     44.82     54.47     83.63     52.01     99.47     96.64    -10.00     99.18     18.75     17.50     64.62     -5.00     67.56     25.83     60.25     75.12     89.82     21.44     53.07     36.46     16.50     31.33     34.96     56.99     86.84     12.11     23.80     76.69     66.71     56.91     53.40 
    33    52532.00   2320.50     91.03     50.88           84.06     70.38     69.21     33.74     23.91     48.03     45.50     54.45     83.26     52.49     99.23     96.82    -11.52     99.18     20.00     16.77     64.97    -10.91     65.64     21.62     60.97     75.18     90.13     22.48     53.08     37.36     20.24     29.29     34.49     56.89     86.88     10.60     24.66     76.10     66.96     56.65     53.60 
    34    52540.74   2311.76     91.05     50.70           85.29     70.16     69.06     36.00     23.37     48.06     45.21     54.26     83.61     51.85     99.31     96.91    -14.71     99.18     20.00     16.86     63.94    -10.59     64.00     22.51     59.29     75.16     89.72     21.88     53.09     36.62     14.67     31.14     35.32     56.23     86.88     11.95     24.72     76.39     67.17     57.50     53.95 
    35    52547.40   2305.10     91.08     50.65           82.74     70.51     68.63     35.31     20.95     48.37     45.06     54.38     84.10     50.85     99.30     97.14    -11.43     99.18     15.43     20.38     62.51     -7.43     61.26     24.11     57.26     75.11     90.58     22.90     53.10     35.95     13.83     31.73     36.61     56.78     86.94     10.82     25.50     76.69     67.42     57.88     53.41 
    36    52538.42   2314.08     91.07     50.27           82.06     70.15     68.50     35.11     19.44     48.83     43.52     54.15     83.82     50.93     99.28     97.22    -15.56     99.18     15.56     22.22     61.78     -5.00     57.83     23.70     55.33     75.11     90.31     22.07     53.10     35.52     11.85     32.52     36.34     55.72     86.85     10.12     27.13     76.44     67.75     57.95     53.26 
