constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  0.700000  -0.400000  -0.300000  ]  [  1.000000  -0.200000  -0.400000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    50    52773.18   2079.32     91.40     50.53           80.04     63.01     74.80     30.51     -1.33     58.18     44.92     59.68     80.67     52.57     99.52     93.75    -14.00     99.16     18.40     -8.00     61.76     -3.20     73.12     10.13     17.76     76.89     91.23     22.70     90.73     37.18     13.71     61.33     35.85     54.91     88.26     20.02     34.51     76.88     69.94     55.31     48.75 
    51    52780.16   2072.34     91.42     50.86           80.78     62.20     75.33     29.67     -1.09     58.25     45.33     59.75     81.09     53.00     99.45     93.92    -10.98     99.16     21.18     -9.28     62.82     -4.71     73.53     10.22     20.78     76.88     91.39     21.95     90.75     37.32     14.72     61.88     36.56     55.46     88.32     20.30     34.61     76.60     70.07     55.60     49.00 
    52    52777.96   2074.54     91.38     50.68           79.81     62.15     75.31     29.79     -2.14     58.40     45.36     58.61     81.14     52.58     99.46     93.80    -16.54     99.16     22.31    -10.51     63.38     -5.38     73.00     14.15     19.54     76.96     91.23     21.81     90.75     37.75     15.28     61.49     35.26     55.65     88.29     21.11     34.82     76.85     70.11     55.71     48.52 
    53    52776.13   2076.37     91.37     50.66           80.23     62.82     74.45     30.16     -2.10     57.98     44.53     58.79     81.13     52.62     99.35     93.73    -18.11     99.16     21.13    -10.94     63.02     -4.91     73.85     15.77     20.45     77.07     91.26     22.25     90.75     37.57     16.73     60.15     34.60     55.63     88.17     20.59     35.51     77.09     70.12     55.92     47.90 
    54    52777.44   2075.06     91.37     50.57           79.89     63.36     74.78     29.58     -2.37     58.81     44.03     58.41     80.72     52.95     99.33     93.47    -22.59     99.16     20.74    -10.86     63.41     -2.96     73.22     17.73     18.96     77.18     91.21     21.91     90.76     38.14     17.14     60.15     35.08     55.21     88.20     20.85     34.63     77.01     70.36     55.54     48.05 
    55    52768.35   2084.15     91.34     50.48           80.69     63.83     74.33     30.04     -2.42     59.27     43.97     58.32     80.62     52.92     99.34     93.41    -20.73     99.16     21.09    -10.30     63.75     -5.09     72.40     16.41     17.53     77.25     91.01     21.52     90.77     38.61     15.88     61.12     34.83     55.23     88.18     20.02     35.07     76.72     70.19     55.18     47.83 
    56    52778.16   2074.34     91.37     50.77           81.36     64.14     74.11     32.19     -2.78     59.55     44.39     58.46     80.52     52.74     99.33     93.57    -16.07     99.16     19.64     -9.76     64.18     -5.71     72.04     19.33     16.57     77.21     90.97     21.33     90.78     38.97     17.81     60.38     35.51     55.18     88.24     20.82     33.78     76.77     70.36     55.40     48.11 
    57    52779.84   2072.66     91.36     50.88           79.82     64.42     74.32     33.10     -2.24     58.81     44.22     58.57     80.55     52.23     99.26     93.60    -11.93     99.16     21.05     -9.71     64.35     -6.32     72.84     19.25     17.19     77.16     90.88     20.19     90.76     39.27     18.27     59.67     35.48     55.17     88.26     20.10     33.54     77.01     70.50     55.58     48.16 
    58    52780.64   2071.86     91.39     51.27           80.28     64.90     73.62     32.60     -1.25     58.81     44.39     58.57     80.55     52.60     99.28     93.71     -3.10     99.16     22.76     -8.51     63.62     -5.52     71.66     18.44     19.31     77.18     90.88     21.69     90.77     39.29     17.15     59.82     36.06     54.56     88.23     19.60     34.52     76.82     70.62     55.53     48.27 
    59    52778.17   2074.33     91.39     51.36           80.10     65.06     73.73     32.56     -2.45     58.88     44.36     58.91     80.64     52.28     99.14     93.69      0.68     99.16     23.39     -7.57     63.93     -5.08     69.90     19.73     20.81     77.19     91.01     21.87     90.77     38.47     16.97     59.59     36.23     53.82     88.24     19.17     34.06     76.60     70.55     55.81     48.23 
    60    52778.73   2073.77     91.41     51.62           79.70     65.09     74.13     34.18     -2.50     58.80     44.59     58.75     80.65     52.58     99.11     93.88      3.33     99.16     22.67     -6.22     62.37     -5.67     70.40     22.27     21.20     77.11     90.97     22.10     90.76     38.50     19.64     59.64     36.64     53.30     88.21     19.78     33.72     76.52     70.36     56.18     48.16 
    61    52778.74   2073.76     91.43     51.59           79.48     65.01     74.03     34.91     -1.82     58.18     45.12     58.77     81.09     52.57     99.08     93.61     -0.33     99.16     23.61     -2.51     62.13     -4.26     69.70     22.54     17.38     77.11     90.89     22.39     90.75     38.31     23.37     57.16     36.31     53.42     88.24     19.02     33.19     76.58     70.40     56.25     48.12 
    62    52781.02   2071.48     91.45     51.77           79.94     64.45     73.16     34.49     -1.61     58.23     45.06     58.79     81.14     52.76     99.12     93.79      2.58     99.16     22.26     -1.51     61.03     -3.55     70.19     25.12     18.71     77.10     90.88     22.21     90.75     39.35     22.49     57.98     36.03     53.23     88.27     18.53     33.91     76.62     70.63     56.35     47.80 
    63    52778.32   2074.18     91.42     51.64           80.83     64.59     73.14     35.15     -2.38     56.63     45.44     58.69     81.06     52.49     99.16     93.69      1.90     99.16     22.22     -2.01     60.10     -4.44     72.57     25.71     20.76     77.14     90.75     21.07     90.72     39.14     19.96     56.23     36.79     53.14     88.27     18.00     33.69     76.59     70.80     56.11     47.88 
    64    52779.67   2072.83     91.43     51.72           81.00     64.42     73.47     35.50     -0.69     56.41     45.49     58.60     81.09     52.73     99.13     93.67      6.56     99.16     21.88     -1.67     59.69     -5.94     71.13     23.42     23.13     77.12     90.86     22.11     90.73     39.29     19.50     55.67     36.57     53.23     88.28     17.58     33.28     76.77     70.89     56.25     47.49 
    65    52775.62   2076.88     91.43     51.66           81.32     64.33     74.22     33.83      1.54     56.58     45.32     58.41     81.38     52.95     99.18     93.69      6.77     99.16     21.23     -1.95     59.75     -4.92     67.14     22.50     24.18     77.12     90.96     22.22     90.74     39.00     20.70     55.16     36.19     53.43     88.25     16.71     33.37     76.85     70.65     56.06     47.48 
    66    52778.64   2073.86     91.44     51.63           81.88     64.04     74.12     33.37      2.10     56.73     45.01     58.83     81.23     52.78     99.15     93.71      0.91     99.16     20.00     -2.42     60.79     -4.24     69.36     22.67     26.18     77.10     90.97     21.99     90.75     39.00     19.84     55.64     36.55     53.47     88.29     16.03     33.85     76.93     70.67     56.44     47.45 
    67    52776.54   2075.96     91.43     51.35           82.39     64.16     74.36     33.33      2.40     55.57     44.75     58.99     80.96     52.83     99.10     93.77     -5.07     99.16     18.51     -2.69     61.01     -3.28     69.01     22.47     26.09     77.18     90.99     21.43     90.74     39.44     18.53     55.94     36.17     53.05     88.22     15.77     32.69     76.80     70.73     56.83     47.55 
    68    52780.34   2072.16     91.48     51.61           82.32     64.49     73.97     33.41      5.88     55.28     45.21     58.77     80.84     53.06     99.10     93.68     -7.06     99.16     18.53     -1.18     61.53     -1.76     69.47     23.49     24.47     77.26     90.86     22.51     90.73     39.76     21.33     56.00     35.09     53.61     88.23     16.73     32.98     76.76     70.84     56.91     47.46 
    69    52784.58   2067.92     91.50     51.47           82.03     64.43     74.03     33.49      4.67     55.65     45.04     59.14     80.89     53.19     99.15     93.73    -10.43     99.16     17.68     -0.68     61.71      0.29     68.52     22.51     22.32     77.27     91.02     22.09     90.74     39.93     21.04     55.79     36.04     53.57     88.27     16.36     33.44     76.67     71.04     57.15     47.54 
    70    52786.11   2066.39     91.52     51.42           82.71     63.98     73.74     33.22      4.76     55.84     45.23     59.45     81.17     53.45     99.15     93.57     -9.14     99.16     14.29      0.19     62.06      2.29     65.97     22.90     23.89     77.21     90.97     21.50     90.75     38.43     22.21     52.61     36.45     53.28     88.26     16.05     33.80     76.70     71.04     57.46     47.78 
