constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  
MABsolver_config: params: weights:  [  0.708700  ]  [  42.830000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    26    52126.04   2726.46     91.08     50.75           93.23     79.85     78.62     14.05     17.31     59.46     56.87     72.10     81.70     30.79     98.19     96.73     70.00     99.60      4.62      2.56     72.92     18.46     53.62      6.56     18.15     29.92     88.68     12.75     90.80     37.56     75.18     17.74     41.16     70.26     14.24     20.95     29.54     80.18     74.73     35.08     33.59 
    27    52119.44   2733.06     91.07     50.83           93.56     79.56     78.37     15.65     15.23     60.59     57.26     72.18     82.31     31.07     98.26     96.76     65.93     99.60      5.19      3.70     74.59     14.81     57.56      7.56     18.81     30.09     88.45      9.53     90.80     38.17     82.12     11.41     42.06     70.88     13.01     21.77     30.85     79.66     74.99     34.84     33.59 
    28    52104.79   2747.71     90.99     50.38           93.57     80.14     77.21     16.48     14.68     61.79     58.05     72.30     82.82     30.95     98.41     96.43     76.43     99.60      3.57     -0.95     72.57     12.14     53.93      4.95     14.00     30.05     87.95     10.54     90.80     37.67     78.10     12.48     42.06     68.21     12.03     22.36     30.47     79.54     74.96     34.26     33.56 
    29    52126.34   2726.16     91.10     50.87           93.66     80.28     78.00     16.69     15.90     61.62     57.58     73.13     82.74     31.69     98.34     96.72     78.62     99.60      6.90      0.69     73.45     16.55     54.28      2.90     17.24     29.84     87.72      9.82     90.80     38.65     76.55     13.47     37.71     69.61     14.75     20.70     32.98     79.49     75.22     34.25     33.98 
    30    52115.20   2737.30     91.14     50.98           94.33     80.93     74.73     19.11     17.96     58.97     57.75     73.44     83.57     31.21     98.40     97.25     82.00     99.60      9.33      6.22     72.07     18.00     50.20      0.98     11.47     29.83     87.64     11.59     90.80     38.58     79.38     16.00     36.45     69.87     13.60     21.74     30.85     79.23     75.28     34.30     33.64 
    31    52126.87   2725.63     91.15     51.01           93.16     80.60     74.06     19.66     17.20     56.39     57.58     73.42     82.99     31.68     98.35     97.34     81.29     99.60      9.03     10.97     71.68     18.71     52.58     -0.30     13.03     29.73     87.48     12.54     90.80     38.96     78.06     18.37     35.42     67.84     16.12     20.34     29.89     79.65     75.14     34.44     33.49 
    32    52106.34   2746.16     91.12     50.95           93.13     79.21     73.44     18.25     16.32     54.47     56.20     73.94     82.37     31.06     98.39     97.27     86.25     99.60     11.25     12.50     70.25     21.25     52.00     -2.17     10.00     29.92     87.42     10.83     90.80     39.35     77.00     18.67     37.53     68.16     14.94     21.61     31.98     79.26     74.72     34.67     33.32 
    33    52114.00   2738.50     91.12     50.90           92.73     78.87     73.39     18.95     15.32     55.24     55.60     74.63     82.99     30.30     98.44     97.12     87.88     99.60     13.33     11.52     70.12     19.39     50.00     -1.49      4.48     29.94     87.48     13.05     90.80     40.34     76.32     18.30     37.64     69.19     13.91     22.73     32.40     79.76     75.00     34.23     33.92 
    34    52098.71   2753.79     91.05     50.73           92.29     79.10     70.41     20.31     14.05     55.79     56.40     74.72     82.51     29.68     98.41     96.99     90.00     99.60     14.71     10.20     70.18     17.65     52.00     -1.33      6.59     29.88     87.69     11.63     90.80     40.34     74.27     14.75     38.57     68.78     13.33     23.63     31.85     79.85     74.46     33.72     33.18 
    35    52086.60   2765.90     91.06     51.13           93.54     78.55     70.57     21.37     14.29     55.74     55.90     74.39     83.13     28.68     98.44     97.00    100.57     99.60     12.57     10.10     70.29     18.86     50.63     -2.70     10.17     29.91     87.75     13.30     90.80     39.99     78.59     14.97     38.10     68.74     12.39     23.24     31.70     79.59     74.17     33.52     33.47 
