constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP Disabled , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.000000  -0.100000  -0.400000  ]  [  0.800000  -0.100000  -0.300000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    32    52472.25   2380.25     90.75     48.27           85.69     74.46     67.88     27.83     -2.78     31.94     53.22     56.08     83.40     42.25     99.86     96.95    -41.25     99.19      8.12     32.92     68.19      1.25     68.50     12.75     25.25     75.41     90.57     20.17     49.51     30.65     14.00     56.83     44.13     59.78     87.52     10.30     20.41     77.68     71.41     43.69     42.12 
    33    52471.06   2381.44     90.74     48.43           86.00     73.86     67.27     25.66     -4.04     33.82     52.91     55.90     83.36     41.92     99.89     97.20    -32.12     99.19      8.48     30.51     68.36      4.85     68.55     12.00     24.61     75.30     90.81     21.29     49.52     30.13     17.33     57.17     42.82     58.75     87.63      9.67     18.47     77.44     71.70     43.60     42.23 
    34    52474.65   2377.85     90.74     48.43           85.24     73.61     66.47     24.55     -0.33     34.65     53.36     55.85     83.18     43.06     99.91     96.84    -30.59     99.19      7.65     29.80     67.59      2.94     64.53     10.90     26.12     75.35     90.99     18.75     49.51     29.27     20.94     57.65     43.40     58.74     87.72      9.17     20.21     77.09     72.01     44.33     42.28 
    35    52472.46   2380.04     90.71     48.78           85.03     73.83     67.14     23.89     -0.00     35.63     52.95     56.21     82.73     44.09     99.71     96.21    -18.86     99.18      9.71     28.00     67.49     -1.14     66.57     11.01     23.66     75.29     91.30     18.88     49.51     30.39     22.82     58.78     42.75     59.26     87.74      8.74     21.12     76.67     71.69     44.40     42.46 
    36    52465.19   2387.31     90.71     48.89           84.78     73.78     69.17     25.41      2.62     35.14     53.42     54.82     83.65     44.44     99.54     96.46    -16.67     99.18     10.00     30.00     67.44     -5.56     60.00     15.48     27.56     75.22     91.39     18.37     49.52     29.88     21.93     58.67     42.73     57.95     87.58      9.65     20.74     76.43     71.24     43.91     42.89 
    37    52462.41   2390.09     90.76     49.27           84.70     73.73     71.57     25.77      0.30     34.97     53.71     54.68     83.20     43.48     99.62     96.82    -13.51     99.18      9.73     32.97     68.70     -0.54     58.65     18.56     29.30     75.26     91.52     19.42     49.51     30.83     20.07     60.07     42.31     58.31     87.58      8.76     19.70     76.35     70.85     43.96     43.06 
    38    52466.16   2386.34     90.75     49.06           85.53     74.25     70.58     25.75     -1.17     36.26     53.97     54.99     82.67     43.70     99.67     96.58    -18.95     99.18      8.42     32.98     67.32     -1.58     60.21     18.18     23.79     75.24     91.46     20.00     49.51     31.08     23.09     61.26     41.61     57.35     87.55      8.34     21.56     76.63     71.04     44.22     42.82 
    39    52464.59   2387.91     90.75     49.12           85.03     73.37     70.97     24.31     -3.42     37.00     54.44     54.66     82.39     44.03     99.78     96.54    -15.90     99.18      9.23     32.31     67.69      2.05     61.54     19.79     22.26     75.18     91.27     19.50     49.51     31.09     22.80     59.18     41.55     57.15     87.54      7.63     22.67     76.94     70.78     44.54     42.86 
    40    52467.42   2385.07     90.76     49.26           85.30     72.67     69.35     26.07     -4.03     36.75     53.97     54.82     82.01     44.03     99.65     96.31     -6.50     99.18      9.00     33.33     66.55      2.00     58.60     16.73     17.00     75.06     91.34     20.44     49.51     30.95     29.20     57.93     42.20     57.43     87.52      8.87     23.56     77.04     70.79     44.79     43.16 
    41    52464.39   2388.11     90.74     49.02           85.66     73.76     68.93     27.67     -4.61     37.76     53.35     54.99     82.17     43.69     99.57     96.16    -15.61     99.18     10.24     32.03     64.49      1.95     56.24     21.37     18.24     75.05     91.08     20.00     49.50     30.85     28.78     56.75     40.89     57.55     87.44      9.02     24.26     77.21     70.71     45.03     42.51 
    42    52456.21   2396.29     90.72     48.91           84.95     74.25     68.81     25.90     -3.57     38.79     52.17     55.00     82.13     44.31     99.61     96.19    -18.57     99.18     12.38     31.43     65.10      2.38     52.14     21.02     21.33     75.07     91.06     20.47     49.50     30.81     29.40     52.95     41.77     58.32     87.45      7.87     25.38     77.08     70.29     45.09     42.19 
    43    52454.07   2398.43     90.73     48.82           84.51     74.48     69.26     25.02     -2.58     38.35     52.55     55.08     82.01     44.53     99.63     96.10    -15.35     99.18     12.56     31.78     64.93      2.33     51.58     19.19     19.81     75.09     91.01     19.83     49.50     29.20     25.89     53.49     41.88     58.97     87.51      7.25     27.04     76.80     70.49     44.90     42.56 
    44    52453.45   2399.05     90.69     48.95           85.41     73.58     69.36     24.73     -1.26     38.55     52.60     55.47     81.56     44.68     99.72     96.14     -6.82     99.18     15.00     28.79     65.18      0.00     49.27     20.18     16.91     75.09     90.93     21.25     49.50     30.07     28.36     53.39     41.80     58.42     87.51      6.23     25.73     76.52     70.60     44.78     42.89 
    45    52450.18   2402.32     90.66     48.91           85.11     73.96     70.09     24.62      0.12     37.84     52.73     54.63     82.00     45.01     99.63     96.17     -0.89     99.18     15.11     28.30     65.91     -2.22     48.13     18.99     16.62     75.12     90.91     20.00     49.49     30.05     26.46     53.01     42.78     58.37     87.44      7.19     23.19     76.43     70.44     45.19     42.52 
    46    52452.43   2400.07     90.67     49.13           85.17     73.71     70.17     25.91      2.78     37.98     52.59     54.65     81.88     44.78     99.63     95.98      6.09     99.18     16.09     28.99     67.13     -4.35     50.83     18.67     13.91     75.11     91.14     21.55     49.49     30.38     23.94     53.45     41.24     57.28     87.55      6.42     23.68     76.67     70.38     45.05     42.80 
    47    52458.89   2393.61     90.68     49.34           85.28     72.79     69.36     25.67      4.96     37.68     52.45     54.32     81.78     44.63     99.54     96.33      5.53     99.18     17.02     27.66     68.04     -3.83     54.04     18.47     17.79     75.13     91.44     20.91     49.49     30.75     21.65     53.53     42.04     57.34     87.57      7.51     23.74     76.52     70.62     45.50     43.13 
    48    52461.27   2391.23     90.67     49.43           85.83     72.67     69.00     26.17      4.86     37.79     52.00     53.90     81.76     45.20     99.43     96.04      3.33     99.18     17.92     26.67     65.92     -5.00     53.00     21.06     21.83     75.28     91.19     22.15     49.49     31.31     23.33     53.83     42.13     56.95     87.61      7.14     24.20     76.78     70.94     45.11     42.73 
    49    52468.41   2384.09     90.68     49.67           86.04     73.14     70.20     25.33      3.97     38.06     51.90     54.09     81.54     45.15     99.39     95.77      6.12     99.18     20.41     25.99     66.37     -5.31     51.76     19.67     24.57     75.31     91.07     21.63     49.49     31.22     23.54     54.88     43.12     57.49     87.52      8.49     24.90     77.05     71.07     45.45     42.40 
    50    52470.42   2382.08     90.66     49.42           86.80     73.09     69.76     24.64      3.56     37.70     52.00     54.16     81.51     45.12     99.37     95.70      5.60     99.18     19.20     24.00     66.96     -4.80     51.76     20.64     18.56     75.32     91.43     21.74     49.49     31.18     23.52     55.41     42.93     56.95     87.61      9.40     23.15     76.89     71.22     45.19     42.60 
    51    52473.63   2378.87     90.69     49.62           87.25     73.44     70.16     26.33      3.16     37.14     52.10     54.15     81.27     45.40     99.44     95.59      9.02     99.18     17.65     23.92     67.33     -3.92     49.06     23.87     18.12     75.45     91.47     21.81     49.49     31.26     23.92     53.99     41.93     57.58     87.64     10.65     25.34     76.90     71.10     45.48     42.43 
    52    52472.56   2379.94     90.72     49.99           87.88     73.28     70.69     27.18      3.21     37.88     50.95     54.24     81.22     45.44     99.50     95.63     13.85     99.18     17.69     25.13     67.00     -3.46     50.73     23.74     20.77     75.47     91.54     21.71     49.48     31.01     24.72     54.31     42.02     58.24     87.70     10.18     25.49     76.66     70.88     45.83     42.52 
    53    52472.55   2379.95     90.73     50.06           88.26     73.51     71.06     27.85      4.51     36.91     51.03     54.31     81.51     45.73     99.46     95.75     12.83     99.18     17.74     24.53     67.43     -1.51     51.66     22.62     21.06     75.49     91.34     22.15     49.48     30.95     24.68     54.97     42.53     57.61     87.72      9.83     24.19     76.57     71.06     45.86     42.20 
    54    52471.98   2380.52     90.75     50.40           87.70     72.81     71.85     27.21      4.53     37.83     51.26     53.99     81.32     45.84     99.49     95.69     17.04     99.19     18.52     23.95     66.89      1.85     52.33     24.49     21.63     75.65     91.51     22.21     49.48     31.65     25.83     54.96     43.13     57.28     87.68      9.09     25.41     76.39     70.99     46.01     42.20 
    55    52473.78   2378.72     90.75     50.26           87.02     72.24     71.35     27.85      5.35     38.33     50.46     53.89     81.41     45.94     99.52     95.68     19.27     99.19     17.45     23.15     65.71      1.82     52.00     22.81     19.71     75.55     91.83     22.04     49.48     31.42     24.12     54.91     43.64     57.43     87.73     10.02     25.78     76.76     70.78     45.88     42.27 
    56    52473.32   2379.18     90.73     50.06           87.11     72.52     71.29     26.52      6.25     38.45     49.63     53.97     81.24     45.76     99.50     95.85     13.93     99.19     17.14     22.62     66.00      0.71     49.32     24.19     20.57     75.47     91.82     21.94     49.49     31.49     24.19     55.71     43.36     57.55     87.77     10.76     25.23     76.88     70.72     45.65     42.29 
    57    52475.61   2376.89     90.74     50.17           87.09     72.26     71.89     26.69      4.87     38.00     49.96     54.48     81.05     45.54     99.56     95.79     19.30     99.19     17.54     21.87     66.28      1.40     48.95     23.32     19.72     75.45     92.03     21.62     49.48     31.65     24.35     56.30     42.55     57.93     87.72     12.02     24.69     76.75     70.64     45.99     42.44 
    58    52486.36   2366.14     90.78     50.31           86.90     72.37     71.79     28.00      4.98     37.17     50.18     54.66     81.17     45.41     99.54     95.69     18.97     99.19     15.17     23.22     66.45      2.07     50.66     22.02     21.24     75.39     92.16     22.67     49.48     31.90     24.14     56.37     42.48     58.45     87.74     12.85     24.28     77.10     70.96     46.11     42.41 
    59    52481.81   2370.69     90.76     50.21           86.58     71.98     70.51     27.68      6.50     36.20     50.13     54.48     81.74     45.68     99.50     95.55     20.68     99.19     16.61     22.49     67.56      2.37     49.76     23.21     17.83     75.36     92.18     23.40     49.48     32.36     21.04     56.75     42.91     58.00     87.78     12.40     23.78     76.89     70.82     45.97     42.41 
    60    52479.35   2373.15     90.76     50.42           86.73     72.07     70.30     26.67      7.41     36.43     49.48     54.44     81.66     45.81     99.53     95.50     24.00     99.19     16.00     22.67     67.90      3.33     51.40     22.76     19.33     75.27     92.31     24.09     49.48     32.25     22.04     56.89     43.24     58.05     87.82     11.71     23.94     76.72     70.72     45.95     42.40 
    61    52469.67   2382.83     90.72     50.14           86.39     71.52     69.57     27.04      7.83     35.79     49.30     54.41     81.52     45.42     99.60     95.53     25.57     99.19     17.70     22.19     67.67      1.64     49.84     20.26     17.38     75.28     92.23     24.26     49.48     31.81     21.09     55.76     42.98     57.73     87.82     10.98     25.03     76.69     70.55     45.61     42.51 
    62    52478.77   2373.73     90.74     50.23           86.29     71.53     68.58     27.18      8.06     35.97     49.09     54.83     81.46     45.15     99.60     95.65     23.55     99.19     18.71     21.51     68.00      2.90     48.13     18.15     20.39     75.27     92.55     24.19     49.48     31.99     23.70     55.14     43.20     57.79     87.73     11.86     25.26     76.83     70.85     45.74     42.89 
    63    52484.40   2368.10     90.76     50.45           86.06     71.11     68.73     29.31      9.35     36.68     49.08     55.11     81.82     45.16     99.63     95.56     27.30     99.19     17.46     21.06     67.84      2.86     48.10     20.17     19.62     75.27     92.60     24.26     49.48     32.06     26.05     52.68     43.72     57.61     87.77     12.28     25.08     76.80     70.87     45.89     42.96 
    64    52486.27   2366.23     90.77     50.57           86.19     71.19     69.31     28.25      9.72     36.97     49.24     54.93     81.58     45.16     99.61     95.35     28.75     99.19     18.44     22.08     68.03      1.56     46.47     21.33     21.25     75.26     92.64     24.92     49.48     31.88     26.08     51.79     43.88     57.21     87.77     13.00     26.00     76.98     70.75     45.86     43.04 
    65    52486.06   2366.44     90.77     50.70           86.86     71.22     69.51     29.81      9.32     36.69     49.44     54.77     81.96     45.04     99.55     95.19     32.62     99.19     17.23     22.05     68.06     -0.92     49.05     21.35     21.23     75.20     92.68     24.65     49.48     32.09     27.10     51.34     43.72     57.36     87.72     13.58     25.32     76.88     70.61     45.70     43.27 
    66    52490.32   2362.18     90.80     50.88           86.79     71.52     69.73     30.71      9.26     36.18     48.86     54.60     81.73     45.43     99.41     95.23     30.61     99.19     17.88     23.03     67.73      1.82     50.91     19.72     23.52     75.20     92.58     25.09     49.49     32.10     28.57     51.80     43.03     57.10     87.72     14.44     24.66     77.06     70.79     45.81     43.45 
    67    52492.01   2360.49     90.80     50.85           86.57     70.83     69.22     29.23      9.29     36.66     48.60     54.71     82.08     44.92     99.44     95.34     31.04     99.19     16.72     23.78     66.54      1.79     51.37     18.05     26.45     75.16     92.46     25.68     49.49     32.10     27.84     51.84     44.05     57.13     87.76     14.19     24.40     77.21     70.84     45.71     43.70 
    68    52492.84   2359.66     90.81     50.78           86.59     71.08     69.29     29.06      8.50     36.16     48.70     54.55     82.19     44.81     99.41     95.40     29.71     99.19     15.29     24.71     66.09      1.18     50.32     16.75     28.47     75.15     92.64     26.01     49.49     32.29     28.86     50.94     44.42     57.11     87.66     14.82     24.62     77.17     70.99     45.72     43.57 
    69    52489.58   2362.92     90.80     50.60           85.80     71.29     69.83     29.35      6.04     35.78     48.87     54.57     82.37     45.20     99.30     95.36     27.83     99.19     14.49     24.06     66.14      0.87     50.17     16.29     28.93     75.11     92.47     26.42     49.48     32.26     28.85     49.57     43.72     57.24     87.67     14.27     26.04     77.20     70.94     45.73     43.36 
    70    52485.29   2367.21     90.77     50.39           85.97     71.28     69.57     29.30      5.79     36.43     48.49     54.57     82.13     45.40     99.36     95.32     28.00     99.19     13.14     22.67     65.71      0.29     49.17     14.97     26.86     75.07     92.58     27.34     49.48     32.57     30.36     48.76     42.99     57.40     87.69     14.75     25.14     77.02     70.81     45.82     43.09 
    71    52480.69   2371.81     90.74     50.23           86.42     71.31     69.58     28.23      5.24     35.92     48.11     54.25     82.51     45.07     99.38     95.35     30.14     99.19     12.39     22.25     65.63     -1.41     49.55     13.84     27.32     75.04     92.57     27.56     49.48     32.89     28.98     48.85     43.00     58.04     87.68     14.05     23.63     76.98     70.71     45.73     43.12 
