constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.000000  -0.100000  -0.400000  ]  [  0.800000  -0.100000  -0.300000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    29    52770.55   2081.95     91.65     54.07           79.93     67.59     71.03     22.30     19.54     45.48     47.97     59.55     83.28     56.83     98.21     96.55     60.69     99.16     32.41     -4.37     62.90     11.72     65.45     18.62     10.62     74.50     89.53     30.11     90.90     44.85     23.59     45.75     46.21     58.93     89.00     15.48     35.40     74.24     69.23     60.45     47.02 
    30    52778.60   2073.90     91.65     54.07           80.20     65.29     70.13     23.82     20.19     45.77     48.57     59.42     83.60     56.83     98.08     96.50     62.00     99.16     33.33     -4.89     64.67     10.67     56.80     19.56     13.60     74.55     89.87     31.97     90.91     44.33     20.71     46.31     47.38     59.14     89.14     16.38     35.32     74.10     69.51     60.44     47.18 
    31    52796.90   2055.60     91.78     54.68           80.65     65.25     70.06     25.08     23.66     46.39     48.87     59.92     83.28     56.79     98.18     96.45     56.13     99.15     29.03     -2.37     67.16     14.19     60.13     19.14     20.00     74.53     89.80     30.27     90.94     44.12     25.76     46.75     47.36     59.25     89.21     17.43     37.51     74.43     69.77     61.14     47.61 
    32    52811.72   2040.78     91.81     54.60           81.12     64.62     70.12     25.75     23.61     46.25     49.80     60.51     83.36     56.60     98.25     96.33     46.88     99.15     26.87     -2.92     66.63     13.12     61.38     19.17     17.00     74.83     89.67     31.56     90.95     44.23     31.00     46.33     46.32     59.62     89.21     18.32     40.16     74.89     70.11     61.31     47.94 
    33    52804.33   2048.17     91.79     54.45           80.97     65.21     69.27     25.58     22.90     47.30     50.67     60.53     83.00     56.49     98.30     96.36     47.27     99.15     27.88     -5.45     68.06     18.79     56.18     19.35     15.64     74.82     90.06     31.85     90.94     44.60     33.01     45.13     45.20     58.78     89.10     17.62     36.46     74.73     69.68     61.54     47.82 
    34    52803.44   2049.06     91.85     54.29           81.88     64.94     69.00     28.78     20.26     48.00     50.23     61.23     84.03     56.03     98.35     96.18     44.12     99.15     27.65      0.39     68.76     22.35     54.47     17.73      6.82     74.72     90.40     30.14     90.94     44.80     32.86     43.84     45.27     58.50     89.15     18.09     36.55     74.34     69.70     61.40     47.67 
    35    52809.46   2043.04     91.89     54.61           82.34     65.79     68.46     29.68     22.22     48.66     50.39     61.28     83.58     56.58     98.51     95.50     47.43     99.15     30.86      4.00     68.29     19.43     59.20     19.39      2.17     74.70     90.36     30.72     90.93     44.84     30.74     44.30     42.59     57.82     89.17     18.79     38.45     74.77     69.34     62.04     48.12 
    36    52816.69   2035.81     91.91     54.96           82.44     66.30     67.94     30.96     23.77     48.94     50.18     61.15     83.86     56.64     98.47     95.14     44.44     99.16     33.89      5.56     68.28     17.22     60.83     23.11      6.00     74.68     90.27     31.36     90.91     44.65     30.07     44.22     43.20     58.00     89.13     20.05     38.30     74.62     69.60     61.88     48.39 
    37    52810.57   2041.93     91.87     54.55           77.89     66.20     67.24     31.75     23.72     49.30     50.28     60.61     84.02     56.77     98.45     94.93     40.00     99.16     33.51      7.39     67.24     17.30     63.68     21.37      4.00     74.73     90.20     30.43     90.93     43.04     29.73     44.79     43.60     57.99     89.11     18.82     35.22     74.79     69.42     61.77     48.94 
    38    52806.76   2045.74     91.87     54.60           77.53     66.28     68.79     32.84     22.08     50.37     50.02     60.97     83.70     55.72     98.42     94.54     42.11     99.15     33.16      8.07     66.84     18.42     63.68     19.72      5.68     74.92     89.93     29.45     90.94     43.51     29.96     46.60     43.33     58.13     89.14     17.27     34.32     74.99     69.39     61.32     48.80 
    39    52817.41   2035.09     91.87     54.43           77.69     66.19     67.08     31.90     21.94     50.59     50.73     61.07     84.01     55.05     98.42     94.17     39.49     99.15     31.79      6.67     66.87     20.00     64.77     20.34      7.08     74.87     90.46     30.26     90.92     44.63     21.98     47.28     43.59     59.05     89.20     17.86     34.29     75.45     69.88     60.54     48.58 
    40    52817.10   2035.40     91.89     54.19           77.70     66.03     68.50     31.87     23.06     51.65     50.85     61.13     84.44     54.97     98.38     94.38     32.50     99.15     30.00      6.67     64.20     19.50     65.50     22.40     10.40     74.80     90.54     28.76     90.92     44.06     18.80     47.20     41.78     59.36     89.18     17.10     34.41     75.69     69.74     60.51     48.85 
    41    52819.02   2033.48     91.88     54.11           77.61     65.76     67.80     31.19     25.75     50.54     51.20     61.41     84.50     55.19     98.38     94.45     27.80     99.15     28.29      8.29     66.00     18.05     64.29     22.34     11.80     74.76     90.56     29.41     90.93     43.97     21.11     47.45     42.31     59.36     89.16     16.18     32.04     76.11     69.46     60.48     48.95 
    42    52807.36   2045.14     91.85     53.77           77.29     65.97     66.38     31.17     25.93     48.81     51.51     61.46     84.38     55.31     98.43     94.88     15.71     99.15     30.00      8.57     66.76     18.57     64.71     22.41     14.10     74.71     90.46     28.93     90.89     44.06     20.63     46.79     41.72     58.44     89.06     17.19     31.16     75.75     69.31     60.44     48.33 
    43    52807.74   2044.76     91.85     53.94           77.67     66.17     66.05     31.66     25.45     49.02     51.86     61.67     84.32     55.46     98.47     94.71     20.47     99.15     32.09     10.08     67.81     17.21     65.26     23.22     14.23     74.78     90.23     29.43     90.87     43.66     19.19     45.67     41.32     57.93     89.10     18.09     29.71     75.61     69.22     60.22     48.72 
    44    52809.05   2043.45     91.85     54.05           77.86     66.09     67.32     30.36     25.76     49.64     51.46     61.83     84.55     54.25     98.47     94.72     14.55     99.15     33.64     11.21     67.95     15.00     66.86     26.12     16.00     74.78     90.21     28.77     90.88     44.22     22.30     47.33     40.51     58.26     89.15     17.08     29.79     75.57     69.41     59.82     48.93 
    45    52815.33   2037.17     91.88     54.19           77.69     66.31     66.44     30.73     24.44     50.20     51.48     62.20     85.27     54.68     98.50     94.44     21.33     99.15     33.33      9.04     66.71     20.00     64.27     26.40     15.38     74.71     90.12     28.69     90.84     43.95     21.13     47.32     42.10     58.75     89.09     16.78     29.01     75.84     69.23     60.11     49.27 
    46    52821.33   2031.17     91.89     54.25           79.26     65.83     66.35     29.68     24.88     50.63     52.31     61.91     85.00     55.02     98.55     94.46     20.43     99.15     32.61      9.28     66.61     20.00     65.70     26.38     16.17     74.59     89.82     28.77     90.85     44.24     20.70     47.13     42.52     58.05     89.12     15.69     29.93     76.19     69.31     60.30     49.90 
    47    52817.21   2035.29     91.90     54.43           79.87     65.42     67.15     28.79     23.76     49.68     52.21     61.64     85.17     55.17     98.59     94.63     21.28     99.15     34.89     11.77     67.45     18.30     65.02     27.60     13.87     74.56     89.88     30.10     90.86     44.13     23.12     48.03     42.69     58.96     89.15     14.73     31.08     76.00     69.00     60.36     49.83 
    48    52809.73   2042.77     91.87     54.20           79.08     64.89     67.75     29.33     22.80     49.77     52.30     61.73     84.68     54.87     98.65     94.53     23.33     99.15     32.50     11.11     67.71     17.92     64.50     26.83     14.67     74.56     89.57     30.41     90.83     43.49     18.67     46.44     43.05     58.17     89.07     15.25     32.58     75.77     68.84     60.49     50.07 
    49    52812.04   2040.46     91.86     54.00           79.14     64.30     68.00     30.07     23.13     49.55     51.96     61.53     84.64     55.39     98.69     94.44     21.22     99.15     31.02      9.93     67.06     17.96     62.53     27.18     15.76     74.59     89.58     29.76     90.83     43.22     18.64     46.23     43.09     57.73     89.12     14.60     32.33     75.97     69.07     60.66     50.02 
    50    52810.90   2041.60     91.84     53.92           78.80     64.53     67.36     29.76     22.22     50.46     52.13     61.41     84.41     55.58     98.66     94.45     21.20     99.15     30.00     10.13     67.24     16.40     63.16     25.07     18.72     74.55     89.48     30.84     90.82     43.16     18.08     45.44     43.35     57.66     89.20     14.09     31.83     76.23     68.80     60.42     50.22 
    51    52811.29   2041.21     91.86     53.71           78.78     63.90     67.61     28.68     21.57     49.35     52.79     61.62     84.35     56.26     98.66     94.31     16.08     99.15     30.98     11.63     68.39     19.61     62.82     27.01     13.10     74.45     89.28     30.39     90.80     43.08     14.82     44.78     43.27     57.81     89.14     14.29     32.60     76.16     68.98     60.84     49.97 
    52    52819.25   2033.25     91.86     53.70           78.81     63.77     67.92     28.72     22.33     50.02     52.63     62.21     84.60     55.66     98.71     94.52     15.38     99.15     30.00     10.51     68.12     16.92     61.69     26.46     12.31     74.48     89.13     31.32     90.80     42.82     16.41     46.00     44.21     58.19     89.12     13.83     33.22     76.53     68.97     60.92     50.35 
    53    52817.34   2035.16     91.89     53.79           78.79     63.12     68.72     29.01     23.06     48.98     52.52     61.79     84.85     55.54     98.77     94.53     16.60     99.15     29.43     14.21     68.15     18.11     59.81     26.54     12.30     74.50     89.25     29.49     90.81     42.33     17.74     46.77     44.54     58.64     89.12     13.53     32.38     76.41     68.75     61.41     50.70 
    54    52812.89   2039.61     91.85     53.70           79.19     63.11     68.44     28.69     22.53     48.87     52.54     61.80     84.64     54.81     98.84     94.44     16.67     99.16     32.22     13.83     68.19     17.78     60.78     27.36      8.89     74.54     89.18     28.49     90.79     42.43     17.73     46.81     45.02     58.60     89.15     12.93     31.68     76.23     68.97     61.19     50.39 
    55    52813.18   2039.32     91.86     53.86           79.27     63.71     67.60     27.95     22.22     49.89     52.61     61.71     84.66     55.16     98.80     94.50     19.27     99.16     30.91     15.64     68.51     16.00     63.45     28.53     10.84     74.49     89.23     27.53     90.80     43.42     16.17     45.75     45.57     58.43     89.02     13.33     31.70     76.06     68.80     61.39     50.56 
    56    52816.59   2035.91     91.87     53.79           79.21     63.79     67.93     28.10     23.21     50.57     52.66     61.85     84.82     54.98     98.88     94.73     16.43     99.15     30.00     14.76     68.18     13.93     64.96     28.90      9.43     74.54     89.19     27.71     90.80     42.24     17.33     45.86     45.53     59.14     89.02     13.03     32.41     76.25     68.75     61.37     50.74 
    57    52815.96   2036.54     91.88     53.95           79.40     63.72     68.88     28.28     23.29     51.26     52.58     61.98     84.64     55.19     98.88     94.82     17.89     99.15     31.23     14.39     68.11     14.74     67.37     27.11     11.58     74.50     89.29     27.36     90.78     43.11     16.58     45.87     45.15     59.04     89.03     13.56     30.74     76.14     68.65     60.98     50.89 
    58    52816.47   2036.03     91.87     53.72           79.72     63.52     69.48     29.38     24.04     50.16     52.75     62.01     84.71     54.84     98.78     94.91     12.07     99.15     30.69     13.56     67.97     13.10     65.97     28.64      8.55     74.48     89.42     27.60     90.80     42.60     18.62     45.98     44.20     59.56     89.00     13.79     30.89     76.00     68.89     61.07     50.79 
    59    52816.05   2036.45     91.87     53.81           80.07     63.55     69.69     29.18     22.98     50.59     52.64     62.00     85.23     55.27     98.83     94.66     18.31     99.15     30.17     12.99     67.97     12.20     64.71     26.96     10.92     74.40     89.45     27.14     90.77     42.92     17.60     45.99     43.83     60.06     89.01     13.01     32.22     76.18     68.71     60.70     50.93 
    60    52810.63   2041.87     91.86     53.87           80.27     63.64     69.90     28.53     22.69     49.90     52.45     61.82     85.26     55.26     98.77     94.75     18.00     99.15     29.33     13.33     69.10     11.33     65.30     27.82     12.80     74.39     89.39     27.44     90.77     42.85     18.49     46.76     43.89     59.47     89.00     13.28     32.13     75.92     68.56     60.61     50.80 
    61    52808.05   2044.45     91.85     53.72           80.36     63.56     69.77     29.05     21.40     50.44     52.49     62.16     84.98     54.99     98.81     94.63     18.36     99.15     30.49     14.54     68.79     10.49     64.20     24.63     10.43     74.33     89.11     27.11     90.78     42.43     18.12     47.28     43.85     59.89     88.98     13.15     33.08     75.83     68.69     60.41     50.89 
    62    52810.73   2041.77     91.84     53.50           80.29     63.76     69.45     27.66     20.70     50.40     52.76     62.05     85.11     55.30     98.83     94.76     17.10     99.15     30.97     13.76     68.84     10.00     64.29     22.41      9.29     74.29     89.14     26.08     90.79     42.63     18.45     46.80     43.58     60.12     88.97     13.06     32.57     76.06     68.82     60.43     50.99 
    63    52809.79   2042.71     91.85     53.53           81.11     63.53     69.62     26.31     20.37     50.79     52.47     62.05     84.72     55.82     98.86     94.76     14.60     99.16     32.06     14.07     70.13      9.52     64.57     19.24     12.00     74.29     89.31     27.08     90.80     42.46     18.18     48.53     42.78     60.38     89.02     13.60     32.47     75.88     68.74     60.59     50.82 
    64    52810.92   2041.58     91.87     53.43           81.56     63.58     69.72     25.25     21.09     50.98     52.33     61.69     84.67     55.70     98.81     94.77      5.94     99.16     31.87     13.75     69.69     12.81     65.41     20.71     14.13     74.27     89.23     26.53     90.81     42.21     17.25     48.12     42.04     60.33     88.94     14.25     32.58     76.07     68.76     60.80     50.96 
    65    52804.88   2047.62     91.87     53.47           82.22     63.65     69.38     26.07     20.51     51.20     52.60     61.62     84.63     55.64     98.90     94.81      4.92     99.16     32.62     14.05     69.54     13.85     65.02     20.00     16.80     74.28     89.11     26.04     90.81     42.58     16.84     48.10     41.93     60.17     88.88     13.83     32.88     75.90     68.64     60.58     50.71 
    66    52800.06   2052.44     91.86     53.29           82.61     63.23     68.45     24.20     20.96     51.50     52.21     61.83     84.79     55.75     99.01     95.04      2.12     99.16     32.12     15.56     69.94     12.73     65.64     17.70     17.82     74.31     89.13     26.55     90.80     42.49     15.15     48.61     42.30     60.14     88.82     14.24     31.82     75.74     68.50     60.49     50.41 
    67    52800.21   2052.29     91.86     53.26           82.15     63.90     68.96     24.42     19.57     51.64     52.11     61.92     84.68     56.03     98.92     95.15      2.99     99.16     33.43     15.02     69.40     12.54     65.43     16.74     16.66     74.25     89.15     27.00     90.80     42.60     14.87     48.14     41.96     60.04     88.85     14.88     32.31     75.62     68.62     60.53     50.18 
    68    52800.07   2052.43     91.84     53.19           82.35     64.51     69.00     24.63     18.79     51.74     52.28     61.95     84.77     56.05     98.90     95.40      3.82     99.16     32.94     13.92     68.53     11.76     65.94     16.82     16.94     74.28     89.24     25.78     90.82     42.86     15.76     48.43     41.78     60.60     88.87     14.50     30.26     75.70     68.61     60.57     49.81 
    69    52800.00   2052.50     91.85     53.33           82.26     64.37     69.51     23.63     18.36     50.96     52.51     62.21     84.82     56.20     98.85     95.40      6.38     99.16     33.04     14.78     68.90     12.17     66.35     17.14     19.54     74.27     89.24     25.80     90.82     42.72     14.55     48.56     41.81     60.83     88.85     14.28     30.20     75.70     68.59     60.48     49.83 
    70    52797.19   2055.31     91.84     53.30           82.57     64.57     70.14     23.24     17.06     51.30     52.37     62.10     84.66     56.51     98.92     95.43      3.71     99.15     33.71     14.67     68.23     11.71     68.89     19.01     20.23     74.14     89.22     25.54     90.81     41.26     14.13     49.10     42.46     60.48     88.86     13.57     30.06     75.60     68.52     60.25     50.01 
