constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    26    52480.96   2371.54     91.15     46.41           92.00     77.69     74.62     10.56      1.92     48.19     55.74     54.29     91.17     34.66     98.98     95.67    -64.62     99.60      7.69      7.18     59.92     19.23     41.38     22.56     32.31     26.02     84.68     14.60     87.40     30.22     20.21     29.85     37.60     57.81     83.20     28.76     32.49     77.34     71.18     38.73     36.39 
    27    52487.00   2365.50     91.17     46.86           90.44     76.89     75.19     11.90      6.17     48.85     54.85     54.10     91.35     34.55     99.02     95.93    -62.22     99.60     11.11      2.22     60.59     18.52     38.00     20.00     40.74     25.87     84.97     15.52     87.40     30.74     23.26     33.33     37.11     58.89     83.31     26.69     34.87     77.23     71.69     38.12     36.91 
    28    52489.07   2363.43     91.21     46.83           89.50     75.90     74.14     10.48      8.53     49.39     56.32     54.35     90.62     34.99     99.09     96.16    -65.71     99.60     11.43      3.81     58.57     20.00     40.86     14.67     38.00     25.96     85.13     15.30     87.40     31.74     22.67     35.52     37.38     58.27     83.28     27.48     37.99     77.09     71.90     37.98     37.03 
    29    52487.45   2365.05     91.21     47.03           90.21     75.91     74.48     10.71      7.66     49.69     56.16     54.85     91.35     34.50     99.24     95.78    -57.24     99.60     13.79      2.53     58.69     20.00     42.28     15.59     41.52     25.86     85.43     15.83     87.40     27.45     18.99     34.53     36.42     57.84     83.23     28.86     37.38     77.13     71.57     37.95     37.10 
    30    52487.20   2365.30     91.22     47.31           90.00     75.60     73.47     10.22     10.56     47.83     56.51     54.30     91.34     34.90     99.28     96.08    -56.00     99.60     16.67      1.33     57.00     22.00     39.40     17.96     41.33     25.85     85.55     16.86     87.40     27.96     20.71     38.22     36.51     58.71     83.21     30.02     37.02     76.68     71.88     37.98     36.62 
    31    52494.58   2357.92     91.19     47.43           90.26     74.62     72.84     11.31      8.60     48.74     57.04     54.06     90.40     35.03     99.45     95.97    -53.55     99.60     20.65      1.51     58.06     19.35     40.19     20.26     39.87     25.81     85.50     15.81     87.40     29.11     19.57     40.22     37.05     57.75     83.26     28.92     36.07     76.99     72.19     38.38     36.77 
    32    52499.72   2352.78     91.22     47.91           89.69     74.00     71.38      9.58      8.16     49.62     56.57     53.70     89.84     34.61     99.36     96.09    -46.88     99.60     24.37      0.00     58.56     24.38     36.06     19.75     39.50     25.84     85.41     16.78     87.40     29.58     22.67     43.17     38.05     56.71     83.19     29.85     40.96     77.49     72.29     38.45     36.69 
    33    52506.42   2346.08     91.24     48.09           90.36     73.66     71.64     10.55      4.55     48.18     56.04     54.30     90.74     33.89     99.08     96.06    -49.70     99.60     26.67     -0.61     58.42     26.06     32.73     21.21     45.21     25.77     85.36     18.38     87.40     29.57     24.61     45.29     37.75     57.85     83.27     27.83     42.07     77.75     72.60     38.19     36.98 
    34    52510.88   2341.62     91.31     48.28           91.65     74.04     72.12     13.49      5.72     47.82     56.16     54.91     91.14     33.81     99.09     96.32    -48.82     99.60     24.12      1.57     60.12     30.00     31.88     22.27     43.76     25.56     85.24     17.91     87.40     29.77     23.45     44.78     37.47     56.35     83.28     26.39     42.18     78.05     72.78     38.03     36.87 
    35    52514.97   2337.53     91.34     48.31           91.66     73.94     71.71     13.83      5.87     48.14     55.80     55.04     91.29     34.11     99.01     96.36    -59.43     99.60     24.57      4.38     60.80     27.43     35.89     21.98     44.91     25.56     85.47     18.43     87.40     30.81     22.97     44.76     37.25     55.93     83.37     27.25     45.74     77.87     72.94     37.89     36.74 
    36    52523.78   2328.72     91.31     48.35           92.39     73.04     69.67     13.70      3.24     48.50     55.95     55.90     91.01     34.24     99.06     96.18    -57.22     99.60     26.11      4.44     61.61     23.33     34.67     23.93     46.89     25.51     85.61     14.91     87.40     31.25     26.81     45.85     37.25     55.67     83.36     28.23     44.68     78.31     72.87     38.11     37.07 
    37    52519.05   2333.45     91.28     48.29           91.14     73.41     71.24     16.04      3.30     48.19     54.98     55.80     91.32     35.04     99.04     96.22    -51.35     99.60     23.78      2.34     62.00     20.54     34.32     21.87     44.65     25.47     85.36     16.20     87.40     32.29     28.86     44.14     38.01     55.69     83.28     27.58     43.67     78.06     73.06     37.72     36.50 
