constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.100000  -0.400000  -0.400000  ]  [  0.300000  0.000000  0.000000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
Total repeats: 1000

           Batch performances                            By-cases performance as: Sum rewards

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    87    3517.08    401.92     90.44     58.63          294.78    282.10    187.72    225.89    103.21    552.76    453.17    567.28    375.60    474.57 
    88    3516.61    402.39     90.44     58.66          294.78    282.00    187.48    225.91    103.41    552.69    453.26    567.61    375.28    474.18 
    89    3515.61    403.39     90.42     58.60          294.73    281.80    187.57    226.17    103.34    552.56    452.70    567.38    375.01    474.35 
    90    3515.50    403.50     90.42     58.59          294.52    281.86    187.50    226.19    103.43    552.50    452.41    567.60    375.52    473.97 
    91    3515.33    403.67     90.41     58.52          294.34    281.89    187.49    225.97    103.41    552.84    452.12    567.43    375.19    474.66 
    92    3517.03    401.97     90.44     58.69          294.62    282.01    187.48    225.97    103.49    552.92    452.39    568.38    375.16    474.61 
    93    3517.55    401.45     90.47     58.82          294.74    281.96    187.86    226.35    103.43    552.92    452.17    568.62    375.45    474.03 
    94    3517.59    401.41     90.47     58.79          294.50    282.40    187.74    226.16    103.48    552.97    452.15    568.49    375.69    474.00 
    95    3515.84    403.16     90.43     58.56          294.45    282.46    187.54    225.98    103.40    552.20    452.28    568.34    375.37    473.82 
    96    3515.19    403.81     90.42     58.57          294.15    282.60    187.49    226.07    103.50    552.32    452.74    568.11    375.08    473.11 
    97    3513.61    405.39     90.38     58.48          294.18    282.63    187.20    226.02    103.52    552.67    452.24    566.73    374.98    473.45 
    98    3514.10    404.90     90.39     58.48          294.24    282.34    187.41    225.79    103.51    552.89    452.39    566.69    375.45    473.40 
    99    3513.10    405.90     90.37     58.36          294.01    282.25    187.51    225.77    103.51    552.14    452.51    566.79    375.65    472.98 
   100    3512.98    406.02     90.37     58.34          294.04    282.11    187.49    225.66    103.53    552.20    452.79    566.73    375.52    472.91 
   101    3512.70    406.30     90.35     58.27          294.09    281.86    187.46    225.28    103.56    552.44    453.03    566.71    375.27    473.01 
   102    3512.14    406.86     90.33     58.13          294.11    281.49    187.55    225.15    103.44    552.24    452.89    566.45    375.33    473.49 
   103    3512.59    406.41     90.34     58.17          294.19    281.54    187.54    225.09    103.49    552.33    452.80    566.82    375.39    473.41 
   104    3511.45    407.55     90.31     58.03          294.29    281.45    187.51    225.08    103.38    551.87    452.58    566.63    375.55    473.12 
   105    3511.70    407.30     90.33     58.14          294.16    281.53    187.71    225.28    103.49    551.52    452.55    566.90    375.17    473.37 
   106    3510.84    408.16     90.32     58.16          294.35    281.51    187.45    225.30    103.68    551.24    452.49    567.23    374.73    472.87 
   107    3511.38    407.62     90.33     58.25          294.56    281.48    187.60    225.39    103.62    551.36    452.80    567.21    374.56    472.79 
   108    3510.95    408.05     90.34     58.26          294.75    281.42    187.64    225.37    103.67    550.78    453.41    566.77    374.68    472.48 
   109    3511.50    407.50     90.34     58.29          294.66    281.56    187.50    225.52    103.63    551.10    453.26    567.27    374.51    472.50 
   110    3510.43    408.57     90.32     58.21          294.58    281.11    187.54    225.72    103.67    550.53    452.73    567.39    374.44    472.73 
   111    3511.23    407.77     90.33     58.19          294.63    281.05    187.40    225.67    103.62    550.52    452.46    567.95    374.58    473.35 
   112    3512.18    406.82     90.34     58.27          294.77    280.83    187.30    225.73    103.68    550.71    452.49    568.54    374.62    473.51 
   113    3512.42    406.58     90.35     58.29          294.76    280.92    187.46    225.74    103.64    550.64    452.59    568.82    374.41    473.44 
   114    3512.98    406.02     90.36     58.34          294.68    281.03    187.40    225.85    103.61    550.82    452.68    568.79    374.07    474.04 
   115    3512.81    406.19     90.35     58.29          294.60    281.08    187.50    225.68    103.58    550.91    452.90    568.68    374.32    473.55 
   116    3513.84    405.16     90.37     58.36          294.66    281.17    187.36    225.71    103.59    551.16    452.97    568.96    374.65    473.61 
   117    3513.87    405.13     90.37     58.37          294.94    280.95    187.56    225.68    103.51    551.16    453.03    568.85    374.40    473.78 
   118    3513.97    405.03     90.36     58.29          294.86    281.13    187.50    225.28    103.53    551.36    452.71    569.23    374.40    473.97 
   119    3514.37    404.63     90.38     58.38          295.02    281.48    187.54    225.22    103.55    551.54    452.64    569.13    374.32    473.94 
   120    3514.97    404.03     90.38     58.34          295.02    281.53    187.39    225.17    103.47    551.62    452.84    569.38    374.63    473.90 
   121    3514.14    404.86     90.36     58.33          295.04    281.53    187.28    225.08    103.51    551.78    453.20    568.24    374.29    474.19 
   122    3513.85    405.15     90.35     58.28          295.04    281.56    187.28    225.17    103.41    551.72    453.13    568.23    374.13    474.18 
   123    3513.28    405.72     90.34     58.20          294.97    281.50    187.28    225.19    103.35    551.74    453.10    568.12    374.19    473.85 
   124    3513.98    405.02     90.33     58.15          294.98    281.63    186.98    225.16    103.20    551.85    453.47    568.23    374.23    474.27 
   125    3512.57    406.43     90.31     58.08          294.94    281.45    187.12    225.13    103.24    551.70    453.37    567.89    374.10    473.63 
   126    3512.79    406.21     90.31     58.06          294.90    281.31    187.12    225.25    103.19    551.72    453.19    568.38    374.01    473.72 
   127    3513.20    405.80     90.32     58.07          294.79    281.44    187.20    225.24    103.18    551.73    452.85    568.65    374.31    473.80 
   128    3514.10    404.90     90.35     58.19          294.84    281.46    187.35    225.50    103.16    551.71    452.96    568.84    374.62    473.66 
   129    3514.54    404.46     90.35     58.22          294.83    281.71    187.33    225.53    103.10    551.98    453.24    569.07    374.27    473.47 
   130    3513.75    405.25     90.35     58.25          294.82    281.57    187.48    225.68    103.21    551.43    453.24    569.12    373.74    473.46 
   131    3514.47    404.53     90.38     58.46          294.87    281.75    187.36    225.92    103.42    551.51    453.28    568.70    373.97    473.68 
   132    3515.48    403.52     90.41     58.60          294.88    281.97    187.48    226.15    103.42    551.65    453.39    569.16    373.73    473.64 
   133    3515.36    403.64     90.41     58.61          294.82    281.83    187.44    226.29    103.47    551.41    453.36    569.34    373.71    473.70 
   134    3515.10    403.90     90.40     58.63          294.83    281.82    187.25    226.46    103.51    551.32    453.32    569.35    373.44    473.79 
   135    3514.21    404.79     90.39     58.57          294.75    281.69    187.49    226.30    103.50    551.53    453.27    568.70    373.54    473.46 
   136    3514.09    404.91     90.39     58.59          294.82    281.81    187.48    226.22    103.54    551.62    453.43    568.84    373.29    473.04 
   137    3514.47    404.53     90.40     58.66          294.85    281.85    187.42    226.18    103.66    551.80    453.43    568.98    373.33    472.97 
   138    3514.20    404.80     90.40     58.63          294.90    281.73    187.22    226.03    103.76    551.92    453.25    568.87    373.72    472.80 
   139    3514.55    404.45     90.41     58.71          295.06    281.71    187.32    226.02    103.78    552.04    453.32    568.73    373.79    472.77 
   140    3515.56    403.44     90.44     58.81          295.19    281.91    187.51    226.00    103.77    552.00    453.42    569.19    373.79    472.78 
   141    3517.30    401.70     90.48     59.00          295.01    281.89    187.55    226.32    103.84    552.17    453.74    569.45    374.13    473.18 
   142    3517.02    401.98     90.48     58.99          294.83    281.80    187.70    226.41    103.87    552.19    453.45    569.51    374.18    473.08 
   143    3515.92    403.08     90.45     58.88          294.82    281.66    187.71    226.43    103.84    551.62    453.34    569.46    373.91    473.14 
   144    3515.90    403.10     90.46     58.90          294.81    281.85    187.78    226.27    103.91    551.42    453.43    569.44    373.94    473.04 
   145    3515.92    403.08     90.46     58.89          294.89    281.83    187.72    226.19    103.92    551.42    453.33    569.68    373.86    473.08 
   146    3515.93    403.07     90.45     58.80          294.87    281.77    187.66    226.26    103.77    551.52    453.08    569.84    374.16    473.00 
   147    3515.86    403.14     90.45     58.79          294.93    281.59    187.73    226.32    103.78    551.09    453.07    570.15    374.27    472.93 
   148    3515.52    403.48     90.44     58.73          294.84    281.60    187.85    226.33    103.71    550.64    453.09    569.93    374.66    472.86 
   149    3515.55    403.45     90.45     58.75          294.84    281.54    187.95    226.39    103.70    550.72    452.93    569.77    374.75    472.95 
   150    3515.38    403.62     90.44     58.71          294.78    281.50    187.97    226.31    103.69    550.75    452.90    569.87    374.75    472.86 
   151    3515.67    403.33     90.45     58.78          294.85    281.62    188.01    226.44    103.69    550.78    453.09    569.97    374.65    472.56 
   152    3515.70    403.30     90.45     58.77          294.84    281.48    188.10    226.38    103.70    550.71    453.38    570.08    374.66    472.37 
   153    3515.24    403.76     90.45     58.74          294.84    281.53    188.27    226.37    103.69    550.34    453.15    570.07    374.80    472.18 
   154    3515.03    403.97     90.44     58.68          294.90    281.44    188.32    226.13    103.67    550.58    453.09    570.25    374.79    471.86 
   155    3515.05    403.95     90.44     58.73          294.85    281.14    188.37    226.17    103.78    550.76    453.02    570.39    374.59    471.97 
   156    3514.89    404.11     90.44     58.70          294.76    280.97    188.44    226.30    103.72    550.46    453.05    570.43    374.58    472.17 
   157    3514.92    404.08     90.44     58.74          294.76    281.02    188.52    226.18    103.78    550.64    453.45    570.32    374.21    472.03 
   158    3514.89    404.11     90.44     58.75          294.75    281.03    188.58    226.11    103.83    550.51    453.44    570.30    374.12    472.22 
   159    3514.80    404.20     90.45     58.78          294.72    281.16    188.63    226.16    103.81    550.58    453.84    569.72    373.95    472.23 
   160    3514.64    404.36     90.44     58.79          294.79    281.15    188.51    225.99    103.91    550.78    453.55    569.64    373.91    472.40 
