constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.000000  -0.100000  -0.400000  ]  [  0.800000  -0.100000  -0.300000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
Total repeats: 1000

           Batch performances                            By-cases performance as: Sum rewards

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    66    3560.33    358.67     90.78     59.07          292.32    274.74    185.76    220.74    102.92    570.89    469.36    600.32    378.03    465.24 
    67    3560.81    358.19     90.79     59.15          292.39    275.18    185.00    220.82    103.16    570.55    470.07    600.88    377.94    464.81 
    68    3560.85    358.15     90.78     59.09          292.53    275.15    184.72    220.88    103.12    570.07    469.84    601.04    378.51    464.99 
    69    3560.87    358.13     90.77     59.01          292.70    275.12    184.83    220.67    102.94    570.12    470.25    601.14    377.87    465.25 
    70    3560.67    358.33     90.80     59.23          292.80    275.43    185.04    220.54    103.27    570.43    470.01    600.53    377.59    465.03 
    71    3560.99    358.01     90.82     59.37          292.69    275.76    185.25    220.90    103.30    570.30    469.61    600.27    377.35    465.56 
    72    3560.86    358.14     90.81     59.31          292.58    275.85    185.15    221.06    103.18    570.21    469.75    600.32    377.44    465.32 
    73    3561.22    357.78     90.81     59.27          292.53    275.93    184.97    221.01    103.10    570.25    470.14    600.29    377.60    465.40 
    74    3560.81    358.19     90.78     59.13          292.32    276.15    184.85    220.97    102.96    570.54    469.74    600.84    377.26    465.18 
    75    3560.15    358.85     90.74     58.90          292.03    276.23    184.49    220.84    102.83    570.35    469.85    601.21    377.12    465.20 
    76    3560.01    358.99     90.75     59.02          291.89    276.41    184.39    221.09    103.01    570.39    469.88    601.36    376.63    464.95 
    77    3558.52    360.48     90.73     58.94          291.96    276.45    184.23    221.26    103.08    569.56    469.43    601.61    376.36    464.57 
    78    3558.94    360.06     90.73     58.98          292.13    276.28    184.18    221.14    103.15    569.35    469.81    601.87    376.22    464.81 
    79    3559.01    359.99     90.73     58.90          292.09    276.46    184.23    220.91    103.09    568.78    469.99    602.20    375.75    465.52 
