constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  
MABsolver_config: params: numInputs:  3  
MABsolver_config: params: weights:  [  0.452300  -0.443900  0.172100  0.249100  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    26    52342.92   2509.58     91.19     48.42           81.15     75.18     72.00      9.23     -9.62     11.23     47.92     55.12     99.53     59.90     98.88     99.52     17.69     99.60     20.77     34.87     73.77      5.38     39.77     29.13     52.92     28.33     82.36     15.01     63.00     30.46     24.72     20.41     12.58     55.37     82.71     26.47     25.86     71.02     61.28     62.50     55.61 
    27    52333.48   2519.02     91.11     47.32           82.44     74.91     70.74     10.62    -10.70     12.37     47.94     54.48     98.98     60.61     98.83     99.54     11.11     99.60     14.81     31.85     70.30      3.70     38.67     24.15     50.22     28.28     82.77     13.74     63.00     31.92     18.72     17.83     12.08     55.59     82.72     24.37     24.94     70.85     61.71     61.70     55.61 
    28    52323.93   2528.57     91.10     46.83           82.93     75.52     67.36     13.33     -8.33     14.89     48.72     54.70     99.32     60.58     99.00    100.00     -2.86     99.60     19.29     27.14     70.50     10.71     34.43     25.81     47.43     28.39     82.55      9.78     63.00     29.23     14.29     19.90     10.75     55.69     82.71     24.75     22.72     70.57     61.43     61.52     55.24 
    29    52321.00   2531.50     91.10     46.71           84.76     76.37     67.03     15.22     -9.58     16.66     48.71     54.13     98.92     60.15     99.19     99.57    -13.10     99.60     16.55     29.20     71.31      8.28     42.28     24.05     48.97     28.43     82.30     11.17     63.00     29.87     10.16     20.83     10.92     54.97     82.69     23.25     23.95     70.25     61.83     61.50     54.74 
    30    52335.03   2517.47     91.09     47.12           85.00     75.11     66.27     14.49     -8.70     13.40     47.96     54.12     97.79     60.49     99.13     99.33     -4.00     99.60     18.67     27.11     71.67      9.33     42.20     22.40     52.27     28.42     82.32     12.71     63.00     29.97     11.47     22.67     13.27     54.16     82.70     24.32     24.89     70.88     62.55     61.89     54.74 
    31    52344.00   2508.50     91.16     47.62           84.58     75.35     67.03     15.44     -8.42     14.77     48.75     54.33     98.10     60.77     98.97     99.35     -3.23     99.60     18.06     28.17     72.84     10.97     46.00     25.51     49.94     28.42     82.19     13.58     63.00     30.78     12.34     20.69     14.80     53.11     82.58     25.38     28.04     70.77     62.67     61.67     54.96 
    32    52350.28   2502.22     91.15     47.31           83.38     75.37     64.94     16.25     -7.29     14.31     48.54     54.70     98.43     60.74     98.92     99.14     -6.87     99.60     16.25     25.42     71.63     11.88     41.88     26.58     52.25     28.31     82.13     12.89     63.00     30.23     10.33     22.75     13.52     54.52     82.63     26.08     26.99     71.41     62.62     61.50     55.38 
    33    52356.09   2496.41     91.17     47.56           80.12     75.27     63.45     16.93     -9.09     15.55     49.11     54.55     97.47     61.13     99.09     99.02     -8.48     99.60     18.79     28.89     72.97     12.73     45.82     25.09     48.85     28.48     82.15     12.94     63.00     31.73     12.97     23.80     14.95     54.49     82.55     27.00     27.95     71.31     62.97     61.13     55.56 
    34    52353.85   2498.65     91.13     47.71           81.71     75.10     64.35     15.37    -10.95     15.03     48.25     54.00     96.39     60.98     99.01     98.97     11.76     99.60     17.06     25.88     72.00     11.76     46.35     22.04     51.53     28.49     82.51     13.67     63.00     31.91     10.75     21.02     14.62     53.79     82.60     27.55     27.72     71.25     63.17     61.75     55.46 
    35    52359.29   2493.21     91.16     48.00           81.77     75.05     65.31     15.20    -11.11     15.00     46.71     53.66     96.37     61.38     99.03     98.93     17.71     99.60     19.43     26.86     72.74     10.86     44.11     21.22     51.77     28.39     82.45     13.19     63.00     32.54     12.30     24.27     12.39     53.61     82.62     27.91     29.15     71.58     63.42     62.20     55.40 
    36    52359.81   2492.69     91.12     48.17           79.94     74.37     64.89     17.33     -9.26     14.83     46.96     53.47     96.89     60.96     99.06     98.61     23.33     99.60     21.11     25.93     69.50      7.22     45.00     23.85     53.78     28.28     82.94     13.38     63.00     31.97     15.85     20.44     13.66     53.11     82.60     27.13     29.79     71.38     63.65     62.59     55.14 
    37    52346.59   2505.91     91.07     47.72           80.11     73.66     64.70     19.06     -8.41     14.54     46.55     53.54     95.93     60.49     99.09     98.51     20.54     99.60     21.62     26.13     70.00      6.49     45.03     21.87     49.19     28.19     82.83     11.54     63.00     33.26     13.59     18.63     13.16     53.47     82.58     26.10     29.36     71.43     63.45     62.13     54.78 
    38    52342.89   2509.61     91.08     47.90           77.58     73.72     65.74     20.14     -4.82     15.66     45.20     53.46     95.68     61.13     99.05     98.82     27.37     99.60     18.95     24.56     70.26      5.26     51.05     18.39     46.53     28.20     82.96     12.84     63.00     33.02     12.00     18.74     14.36     53.13     82.55     26.85     30.29     71.18     63.10     62.05     54.89 
    39    52343.44   2509.06     91.03     47.76           78.31     72.99     66.51     19.59     -4.84     15.49     45.40     53.61     95.40     61.70     98.96     99.04     25.64     99.60     20.00     22.39     69.44      4.10     52.62     21.37     44.82     28.08     83.44     13.48     63.00     32.39      9.81     20.96     14.98     52.48     82.55     25.19     27.74     70.91     63.44     61.75     54.98 
    40    52344.35   2508.15     91.05     47.90           79.40     73.13     66.25     21.80     -3.75     15.07     44.90     53.85     95.86     62.24     99.05     98.81     25.50     99.60     18.00     23.00     71.00      3.50     52.75     21.67     44.00     27.98     83.17     14.49     63.00     33.11     10.80     18.00     17.50     52.95     82.60     23.93     28.19     70.59     63.26     62.16     55.00 
    41    52343.61   2508.89     91.04     48.23           80.39     73.69     66.15     21.50     -3.12     15.20     45.63     53.62     95.49     62.30     99.21     98.66     36.59     99.60     19.51     23.58     72.63      0.49     53.90     22.41     45.17     27.95     83.04     15.97     63.00     33.40      9.40     15.51     18.12     52.31     82.60     22.92     26.44     70.36     63.14     62.72     55.11 
    42    52335.60   2516.90     91.01     48.00           77.43     73.37     66.62     21.71     -1.32     17.02     45.50     53.59     95.26     61.95     99.27     98.69     37.62     99.60     19.05     22.22     67.76      1.90     52.71     23.49     45.90     28.08     83.06     15.39     63.00     33.60      7.56     16.76     15.02     51.67     82.59     21.88     27.05     70.81     63.00     62.35     54.73 
    43    52343.05   2509.45     91.05     48.07           78.09     73.21     66.79     20.62     -3.10     17.70     45.87     53.88     95.33     61.34     99.24     98.49     30.70     99.60     18.14     23.41     66.98      5.12     54.51     26.20     46.05     28.06     83.15     16.65     63.00     33.72      6.42     18.20     16.06     51.95     82.54     23.00     26.60     70.86     63.01     62.43     54.96 
    44    52346.05   2506.45     91.07     48.07           78.91     73.64     67.27     20.85     -4.80     19.20     46.77     54.04     94.91     60.77     99.23     98.69     16.36     99.60     19.09     25.45     68.00      3.64     56.23     26.42     54.00     28.06     83.22     17.13     63.00     32.31      5.82     17.82     17.44     52.03     82.50     22.17     27.18     70.56     63.18     62.72     55.11 
    45    52358.91   2493.59     91.13     48.18           79.24     74.31     67.33     21.48     -4.44     18.91     47.41     54.40     95.24     60.37     99.19     98.78      8.00     99.60     20.89     25.33     68.13      5.78     60.00     27.23     50.22     28.00     83.48     17.23     63.00     30.13     10.46     16.09     17.84     53.29     82.47     23.23     27.73     70.82     63.46     62.70     55.49 
