constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.100000  -0.400000  -0.400000  ]  [  0.300000  0.000000  0.000000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    26    52810.15   2042.35     91.88     53.89           93.62     76.05     71.54     40.21     19.02     46.35     50.40     63.26     81.72     60.21     99.44     92.40    -26.15     99.17     54.62      3.08     76.38     15.38     80.38     14.15     12.31     75.17     88.94     24.03     91.17     35.34     39.49     46.36     35.95     46.61     87.67     11.55     33.22     73.85     73.66     59.54     47.93 
    27    52796.30   2056.20     91.88     53.60           92.07     75.01     73.19     41.23     17.28     46.30     50.35     64.54     82.73     59.33     99.30     92.59    -20.00     99.16     51.11      7.16     74.67     16.30     82.00      7.95      7.85     75.17     88.43     25.79     91.21     35.70     38.47     46.17     34.16     47.82     87.63     10.24     28.25     73.32     73.19     58.89     48.68 
    28    52788.39   2064.11     91.85     53.33           91.79     74.76     75.21     40.95     19.84     46.29     51.56     63.42     83.28     58.53     99.36     92.59    -22.14     99.14     53.57      5.71     71.93     15.71     79.43      4.10      4.86     75.12     88.33     29.14     91.14     31.69     40.95     47.33     33.98     47.38     87.71      9.02     26.60     73.17     72.85     59.72     49.12 
    29    52799.00   2053.50     91.94     54.10           91.52     74.44     78.21     43.54     17.05     46.72     51.34     63.24     83.19     57.92     99.40     92.59     -9.66     99.14     53.10      6.67     70.28     23.45     79.52      5.75     11.45     75.24     88.27     27.79     91.15     31.10     41.79     48.97     34.55     46.81     87.88      8.44     24.17     73.60     72.78     60.27     49.91 
    30    52797.90   2054.60     91.92     53.86           91.33     74.09     78.53     43.73     14.81     44.83     50.71     62.50     83.01     58.60     99.13     93.08    -13.33     99.15     52.67      7.56     72.20     24.00     81.20      4.98      7.20     75.30     88.25     29.42     91.19     31.53     37.78     49.69     34.80     47.72     87.83      9.64     23.40     73.80     72.84     60.30     49.26 
    31    52803.29   2049.21     91.94     54.14           92.06     74.58     78.32     41.85     10.57     45.13     52.41     62.48     82.27     60.10     99.13     93.15    -15.48     99.15     54.84     10.11     72.13     20.00     81.81      6.06     18.71     75.39     88.28     28.54     91.19     31.41     34.37     52.77     35.03     47.40     87.83     11.61     23.71     74.16     72.17     60.74     49.21 
    32    52806.44   2046.06     91.96     54.34           92.88     75.17     79.06     42.33     13.72     45.59     52.08     62.10     82.09     59.90     99.22     92.89    -12.50     99.15     56.25      7.92     73.56     20.62     78.81      7.00     22.00     75.47     88.18     28.00     91.18     31.23     29.67     56.33     33.15     46.10     87.91     13.01     23.80     74.55     71.91     61.06     49.27 
    33    52812.27   2040.23     91.98     54.64           93.64     75.31     78.18     39.88     13.30     47.12     51.61     62.21     82.88     60.12     99.18     92.65     -9.09     99.15     54.55     11.11     73.39     16.36     79.09      9.90     17.58     75.42     88.40     30.40     91.12     31.39     33.49     57.41     33.53     48.12     87.94     14.14     26.40     74.99     71.41     60.37     48.96 
    34    52814.56   2037.94     92.01     54.61           93.94     75.61     78.53     37.73     14.54     47.85     50.89     62.60     82.70     59.75     99.09     92.65    -14.71     99.15     54.71     10.59     75.06     20.59     76.53     10.12     15.29     75.43     88.71     31.66     91.13     31.66     32.55     58.82     34.77     48.43     87.84     13.21     27.72     75.25     71.35     60.35     48.59 
    35    52810.57   2041.93     91.95     54.26           93.49     75.43     76.00     36.84     16.83     48.63     51.25     61.75     82.51     59.15     99.04     92.71    -16.57     99.14     55.43     12.38     72.80     17.14     73.26     13.37     13.60     75.37     89.14     30.11     91.14     31.90     30.59     58.70     34.29     49.31     87.88     12.88     26.41     75.58     71.04     60.46     48.59 
    36    52803.75   2048.75     91.90     54.06           94.89     74.30     74.89     36.59     13.58     50.25     51.46     61.70     82.34     59.33     99.11     92.64    -11.67     99.14     55.00     11.85     72.56     15.56     68.83     14.22     13.56     75.31     89.19     28.74     91.14     32.68     32.30     59.11     33.07     49.31     87.93     12.30     24.11     75.32     70.99     60.01     48.53 
    37    52808.32   2044.18     91.88     53.87           94.92     74.67     74.81     36.29     12.16     50.16     51.27     62.00     82.56     59.33     98.92     92.50    -12.43     99.15     55.14     11.71     69.73     12.43     71.14     13.73     15.68     75.34     89.12     26.73     91.16     33.72     31.75     57.69     32.26     49.67     87.98     11.78     24.18     75.62     71.06     60.01     49.32 
    38    52807.42   2045.08     91.86     53.42           95.84     75.44     74.11     34.39     13.01     50.26     51.21     62.16     82.34     58.97     98.92     92.63    -23.16     99.15     55.26     12.28     70.47     11.05     71.89     12.91     16.00     75.17     88.96     26.69     91.16     33.57     27.30     57.05     31.80     49.11     88.01     13.01     23.57     75.96     70.98     60.10     48.92 
    39    52819.03   2033.47     91.87     53.39           95.23     75.28     75.64     32.85     12.54     50.77     51.14     61.94     82.84     59.54     99.06     92.63    -22.05     99.15     55.90     10.09     71.03     10.77     70.00     13.30     12.41     75.09     88.96     27.89     91.12     34.09     24.58     58.97     33.81     49.66     88.01     12.42     24.14     76.29     71.31     59.87     49.23 
    40    52823.03   2029.48     91.88     53.20           94.60     75.17     74.90     31.67     12.64     52.15     50.60     61.71     83.32     59.74     99.02     92.81    -33.00     99.15     56.50     11.33     69.30     10.00     70.15     13.87     15.00     75.14     89.11     27.29     91.13     34.31     24.80     58.13     35.28     49.41     88.03     11.99     26.12     76.25     71.58     59.80     49.40 
    41    52825.54   2026.96     91.88     53.16           95.02     75.02     74.44     31.90     11.11     52.22     50.25     61.84     82.88     59.77     98.89     92.93    -38.05     99.15     53.17      9.59     69.32     11.71     72.34     14.80     20.00     75.23     89.20     26.11     91.14     34.15     25.40     58.63     34.58     48.95     87.94     11.35     28.00     76.50     71.79     60.28     49.17 
    42    52825.95   2026.55     91.89     53.35           96.00     76.29     74.14     32.13     12.83     51.40     50.62     62.05     82.74     59.51     98.89     93.15    -43.33     99.15     54.29      9.21     68.48      9.52     73.57     16.13     23.43     75.44     89.52     25.93     91.17     34.45     28.63     59.30     35.74     49.03     88.00     10.71     28.72     76.37     71.47     60.36     49.06 
    43    52830.07   2022.43     91.93     53.88           96.09     76.65     72.19     30.67     13.95     51.47     50.81     61.95     83.23     59.59     98.98     93.31    -32.56     99.15     53.02     10.08     68.47     10.70     73.63     17.27     29.30     75.37     89.30     26.33     91.19     34.55     29.74     59.57     34.80     49.32     87.93     10.45     29.42     76.93     71.25     60.34     49.16 
    44    52837.23   2015.27     91.98     54.43           96.00     76.79     72.50     31.52     15.15     51.59     50.85     61.83     83.01     58.96     99.07     93.35    -17.73     99.15     51.82     11.52     69.05     11.82     71.64     18.85     29.82     75.39     89.25     26.42     91.20     35.13     28.85     60.42     34.79     48.72     87.93      9.70     31.09     77.33     71.53     60.40     49.20 
    45    52838.76   2013.74     91.98     54.45           95.60     76.59     71.51     32.39     16.91     50.64     50.95     62.04     83.04     58.35     99.07     93.17    -15.11     99.16     51.11     13.48     68.80     11.11     70.67     17.75     28.89     75.28     89.25     26.60     91.20     35.60     29.42     57.87     35.62     48.91     88.03     10.70     31.42     77.74     71.25     60.54     49.02 
    46    52841.70   2010.80     92.02     54.68           94.70     76.46     71.96     32.70     17.51     50.96     51.83     61.94     83.55     58.64     99.01     92.93     -9.57     99.16     51.74     15.65     68.61     13.04     73.13     16.41     28.17     75.32     89.44     27.30     91.18     36.51     26.72     57.62     35.37     49.27     88.08     10.39     29.23     77.60     71.38     60.18     49.13 
    47    52841.85   2010.65     92.01     54.83           94.43     77.08     71.74     32.48     15.96     50.70     52.03     62.34     83.94     58.44     98.98     92.45     -8.51     99.16     53.62     14.04     68.89     13.19     72.17     18.70     31.91     75.34     89.51     27.72     91.14     37.09     25.50     57.33     35.24     49.50     87.94     11.32     29.72     77.79     71.13     60.03     48.68 
    48    52836.46   2016.04     92.03     54.65           94.04     76.67     71.67     31.06     16.20     49.92     52.84     62.65     84.08     58.72     98.95     92.71    -12.08     99.16     52.50     16.39     69.54     15.83     69.50     18.33     28.67     75.34     89.67     26.81     91.14     37.33     27.78     56.56     34.83     49.50     87.82     10.84     30.05     77.87     70.85     60.04     48.24 
    49    52840.67   2011.83     92.04     54.64           93.84     76.79     72.08     30.01     16.55     48.94     52.83     62.81     84.15     59.23     99.05     92.76    -15.51     99.15     52.65     17.01     70.16     16.33     69.02     20.60     26.04     75.30     89.53     27.40     91.14     37.57     28.54     56.79     34.83     50.19     87.74     11.37     29.07     78.09     70.62     60.46     48.43 
    50    52841.06   2011.44     92.03     54.70           90.68     76.51     71.16     27.63     17.22     48.82     53.25     62.74     84.54     59.54     99.00     92.85     -8.80     99.15     50.40     17.60     71.20     16.00     68.68     21.44     27.52     75.39     89.60     25.83     91.16     37.18     31.31     56.75     35.03     49.96     87.78     10.63     28.64     78.09     70.82     60.11     48.63 
    51    52845.20   2007.30     92.01     54.84           90.35     75.84     71.18     27.37     17.32     48.84     53.22     63.05     84.85     59.69     99.07     92.79      0.78     99.15     50.20     14.51     70.90     14.51     68.59     21.88     26.59     75.46     89.48     26.45     91.11     37.53     31.03     57.86     33.94     49.89     87.81      9.76     29.85     78.42     70.76     59.94     49.22 
    52    52841.02   2011.48     92.02     54.87           90.54     75.38     71.31     27.23     17.41     49.12     53.79     62.81     84.55     59.90     98.92     92.93      1.92     99.15     48.46     18.46     70.85     13.08     67.69     24.15     27.54     75.45     89.37     27.76     91.12     37.28     30.26     54.87     33.32     49.73     87.81     10.31     29.79     78.17     70.64     59.78     49.43 
    53    52842.66   2009.84     92.02     54.97           89.47     75.25     70.23     28.65     17.61     48.23     53.43     62.34     84.28     60.11     98.92     92.88     10.94     99.15     46.79     16.98     70.34     14.34     64.23     23.42     32.23     75.46     89.51     28.72     91.11     37.40     28.40     52.60     33.64     50.50     87.79      9.96     30.09     78.42     70.55     60.22     49.77 
    54    52842.00   2010.50     92.02     55.00           89.22     75.01     69.59     26.67     18.52     48.31     53.16     62.42     83.89     59.58     98.94     93.15     11.48     99.15     46.30     19.01     69.93     15.56     65.67     24.10     33.04     75.50     89.51     28.26     91.09     37.82     28.10     51.80     33.61     50.42     87.82     10.79     28.61     78.55     70.48     60.23     49.80 
    55    52839.80   2012.70     92.02     55.12           88.65     75.83     68.22     27.85     18.79     48.05     53.72     62.56     83.64     59.70     98.97     93.23     13.82     99.15     45.09     18.79     69.96     16.36     68.25     22.81     32.95     75.65     89.60     28.40     91.08     37.73     29.84     51.22     35.33     50.08     87.67     10.41     27.06     78.48     70.19     60.49     49.71 
    56    52841.96   2010.54     92.01     54.84           89.39     75.43     67.50     28.38     18.85     48.05     54.01     62.45     83.44     59.28     99.00     93.30     10.00     99.15     42.14     17.38     69.39     17.86     64.54     24.10     32.57     75.64     89.53     28.92     91.09     37.89     29.43     50.29     36.05     49.82     87.67      9.66     27.51     78.72     70.36     60.58     49.81 
    57    52841.46   2011.04     92.00     54.81           90.46     75.86     66.84     27.86     17.93     48.86     54.02     62.46     83.18     59.18     98.98     93.03      4.21     99.15     43.16     18.13     69.51     17.89     64.95     25.66     35.44     75.69     89.37     28.42     91.11     37.13     30.34     48.68     36.28     50.55     87.73      8.88     27.94     78.60     70.62     60.23     49.73 
    58    52839.33   2013.17     91.99     54.89           89.97     76.16     66.38     27.72     17.53     48.69     53.69     62.55     83.23     58.73     99.03     92.97      6.90     99.15     43.10     17.01     67.76     18.97     67.93     25.75     37.52     75.70     89.40     27.94     91.11     37.00     29.93     48.41     36.69     50.26     87.79      9.56     27.37     78.32     70.71     60.07     49.83 
    59    52834.49   2018.01     91.96     54.82           90.03     76.68     66.27     27.28     17.89     47.95     53.44     62.52     82.87     58.77     99.08     93.05      8.14     99.15     44.75     15.03     67.90     17.97     66.85     25.56     36.54     75.72     89.26     27.20     91.13     37.18     31.44     49.33     36.21     50.88     87.82      8.80     26.92     78.32     70.54     60.47     49.45 
    60    52837.58   2014.92     91.96     54.93           89.37     76.27     65.73     26.53     18.15     48.22     53.03     62.82     82.96     58.76     99.20     93.13      6.67     99.15     44.00     13.11     67.27     19.67     67.10     27.38     41.73     75.82     89.15     26.19     91.12     37.68     31.02     49.29     37.13     51.02     87.89      9.60     27.45     78.17     70.69     60.58     49.31 
    61    52840.64   2011.86     91.97     54.99           89.87     76.31     65.61     26.12     18.67     48.48     52.99     62.75     82.84     59.06     99.20     93.07      7.54     99.15     44.26     11.69     67.44     20.33     69.31     23.72     41.11     75.82     89.07     26.35     91.12     37.46     32.20     50.51     37.41     51.01     87.99     10.45     26.81     78.37     70.56     60.46     49.53 
    62    52848.19   2004.31     92.00     55.15           89.81     76.82     65.65     26.41     18.46     49.27     52.92     62.80     82.93     59.01     99.14     93.35      7.10     99.15     42.90     13.33     68.35     19.35     70.77     24.60     43.23     75.90     89.12     25.45     91.11     37.61     32.30     50.15     38.03     50.77     88.00     11.12     26.08     78.61     70.50     60.84     49.65 
    63    52848.57   2003.93     91.99     55.16           90.13     76.80     66.22     27.83     18.25     48.81     53.33     62.87     82.83     58.93     99.17     93.45     11.11     99.16     39.68     13.44     68.00     17.78     71.33     24.83     44.13     75.86     89.10     24.66     91.13     37.05     32.74     50.39     37.58     50.78     88.01     10.73     24.67     78.56     70.51     61.02     49.89 
    64    52848.44   2004.06     91.99     55.00           90.00     77.31     66.31     29.00     17.10     49.30     53.46     62.97     82.80     58.58     99.23     93.40      6.25     99.16     39.06     12.08     67.94     18.44     71.97     24.50     43.62     75.77     89.15     24.56     91.13     37.37     32.08     50.83     36.83     50.79     88.00     11.98     24.20     78.42     70.35     60.93     50.22 
    65    52851.58   2000.92     91.99     55.15           90.31     77.21     66.46     29.68     16.84     48.68     53.30     63.08     82.67     58.69     99.27     93.58     11.38     99.16     41.23     12.21     68.12     15.69     73.05     23.28     45.48     75.78     89.26     23.88     91.14     37.62     29.72     50.15     37.34     51.04     88.01     12.57     24.53     78.34     70.53     60.83     50.38 
    66    52851.53   2000.97     91.98     55.21           90.76     77.29     66.64     28.44     16.67     48.44     52.69     62.98     82.60     58.51     99.26     93.67     16.67     99.16     43.64     10.51     68.36     16.36     72.73     24.28     43.03     75.70     89.35     24.53     91.13     37.44     30.42     47.43     37.43     51.11     88.07     12.06     24.66     78.36     70.40     61.36     50.63 
    67    52842.22   2010.28     91.98     55.24           90.63     77.11     66.90     29.95     16.50     48.67     52.43     62.77     82.62     58.41     99.23     93.73     19.10     99.16     41.49      9.25     68.90     18.81     74.21     22.55     42.21     75.69     89.32     24.35     91.12     37.52     30.71     48.74     36.89     51.20     86.53     12.61     23.83     78.43     70.54     61.09     50.79 
    68    52839.59   2012.91     91.98     55.32           90.41     76.29     66.82     29.02     18.38     49.46     52.14     62.51     82.86     58.04     99.14     93.90     22.35     99.16     41.18      8.04     69.38     19.12     75.29     23.49     41.65     75.69     89.27     23.50     91.11     37.85     28.00     48.82     37.38     51.53     86.55     11.93     25.84     78.35     70.58     61.04     50.58 
    69    52836.26   2016.24     91.97     55.27           90.09     76.41     66.64     28.93     16.59     49.97     52.88     61.68     82.81     57.90     99.20     94.06     21.16     99.16     39.71      9.37     68.90     19.42     74.00     23.59     42.84     75.65     89.27     22.96     91.11     37.92     30.94     49.60     38.13     50.45     86.48     11.45     25.12     78.39     70.57     61.16     50.35 
    70    52836.30   2016.20     91.95     55.17           89.63     76.04     67.14     28.91     16.98     49.19     52.35     61.66     82.81     57.93     99.14     94.21     21.14     99.16     39.14      8.95     69.03     19.14     74.71     24.57     40.23     75.63     89.23     22.84     91.11     38.20     30.29     50.48     38.34     50.20     86.53     10.88     24.86     78.51     70.72     61.31     50.04 
    71    52837.03   2015.47     91.98     55.40           89.89     76.32     67.38     28.53     18.08     49.87     52.88     61.34     82.73     57.76     99.10     94.23     21.69     99.16     38.59     10.05     69.04     21.41     76.76     24.02     41.63     75.62     89.17     22.78     91.08     37.78     29.73     51.21     39.33     50.59     86.55     10.49     24.53     78.60     70.61     61.44     49.87 
